motor_time_fraction,motor_angle_deg,source_small,source_large,fit_small,fit_large,source_dsmall_dt,source_dlarge_dt,fit_dsmall_dt,fit_dlarge_dt,source_ddsmall_dt2,source_ddlarge_dt2,fit_ddsmall_dt2,fit_ddlarge_dt2
0.000000000000000000e+00,0.000000000000000000e+00,1.444918440414582339e-01,9.999997061094492157e-01,1.560518738183517273e-01,1.000000000000000000e+00,2.040037211688822349e+00,-1.035663951228611192e-02,2.089770440538563534e+00,-0.000000000000000000e+00,5.902350914317881170e+00,-1.823858922469675576e+02,1.489522487399879358e+00,-4.891134146826708218e+01
3.472222222222222355e-04,1.250000000000000000e-01,1.452005444496017317e-01,9.999851513044708540e-01,1.567775770291720827e-01,9.999970560291870925e-01,2.042072389280946254e+00,-7.337601858436348934e-02,2.090276268551600758e+00,-1.694436366884057715e-02,5.820272016315527708e+00,-1.806057312081510702e+02,1.424113621331403179e+00,-4.868828752654667369e+01
6.944444444444444709e-04,2.500000000000000000e-01,1.459099465687808961e-01,9.999488220816675765e-01,1.575034519398096355e-01,9.999882420334620381e-01,2.044079067255707649e+00,-1.357772861846056056e-01,2.090759454639645298e+00,-3.381137620485517858e-02,5.738193118313207997e+00,-1.788255701693352080e+02,1.359104860612660559e+00,-4.846579883549497936e+01
1.041666666666666652e-03,3.750000000000000000e-01,1.466200405032957454e-01,9.998909330630779690e-01,1.582294907125867955e-01,9.999735848367959923e-01,2.046057245613107867e+00,-1.975604423130612464e-01,2.091220137583553740e+00,-5.060123376345534302e-02,5.656114220310854535e+00,-1.770454091305186353e+02,1.294495372288689383e+00,-4.824387474894502503e+01
1.388888888888888942e-03,5.000000000000000000e-01,1.473308163574455765e-01,9.998116988707406172e-01,1.589556855579642991e-01,9.999531111950892281e-01,2.048006924353146463e+00,-2.587254869697049875e-01,2.091658455874965572e+00,-6.731413227568908142e-02,5.574035322308501961e+00,-1.752652480917020625e+02,1.230284323404448266e+00,-4.802251462072984367e+01
1.736111111111111232e-03,6.250000000000000000e-01,1.480422642355299356e-01,9.997113341266952169e-01,1.596820287344397349e-01,9.999268477962494073e-01,2.049928103475822994e+00,-3.192724201545384388e-01,2.092074547716298305e+00,-8.395026744824085618e-02,5.491956424306148499e+00,-1.734850870528855182e+02,1.166470881004913362e+00,-4.780171780468247533e+01
2.083333333333333304e-03,7.500000000000000000e-01,1.487543742418480086e-01,9.995900534529797987e-01,1.604085125484472352e-01,9.998948212602697394e-01,2.051820782981136126e+00,-3.792012418675350105e-01,2.092468551020747469e+00,-1.005098347634316436e-01,5.409877526303828787e+00,-1.717049260140696845e+02,1.103054212135110790e+00,-4.758148365463593876e+01
2.430555555555555594e-03,8.750000000000000000e-01,1.494671364806999247e-01,9.994480714716333924e-01,1.611351293542570284e-01,9.998570581393063650e-01,2.053684962869088970e+00,-4.385119521087454397e-01,2.092840603412291944e+00,-1.169930294792188158e-01,5.327798628301474437e+00,-1.699247649752531117e+02,1.040033483840044459e+00,-4.736181152442326692e+01
2.777777777777777884e-03,1.000000000000000000e+00,1.501805410563846477e-01,9.992856028046951389e-01,1.618618715538758523e-01,9.998135849177562928e-01,2.055520643139678860e+00,-4.972045508781202661e-01,2.093190842225685522e+00,-1.334000466291963005e-01,5.245719730299155614e+00,-1.681446039364373348e+02,9.774078631647075133e-01,-4.714270076787748565e+01
3.125000000000000173e-03,1.125000000000000000e+00,1.508945780732022235e-01,9.991028620742030686e-01,1.625887315969458402e-01,9.997644280123356708e-01,2.057327823792907573e+00,-5.552790381757082283e-01,2.093519404506464454e+00,-1.497310810225943867e-01,5.163640832296802152e+00,-1.663644428976207337e+02,9.151765171540585664e-01,-4.692415073883162790e+01
