cycle_fraction,motor_angle_deg,time_s,S_volume_m3,L_volume_m3,S_swept_fraction,L_swept_fraction
0.0,0.0,0.0,0.00016026483491708173,0.001,0.18269938484077686,1.0
0.0006944444444444445,0.25,0.00034722222222222224,0.00016117240751410792,0.0009988389098673728,0.18379063284434405,0.9988272989660465
0.001388888888888889,0.5,0.0006944444444444445,0.00016207998011113408,0.0009976778197347456,0.1848818808479112,0.997654597932093
0.0020833333333333333,0.75,0.0010416666666666667,0.00016298755270816026,0.0009965167296021181,0.1859731288514784,0.9964818968981393
0.002777777777777778,1.0,0.001388888888888889,0.00016389512530518642,0.0009953556394694909,0.1870643768550456,0.9953091958641858
0.0034722222222222225,1.25,0.0017361111111111112,0.00016480269790221258,0.0009941945493368637,0.18815562485861276,0.9941364948302323
0.004166666666666667,1.5,0.0020833333333333333,0.00016571027049923877,0.0009930334592042364,0.18924687286217995,0.9929637937962787
0.004861111111111111,1.75,0.0024305555555555556,0.00016661784309626493,0.0009918723690716092,0.1903381208657471,0.9917910927623252
0.005555555555555556,2.0,0.002777777777777778,0.0001675254156932911,0.000990711278938982,0.19142936886931428,0.9906183917283717
0.00625,2.25,0.003125,0.00016843298829031725,0.0009895501888063547,0.19252061687288147,0.9894456906944182
0.006944444444444445,2.5,0.0034722222222222225,0.00016934056088734344,0.0009883890986737275,0.19361186487644866,0.9882729896604647
0.0076388888888888895,2.75,0.0038194444444444448,0.00017024813348436962,0.0009872280085411003,0.19470311288001585,0.9871002886265112
0.008333333333333333,3.0,0.004166666666666667,0.00017115570608139578,0.000986066918408473,0.19579436088358304,0.9859275875925577
0.009027777777777779,3.2500000000000004,0.004513888888888889,0.00017206327867842194,0.0009849058282758458,0.1968856088871502,0.9847548865586042
0.009722222222222222,3.5,0.004861111111111111,0.00017297085127544813,0.0009837447381432186,0.1979768568907174,0.9835821855246507
0.010416666666666668,3.7500000000000004,0.005208333333333334,0.0001738784238724743,0.0009825836480105911,0.19906810489428456,0.982409484490697
0.011111111111111112,4.0,0.005555555555555556,0.00017478599646950048,0.000981422557877964,0.20015935289785178,0.9812367834567435
0.011805555555555555,4.25,0.005902777777777778,0.0001756935690665266,0.0009802614677453367,0.2012506009014189,0.98006408242279
0.0125,4.5,0.00625,0.0001766011416635528,0.0009791003776127094,0.2023418489049861,0.9788913813888365
0.013194444444444444,4.75,0.006597222222222222,0.00017750871426057898,0.0009779392874800822,0.2034330969085533,0.977718680354883
0.01388888888888889,5.0,0.006944444444444445,0.00017841628685760514,0.000976778197347455,0.20452434491212046,0.9765459793209295
0.014583333333333334,5.25,0.007291666666666667,0.0001793238594546313,0.0009756171072148277,0.20561559291568765,0.975373278286976
0.015277777777777779,5.5,0.0076388888888888895,0.0001802314320516575,0.0009744560170822005,0.20670684091925484,0.9742005772530224
0.015972222222222224,5.750000000000001,0.007986111111111112,0.00018113900464868365,0.0009732949269495732,0.207798088922822,0.9730278762190689
0.016666666666666666,6.0,0.008333333333333333,0.00018204657724570983,0.000972133836816946,0.2088893369263892,0.9718551751851154
0.017361111111111112,6.25,0.008680555555555556,0.00018295414984273597,0.0009709727466843187,0.20998058492995633,0.9706824741511619
0.018055555555555557,6.500000000000001,0.009027777777777779,0.00018386172243976215,0.0009698116565516915,0.21107183293352355,0.9695097731172084
0.01875,6.75,0.009375,0.00018476929503678834,0.0009686505664190643,0.21216308093709074,0.9683370720832549
