case,policy,attempt,normalized_residual,retained,anderson_trial
production_cold,anderson_m2_b0.5,90,17.02806426209018,True,False
production_cold,anderson_m2_b0.5,91,15.886293613043472,True,False
production_cold,anderson_m2_b0.5,92,14.819501214136087,True,False
production_cold,anderson_m2_b0.5,93,13.832428321121636,True,False
production_cold,anderson_m2_b0.5,94,12.892635120674848,True,False
production_cold,anderson_m2_b0.5,95,12.052644111487334,True,False
production_cold,anderson_m2_b0.5,96,11.209976850094254,True,False
production_cold,anderson_m2_b0.5,97,10.502898374623651,True,False
production_cold,anderson_m2_b0.5,98,9.776827577675112,True,False
production_cold,anderson_m2_b0.5,99,9.124332877929088,True,False
production_cold,anderson_m2_b0.5,100,8.504837741249824,True,False
production_cold,anderson_m2_b0.8,1,344151.7247386312,True,False
production_cold,anderson_m2_b0.8,2,4686.999333005334,True,False
production_cold,anderson_m2_b0.8,3,4249.226843349656,True,True
production_cold,anderson_m2_b0.8,4,4557.416851849947,True,True
production_cold,anderson_m2_b0.8,5,4730.872845245215,True,True
production_cold,anderson_m2_b0.8,6,4667.715306456447,True,False
production_cold,anderson_m2_b0.8,7,4048.3432016881834,True,True
production_cold,anderson_m2_b0.8,8,3738.0850114304203,True,False
production_cold,anderson_m2_b0.8,9,3480.9367519070706,True,False
production_cold,anderson_m2_b0.8,10,3241.8793528049537,True,False
production_cold,anderson_m2_b0.8,11,3019.250349289421,True,False
production_cold,anderson_m2_b0.8,12,2812.14135157065,True,False
production_cold,anderson_m2_b0.8,13,2619.444255468638,True,False
production_cold,anderson_m2_b0.8,14,2440.138280225185,True,False
production_cold,anderson_m2_b0.8,15,2273.2684070291384,True,False
production_cold,anderson_m2_b0.8,16,2117.9517847923203,True,False
production_cold,anderson_m2_b0.8,17,1973.0861310191194,True,False
production_cold,anderson_m2_b0.8,18,1838.1602055642118,True,False
production_cold,anderson_m2_b0.8,19,1713.0894749177037,True,False
production_cold,anderson_m2_b0.8,20,1596.6482610574249,True,False
production_cold,anderson_m2_b0.8,21,1488.1680807475152,True,False
production_cold,anderson_m2_b0.8,22,1387.148411049472,True,False
production_cold,anderson_m2_b0.8,23,1293.028131508456,True,False
production_cold,anderson_m2_b0.8,24,1205.339557307577,True,False
production_cold,anderson_m2_b0.8,25,1123.656987745289,True,False
production_cold,anderson_m2_b0.8,26,1047.5509557126945,True,False
production_cold,anderson_m2_b0.8,27,976.6302882076342,True,False
production_cold,anderson_m2_b0.8,28,910.5345146330567,True,False
production_cold,anderson_m2_b0.8,29,848.922532237935,True,False
production_cold,anderson_m2_b0.8,30,791.4745977746262,True,False
production_cold,anderson_m2_b0.8,31,738.019005415114,True,False
production_cold,anderson_m2_b0.8,32,688.1820343131571,True,False
production_cold,anderson_m2_b0.8,33,641.733247123717,True,False
production_cold,anderson_m2_b0.8,34,598.4290351951122,True,False
production_cold,anderson_m2_b0.8,35,558.0617745182615,True,False
production_cold,anderson_m2_b0.8,36,520.4360521197409,True,False
production_cold,anderson_m2_b0.8,37,485.3491587191365,True,False
production_cold,anderson_m2_b0.8,38,452.6289029124606,True,False
production_cold,anderson_m2_b0.8,39,422.12450421237776,True,False
production_cold,anderson_m2_b0.8,40,393.6866223379111,True,False
production_cold,anderson_m2_b0.8,41,367.1702641253927,True,False
production_cold,anderson_m2_b0.8,42,342.4470461474704,True,False
production_cold,anderson_m2_b0.8,43,319.3816581890556,True,False
production_cold,anderson_m2_b0.8,44,297.8873665933103,True,False
production_cold,anderson_m2_b0.8,45,277.83621335259846,True,False
production_cold,anderson_m2_b0.8,46,259.13201851687046,True,False
production_cold,anderson_m2_b0.8,47,241.71226646631933,True,False
production_cold,anderson_m2_b0.8,48,225.43356219555793,True,False
production_cold,anderson_m2_b0.8,49,210.2934838254112,True,False
production_cold,anderson_m2_b0.8,50,196.13020886294598,True,False
production_cold,anderson_m2_b0.8,51,182.9537599676544,True,False
production_cold,anderson_m2_b0.8,52,170.64707582657897,True,False
production_cold,anderson_m2_b0.8,53,159.1748008716982,True,False
production_cold,anderson_m2_b0.8,54,148.46613900442662,True,False
production_cold,anderson_m2_b0.8,55,138.4845015770294,True,False
production_cold,anderson_m2_b0.8,56,129.2080817083485,True,False
production_cold,anderson_m2_b0.8,57,120.50095975687552,True,False
production_cold,anderson_m2_b0.8,58,112.42271322755822,True,False
production_cold,anderson_m2_b0.8,59,104.85025970054008,True,False
production_cold,anderson_m2_b0.8,60,97.83138787746806,True,False
production_cold,anderson_m2_b0.8,61,91.25828671157217,True,False
production_cold,anderson_m2_b0.8,62,85.11698120975547,True,False
production_cold,anderson_m2_b0.8,63,79.41146378699416,True,False
production_cold,anderson_m2_b0.8,64,74.07901768330946,True,False
production_cold,anderson_m2_b0.8,65,69.10591033794215,True,False
production_cold,anderson_m2_b0.8,66,64.46837523992758,True,False
production_cold,anderson_m2_b0.8,67,60.141365338100925,True,False
production_cold,anderson_m2_b0.8,68,56.10219714114716,True,False
production_cold,anderson_m2_b0.8,69,52.34035736616091,True,False
production_cold,anderson_m2_b0.8,70,48.823614905639516,True,False
production_cold,anderson_m2_b0.8,71,45.548297845247845,True,False
production_cold,anderson_m2_b0.8,72,42.490498486552625,True,False
production_cold,anderson_m2_b0.8,73,39.649725587631444,True,False
production_cold,anderson_m2_b0.8,74,36.98059318031455,True,False
production_cold,anderson_m2_b0.8,75,34.513220979177895,True,False
production_cold,anderson_m2_b0.8,76,32.18667514564997,True,False
production_cold,anderson_m2_b0.8,77,30.036921732120586,True,False
production_cold,anderson_m2_b0.8,78,28.003362211011527,True,False
production_cold,anderson_m2_b0.8,79,26.151750224271723,True,False
production_cold,anderson_m2_b0.8,80,24.378804217046866,True,False
production_cold,anderson_m2_b0.8,81,22.759902170679933,True,False
production_cold,anderson_m2_b0.8,82,21.22332558533698,True,False
production_cold,anderson_m2_b0.8,83,19.802350374591093,True,False
production_cold,anderson_m2_b0.8,84,18.474954370672247,True,False
production_cold,anderson_m2_b0.8,85,17.238694004456796,True,False
production_cold,anderson_m2_b0.8,86,16.080813964864177,True,False
production_cold,anderson_m2_b0.8,87,15.00862681658487,True,False
production_cold,anderson_m2_b0.8,88,13.997679335469645,True,False
production_cold,anderson_m2_b0.8,89,13.064331715493417,True,False
production_cold,anderson_m2_b0.8,90,12.193878562462189,True,False
production_cold,anderson_m2_b0.8,91,11.36500771257995,True,False
production_cold,anderson_m2_b0.8,92,10.61039597218857,True,False
production_cold,anderson_m2_b0.8,93,9.901038675037473,True,False
production_cold,anderson_m2_b0.8,94,9.237186463652916,True,False
production_cold,anderson_m2_b0.8,95,8.612510050198667,True,False
production_cold,anderson_m2_b0.8,96,8.039172147926678,True,False
production_cold,anderson_m2_b0.8,97,7.5111253931938275,True,False
production_cold,anderson_m2_b0.8,98,7.002918020647961,True,False
production_cold,anderson_m2_b0.8,99,6.528895776887128,True,False
production_cold,anderson_m2_b0.8,100,6.081398150471865,True,False
production_cold,anderson_m2_b1.0,1,344151.7247386312,True,False
production_cold,anderson_m2_b1.0,2,4686.999333005334,True,False
production_cold,anderson_m2_b1.0,3,4988.198869801033,True,True
