theta_deg,theta_rad,normalized_t_deg,small_fraction_0_1,large_fraction_0_1,small_dq_dtheta_per_rad,large_dq_dtheta_per_rad,small_d2q_dtheta2_per_rad2,large_d2q_dtheta2_per_rad2
0.0,0.0,0.0,0.1560499078878084,1.0,-0.33211990510778044,0.0,0.12056000293880242,-1.6420756593481147
0.25,0.004363323129985824,359.75,0.15460191868820927,0.9999834626819457,-0.33158724682975027,-0.007785539699246345,0.12359539886279307,-1.9245121046035807
0.5,0.008726646259971648,359.5,0.15315628259748862,0.9999303046578427,-0.3310413071134955,-0.016776854030233927,0.1266477559757096,-2.1947910755110853
0.75,0.013089969389957472,359.25,0.15171305772812468,0.9998353799211115,-0.33048201208030936,-0.026921276092419802,0.12971701540434313,-2.453086791796819
1.0,0.017453292519943295,359.0,0.15027230251439222,0.9996937706094291,-0.3299092881083684,-0.0381668991622191,0.1328031182754855,-2.699573473186905
1.25,0.02181661564992912,358.75,0.14883407571124105,0.9995007836878315,-0.3293230618327316,-0.05046257669301084,0.13590600571592817,-2.9344253394075377
1.5,0.026179938779914945,358.5,0.14739843639317568,0.9992519476318152,-0.3287232601453408,-0.06375792231513193,0.13902561885246265,-3.157816610184849
1.75,0.030543261909900768,358.25,0.1459654439531343,0.9989430091104408,-0.3281098101950213,-0.0780033098358832,0.14216189881188074,-3.369921505245026
2.0,0.03490658503988659,358.0,0.1445351581013676,0.9985699296694336,-0.32748263938748,-0.09314987323952302,0.14531478672097356,-3.570914244314205
2.25,0.039269908169872414,357.75,0.1431076388643187,0.9981288824142875,-0.326841675385308,-0.10914950668727443,0.14848422370653294,-3.760969047118573
2.5,0.04363323129985824,357.5,0.14168294658350133,0.9976162486933666,-0.32618684610797827,-0.1259548645173168,0.15167015089535044,-3.9402601333842617
2.75,0.04799655442984406,357.25,0.14026114191437955,0.9970286147810067,-0.3255180797318469,-0.14351936124479503,0.15487250941421746,-4.108961722837457
3.0,0.05235987755982989,357.0,0.13884228582524688,0.9963627685606192,-0.32483530469015315,-0.1617971715618106,0.1580912403899259,-4.267248035204299
3.25,0.05672320068981571,356.75,0.1374264395961051,0.995615696207792,-0.3241384496730183,-0.18074323033743006,0.1613262849492668,-4.415293290210969
3.5,0.061086523819801536,356.5,0.13601366481754387,0.9947845788733924,-0.32342744362744746,-0.2003132326176763,0.16457758421903204,-4.553271707583606
3.75,0.06544984694978735,356.25,0.13460402338961927,0.9938667893666695,-0.32270221575732777,-0.22046363362553814,0.16784507932601317,-4.681357507048395
4.0,0.06981317007977318,356.0,0.13319757752073352,0.9928598888383563,-0.3219626955234296,-0.24115164876095946,0.17112871139700156,-4.799724908331473
4.25,0.07417649320975901,355.75,0.13179438972651386,0.9917616234637714,-0.3212088126434063,-0.26233525360085086,0.1744284215587891,-4.908548131159018
4.5,0.07853981633974483,355.5,0.13039452282869143,0.9905699211259225,-0.32044049709179334,-0.2839731838990785,0.17774415093816687,-5.008001395257177
4.75,0.08290313946973066,355.25,0.12899803995398096,0.9892828880986076,-0.3196576791000099,-0.3060249355864743,0.18107584066192686,-5.098258920352124
5.0,0.08726646259971647,355.0,0.12760500453295942,0.9878988057295182,-0.31886028915635745,-0.3284507647708263,0.1844234318568604,-5.179494926170007
5.25,0.0916297857297023,354.75,0.12621548029894553,0.9864161271233404,-0.3180482580060204,-0.35121168773688854,0.18778686564975888,-5.251883632437002
5.5,0.09599310885968812,354.5,0.12482953128687853,0.9848334738248585,-0.3172215166510662,-0.3742694809463712,0.1911660831674144,-5.315599258879256
5.75,0.10035643198967395,354.25,0.12344722183219739,0.9831496325020561,-0.31637999635044445,-0.3975866810379492,0.1945610255366184,-5.370816025222939
6.0,0.10471975511965978,354.0,0.12206861656972065,0.9813635516292197,-0.3155236286199886,-0.4211265848272533,0.19797163388416167,-5.417708151194204
6.25,0.1090830782496456,353.75,0.12069378043252445,0.9794743381700399,-0.3146523452324145,-0.4448532493068777,0.20139784933683652,-5.45644985651921
6.5,0.11344640137963143,353.5,0.11932277865082222,0.9774812542607134,-0.31376607821732044,-0.46873149164638117,0.20483961302143402,-5.487215360924127
6.75,0.11780972450961724,353.25,0.11795567675084391,0.975383713893047,-0.31286475986118784,-0.4927268891922771,0.2082968660647461,-5.510178884135108
7.0,0.12217304763960307,353.0,0.116592540553715,0.9731812795975576,-0.3119483227073813,-0.5168057794680456,0.21176954959356412,-5.525514645878318
7.25,0.1265363707695889,352.75,0.11523343617433551,0.9708736591265765,-0.31101669955614747,-0.5409352601741239,0.2152576047346796,-5.533396865879919
7.5,0.1308996938995747,352.5,0.11387843002025948,0.9684607021373508,-0.3100698234646167,-0.5650831891879087,0.21876097261488442,-5.533999763866067
7.75,0.13526301702956053,352.25,0.11252758879057366,0.965942396875145,-0.30910762774680145,-0.5892181845637628,0.2222795943609697,-5.527497559562926
8.0,0.13962634015954636,352.0,0.11118097947477704,0.9633188668563457,-0.30813004597359744,-0.6133096245330042,0.22581341109972725,-5.514064472696656
8.25,0.1439896632895322,351.75,0.1098386693516598,0.9605903675515598,-0.3071370119727833,-0.6373276475039175,0.2293623639579485,-5.493874722993417
8.5,0.14835298641951802,351.5,0.10850072598818233,0.9577572830687213,-0.3061284598290198,-0.6612431520617413,0.23292639406242507,-5.467102530179372
8.75,0.15271630954950383,351.25,0.10716721723835483,0.9548201228361899,-0.3051043238838515,-0.6850277969686832,0.23650544253994865,-5.433922113980679
9.0,0.15707963267948966,351.0,0.10583821124211576,0.9517795182858563,-0.3040645387357051,-0.7086540011639029,0.2400994505173104,-5.394507694123501
9.25,0.16144295580947549,350.75,0.10451377642421154,0.9486362195362418,-0.3030090392398905,-0.732094943763529,0.2437083591213023,-5.349033490333995
9.5,0.16580627893946132,350.5,0.10319398149307554,0.9453910920756028,-0.30193776050860016,-0.7553245640606443,0.24733210947871564,-5.2976737223383275
9.75,0.17016960206944712,350.25,0.10187889543970699,0.9420451134450311,-0.30085063791090944,-0.7783175615252983,0.25097064271634195,-5.240602609862654
10.0,0.17453292519943295,350.0,0.1005685875365505,0.9385993699215581,-0.2997476070727767,-0.8010493958044956,0.254623899960973,-5.17799437263314
10.25,0.17889624832941878,349.75,0.09926312733637481,0.9350550532012556,-0.2986286038770431,-0.8234962867222078,0.2582918223394003,-5.110023230375938
10.5,0.1832595714594046,349.5,0.09796258467115226,0.9314134570823391,-0.29749356446343245,-0.8456352142793603,0.26197435097841526,-5.036863402817219
10.75,0.18762289458939044,349.25,0.09666702965093772,0.9276759741482692,-0.2963424252285516,-0.8674439186538471,0.2656714270048094,-4.958689109683136
11.0,0.19198621771937624,349.0,0.09537653266274763,0.9238440924508544,-0.29517512282588987,-0.8889009002005157,0.26938299154537426,-4.875674570699858
11.25,0.19634954084936207,348.75,0.09409116436943969,0.9199193921933537,-0.29399159416582005,-0.909985419451181,0.27310898572690173,-4.787994005593532
11.5,0.2007128639793479,348.5,0.09281099570859115,0.9159035424135783,-0.2927917764155972,-0.9306774971146128,0.2768493506761831,-4.695821634090334
11.75,0.20507618710933373,348.25,0.09153609789137866,0.9117982976669933,-0.2915756069993593,-0.9509579140765471,0.2806040275200099,-4.599331675916411
12.0,0.20943951023931956,348.0,0.09026654240145718,0.9076054947098224,-0.29034302359812747,-0.9708082113996759,0.28437295738517376,-4.4986983507979375
12.25,0.21380283336930536,347.75,0.08900240099383878,0.9033270491821468,-0.28909396414980526,-0.9902106903236568,0.28815608139846616,-4.394095878461061
12.5,0.2181661564992912,347.5,0.08774374569377252,0.8989649522910101,-0.2878283668491795,-1.0091484122651049,0.29195334068667866,-4.2856984786319465
12.75,0.22252947962927702,347.25,0.08649064879562271,0.8945212674935205,-0.2865461701479193,-1.0276051988175956,0.295764676376603,-4.173680371036768
13.0,0.22689280275926285,347.0,0.08524318286174881,0.8899981271799503,-0.285247312754577,-1.0455656317516693,0.2995900295950304,-4.0582157754016634
13.25,0.23125612588924865,346.75,0.08400142072138404,0.8853977293568421,-0.28393173363458796,-1.0630150530148221,0.3034293414687527,-3.939478911452813
13.5,0.23561944901923448,346.5,0.0827654354695148,0.8807223343301078,-0.2825993720102695,-1.0799395647315158,0.3072825531245613,-3.817643998916365
13.75,0.2399827721492203,346.25,0.08153530046575981,0.8759742613881334,-0.281250167360823,-1.0963260292031685,0.3111496056892478,-3.692885257518489
14.0,0.24434609527920614,346.0,0.08031108933324893,0.8711558854848787,-0.2798840594223316,-1.1121620689081646,0.31503044028960375,-3.565376906985331
14.25,0.24870941840919197,345.75,0.07909287595750272,0.8662696339229827,-0.2785009881877617,-1.1274360665018421,0.3189249980524206,-3.4352931670430746
14.5,0.2530727415391778,345.5,0.07788073448531137,0.8613179830368628,-0.27710089390696285,-1.142137164816508,0.3228332201044902,-3.3028082574178574
14.75,0.25743606466916363,345.25,0.07667473932361374,0.8563034548758194,-0.2756837170866667,-1.1562552668614228,0.32675504757260365,-3.168096397835859
15.0,0.2617993877991494,345.0,0.07547496513837679,0.8512286138871367,-0.27424939849048857,-1.1697810358228133,0.33069042158355294,-3.0313318080232237
15.25,0.26616271092913524,344.75,0.07428148685347431,0.8460960635991857,-0.27279787913892595,-1.1827058950638634,0.33463928326412945,-2.8926887077061285
15.5,0.27052603405912107,344.5,0.07309437964956653,0.8409084433045261,-0.2713291003093594,-1.1950220281247217,0.33860157374112443,-2.752341316610716
15.75,0.2748893571891069,344.25,0.07191371896297882,0.83566842474301,-0.26984300353605245,-1.206722378722492,0.3425772341413303,-2.6104638544631675
16.0,0.2792526803190927,344.0,0.07073958048458111,0.8303787087848808,-0.26833953061015114,-1.217800650751246,0.3465662055915374,-2.4672305409896227
16.25,0.28361600344907856,343.75,0.06957204015866689,0.8250420221138802,-0.26681862357968467,-1.2282513082820103,0.35056842921853815,-2.3228155959162606
16.5,0.2879793265790644,343.5,0.06841117418183228,0.8196611139103451,-0.26528022474956464,-1.2380695755627773,0.3545838461491247,-2.1773932389692066
16.75,0.2923426497090502,343.25,0.06725705900185594,0.8142387525343174,-0.2637242766815863,-1.2472514370184922,0.3586123975100861,-2.0311376898746976
17.0,0.29670597283903605,343.0,0.06610977131657633,0.8087777222086345,-0.26215072219442676,-1.2557936372510734,0.36265402442821715,-1.8842231683587927
17.25,0.3010692959690218,342.75,0.06496938807277347,0.8032808197020471,-0.2605595043636469,-1.2636936810393866,0.36670866803030644,-1.7368238941477585
17.5,0.30543261909900765,342.5,0.06383598646504524,0.7977508510123053,-0.258950566521689,-1.2709498333392715,0.370776269443148,-1.589114086967652
17.75,0.3097959422289935,342.25,0.06270964393468925,0.7921906280492739,-0.2573238522578801,-1.2775611192835172,0.37485676979353194,-1.4412679665447052
18.0,0.3141592653589793,342.0,0.061590438168579884,0.7866029653180284,-0.25567930541842876,-1.2835273241818814,0.37895011020825004,-1.2934597526050655
18.25,0.31852258848896514,341.75,0.06047844709804852,0.7809906766019561,-0.25401687010642654,-1.2888489935210774,0.383056231814094,-1.1458636648748795
18.5,0.32288591161895097,341.5,0.05937374889776224,0.7753565716458645,-0.2523364906818481,-1.2935274329647846,0.38717507573785526,-0.9986539230803214
18.75,0.3272492347489368,341.25,0.05827642198460318,0.7697034528390749,-0.25063811176155076,-1.2975647083536386,0.39130658310632543,-0.8520047469475363
19.0,0.33161255787892263,341.0,0.05718654501654762,0.7640341118985341,-0.24892167821927488,-1.3009636457052387,0.39545069504629604,-0.7060903562027042
19.25,0.33597588100890846,340.75,0.056104196891545055,0.7583513265519093,-0.24718713518564336,-1.3037278312141438,0.3996073526845589,-0.561084970571964
19.5,0.34033920413889424,340.5,0.055029456746397344,0.7526578572206934,-0.24543442804816207,-1.3058616112518735,0.40377649714790514,-0.41716280978148934
