motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,beta_cdf_small,beta_cdf_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,beta_cdf_dsmall_dt,beta_cdf_dlarge_dt
3.472222222222222463e-03,1.250000000000000000e+00,1.516092376354516713e-01,9.989000639021969885e-01,1.930806128322177517e-01,9.999101181339969946e-01,2.059106504828773332e+00,-6.127354140014608097e-01,1.818749377497217434e+00,-5.184965349608709057e-02
3.819444444444444753e-03,1.375000000000000000e+00,1.523245098474330650e-01,9.986774229107152623e-01,1.937124784908917374e-01,9.998912137447238946e-01,2.060856686247278358e+00,-6.695736783554265825e-01,1.820796004503471899e+00,-5.703920881447743785e-02
4.166666666666666609e-03,1.500000000000000000e+00,1.530403848134456457e-01,9.984351537217963646e-01,1.943450539381451070e-01,9.998705078816443326e-01,2.062578368048421762e+00,-7.257938312375800116e-01,1.822837759701127602e+00,-6.222609335090061033e-02
4.513888888888889332e-03,1.625000000000000222e+00,1.537568526377889877e-01,9.981734709574797693e-01,1.949783374823642335e-01,9.998480015205789551e-01,2.064271550232202213e+00,-7.813958726479227623e-01,1.824874643013859377e+00,-6.741003576239566752e-02
4.861111111111111188e-03,1.750000000000000000e+00,1.544739034247622211e-01,9.978925892398038400e-01,1.956123274319093441e-01,9.998236957240601575e-01,2.065936232798621042e+00,-8.363798025864318531e-01,1.826906654365666238e+00,-7.259080620391461514e-02
5.208333333333333912e-03,1.875000000000000222e+00,1.551915272786655309e-01,9.975927231908076065e-01,1.962470220951139932e-01,9.997975916285475328e-01,2.067572415747678249e+00,-8.907456210531513596e-01,1.828933793680873388e+00,-7.776820743779343237e-02
5.555555555555555768e-03,2.000000000000000000e+00,1.559097143037978528e-01,9.972740874325299876e-01,1.968824197802858389e-01,9.997696904342949775e-01,2.069180099079372503e+00,-9.444933280480382054e-01,1.830956060884131764e+00,-8.294206831843159433e-02
5.902777777777777624e-03,2.125000000000000000e+00,1.566284546044592885e-01,9.969368965870094579e-01,1.975185187957062827e-01,9.997399933971772290e-01,2.070759282793706024e+00,-9.976229235711352450e-01,1.832973455900413606e+00,-8.811223890771717471e-02
6.250000000000000347e-03,2.250000000000000000e+00,1.573477382849490791e-01,9.965813652762851582e-01,1.981553174496306635e-01,9.997085018220025487e-01,2.072309966890677035e+00,-1.050134407622421717e+00,1.834985978655011118e+00,-9.327858674045855225e-02
6.597222222222222203e-03,2.375000000000000000e+00,1.580675554495667712e-01,9.962077081223956743e-01,1.987928140502888963e-01,9.996752170569708218e-01,2.073832151370286425e+00,-1.102027780201895624e+00,1.836993629073538026e+00,-9.844099391981676883e-02
6.944444444444444926e-03,2.500000000000000000e+00,1.587878962026115504e-01,9.958161397473801468e-01,1.994310069058843338e-01,9.996401404890283837e-01,2.075325836232533749e+00,-1.153303041309538424e+00,1.838996407081924689e+00,-1.035993548240378842e-01
7.291666666666666782e-03,2.625000000000000000e+00,1.595087506483835460e-01,9.954068747732769395e-01,2.000698943245953487e-01,9.996032735399350555e-01,2.076791021477419008e+00,-1.203960190945390085e+00,1.840994312606420324e+00,-1.087535742715275422e-01
7.638888888888889506e-03,2.750000000000000000e+00,1.602301088911817217e-01,9.949801278221255263e-01,2.007094746145743624e-01,9.995646176629069402e-01,2.078227707104942201e+00,-1.253999229109410640e+00,1.842987345573588120e+00,-1.139035660350817825e-01
7.986111111111112229e-03,2.875000000000000444e+00,1.609519610353061791e-01,9.945361135159640487e-01,2.013497460839485387e-01,9.995241743397249579e-01,2.079635893115104217e+00,-1.303420155801639835e+00,1.844975505910305014e+00,-1.190492516259043371e-01
8.333333333333333218e-03,3.000000000000000000e+00,1.616742971850558541e-01,9.940750464768318695e-01,2.019907070408195338e-01,9.994819450782276293e-01,2.081015579507902835e+00,-1.352222971022038589e+00,1.846958793543760580e+00,-1.241905592887655174e-01
8.680555555555555941e-03,3.125000000000000000e+00,1.623971074447308482e-01,9.935971413267673524e-01,2.026323557932641628e-01,9.994379314101218270e-01,2.082366766283340720e+00,-1.400407674770645983e+00,1.848937208401456367e+00,-1.293274231643294359e-01
9.027777777777778664e-03,3.250000000000000444e+00,1.631203819186304582e-01,9.931026126878094162e-01,2.032746906493335115e-01,9.993921348890631995e-01,2.083689453441416983e+00,-1.447974267047440922e+00,1.850910750411203676e+00,-1.344597825852322792e-01
9.374999999999999653e-03,3.375000000000000000e+00,1.638441107110541195e-01,9.925916751819972017e-01,2.039177099170543517e-01,9.993445570889586405e-01,2.084983640982130737e+00,-1.494922747852425626e+00,1.852879419501120672e+00,-1.395875814802123582e-01
9.722222222222222376e-03,3.500000000000000000e+00,1.645682839263011288e-01,9.920645434313694055e-01,2.045614119044278922e-01,9.992951996024602712e-01,2.086249328905482869e+00,-1.541253117185579224e+00,1.854843215599634609e+00,-1.447107678662982455e-01
