motor_time_fraction,motor_angle_deg,small_fraction_0_1,large_fraction_0_1,dsmall_dt,dlarge_dt
0.000000000000000000e+00,0.000000000000000000e+00,7.999685149111233906e-02,8.760513322244960488e-01,8.970132109559724176e-01,3.801547842912338382e+00
3.472222222222222355e-04,1.250000000000000000e-01,8.030872641493869146e-02,8.773686876988788796e-01,8.993907438992003733e-01,3.786400046021936028e+00
6.944444444444444709e-04,2.500000000000000000e-01,8.062143145483960383e-02,8.786807630910400402e-01,9.017946999733141844e-01,3.771134660153724560e+00
1.041666666666666652e-03,3.750000000000000000e-01,8.093497580665787172e-02,8.799875176664674337e-01,9.042252005826207917e-01,3.755752233540361029e+00
1.388888888888888942e-03,5.000000000000000000e-01,8.124936870798445121e-02,8.812889108821170270e-01,9.066823647889091786e-01,3.740253320800952075e+00
1.736111111111111232e-03,6.250000000000000000e-01,8.156461943734243103e-02,8.825849023886249700e-01,9.091663092977505523e-01,3.724638482908319670e+00
2.083333333333333304e-03,7.500000000000000000e-01,8.188073731336686922e-02,8.838754520325082797e-01,9.116771484449790464e-01,3.708908287155872063e+00
2.430555555555555594e-03,8.750000000000000000e-01,8.219773169397910639e-02,8.851605198583527567e-01,9.142149941833510596e-01,3.693063307124071493e+00
2.777777777777777884e-03,1.000000000000000000e+00,8.251561197555759564e-02,8.864400661109911317e-01,9.167799560693915550e-01,3.677104122646484008e+00
3.125000000000000173e-03,1.125000000000000000e+00,8.283438759210325075e-02,8.877140512376673342e-01,9.193721412504147761e-01,3.661031319775439830e+00
3.472222222222222463e-03,1.250000000000000000e+00,8.315406801440068663e-02,8.889824358901913248e-01,9.219916544517394730e-01,3.644845490747303796e+00
3.819444444444444753e-03,1.375000000000000000e+00,8.347466274917528239e-02,8.902451809270782723e-01,9.246385979640807662e-01,3.628547233947323924e+00
4.166666666666666609e-03,1.500000000000000000e+00,8.379618133824572046e-02,8.915022474156782950e-01,9.273130716311376309e-01,3.612137153874113604e+00
4.513888888888889332e-03,1.625000000000000222e+00,8.411863335767162664e-02,8.927535966342940998e-01,9.300151728373586835e-01,3.595615861103723887e+00
4.861111111111111188e-03,1.750000000000000000e+00,8.444202841689836536e-02,8.939991900742827458e-01,9.327449964959061424e-01,3.578983972253339196e+00
5.208333333333333912e-03,1.875000000000000222e+00,8.476637615789631153e-02,8.952389894421485250e-01,9.355026350368051968e-01,3.562242109944577795e+00
5.555555555555555768e-03,2.000000000000000000e+00,8.509168625429673616e-02,8.964729566616208567e-01,9.382881783952857768e-01,3.545390902766410779e+00
5.902777777777777624e-03,2.125000000000000000e+00,8.541796841052382017e-02,8.977010538757193014e-01,9.411017140003182790e-01,3.528430985237705819e+00
6.250000000000000347e-03,2.250000000000000000e+00,8.574523236092225498e-02,8.989232434488072521e-01,9.439433267633410285e-01,3.511362997769382321e+00
6.597222222222222203e-03,2.375000000000000000e+00,8.607348786888098513e-02,9.001394879686299699e-01,9.468130990671853597e-01,3.494187586626199771e+00
6.944444444444444926e-03,2.500000000000000000e+00,8.640274472595375899e-02,9.013497502483407420e-01,9.497111107551948761e-01,3.476905403888164603e+00
7.291666666666666782e-03,2.625000000000000000e+00,8.673301275097516916e-02,9.025539933285140481e-01,9.526374391205396641e-01,3.459517107411569370e+00
7.638888888888889506e-03,2.750000000000000000e+00,8.706430178917352880e-02,9.037521804791434077e-01,9.555921588957357882e-01,3.442023360789667308e+00
7.986111111111112229e-03,2.875000000000000444e+00,8.739662171127975110e-02,9.049442752016269020e-01,9.585753422423550774e-01,3.424424833312972094e+00
8.333333333333333218e-03,3.000000000000000000e+00,8.772998241263331443e-02,9.061302412307387089e-01,9.615870587409420800e-01,3.406722199929208106e+00
8.680555555555555941e-03,3.125000000000000000e+00,8.806439381228371721e-02,9.073100425365860922e-01,9.646273753811287488e-01,3.388916141202882759e+00
9.027777777777778664e-03,3.250000000000000444e+00,8.839986585208982339e-02,9.084836433265525146e-01,9.676963565519508537e-01,3.371007343274517343e+00
9.374999999999999653e-03,3.375000000000000000e+00,8.873640849581482248e-02,9.096510080472269832e-01,9.707940640323723391e-01,3.352996497819516808e+00
9.722222222222222376e-03,3.500000000000000000e+00,8.907403172821846959e-02,9.108121013863184068e-01,9.739205569820065245e-01,3.334884302006683399e+00
1.006944444444444510e-02,3.625000000000000444e+00,8.941274555414582825e-02,9.119668882745559646e-01,9.770758919320495783e-01,3.316671458456390997e+00
1.041666666666666782e-02,3.750000000000000444e+00,8.975255999761366787e-02,9.131153338875744874e-01,9.802601227764160541e-01,3.298358675198401979e+00
1.076388888888888881e-02,3.875000000000000000e+00,9.009348510089237871e-02,9.142574036477851829e-01,9.834733007630812596e-01,3.279946665629350111e+00
1.111111111111111154e-02,4.000000000000000000e+00,9.043553092358627699e-02,9.153930632262330391e-01,9.867154744856333481e-01,3.261436148469877505e+00
1.145833333333333426e-02,4.125000000000000000e+00,9.077870754171055157e-02,9.165222785444353537e-01,9.899866898750345756e-01,3.242827847721434509e+00
1.180555555555555525e-02,4.250000000000000000e+00,9.112302504676525472e-02,9.176450157762103821e-01,9.932869901915891697e-01,3.224122492622748304e+00
1.215277777777777797e-02,4.375000000000000000e+00,9.146849354480640626e-02,9.187612413494871122e-01,9.966164160171254727e-01,3.205320817605955330e+00
1.250000000000000069e-02,4.500000000000000000e+00,9.181512315551489112e-02,9.198709219481001620e-01,9.999750052473850293e-01,3.186423562252409081e+00
1.284722222222222342e-02,4.625000000000000000e+00,9.216292401126255363e-02,9.209740245135721315e-01,1.003362793084630722e+00,3.167431471248156605e+00
1.319444444444444441e-02,4.750000000000000000e+00,9.251190625617540519e-02,9.220705162468754157e-01,1.006779812030459631e+00,3.148345294339099709e+00
1.354166666666666713e-02,4.875000000000000000e+00,9.286208004519501402e-02,9.231603646101838034e-01,1.010226091878834831e+00,3.129165786285827977e+00
1.388888888888888985e-02,5.000000000000000000e+00,9.321345554313678616e-02,9.242435373286042033e-01,1.013701659709332681e+00,3.109893706818147585e+00
1.423611111111111084e-02,5.125000000000000000e+00,9.356604292374678944e-02,9.253200023918950468e-01,1.017206539880599614e+00,3.090529820589280607e+00
1.458333333333333356e-02,5.250000000000000000e+00,9.391985236875564913e-02,9.263897280561671499e-01,1.020740754024032304e+00,3.071074897129764558e+00
1.493055555555555629e-02,5.375000000000000000e+00,9.427489406693029261e-02,9.274526828455695870e-01,1.024304321037668553e+00,3.051529710801045958e+00
1.527777777777777901e-02,5.500000000000000000e+00,9.463117821312440336e-02,9.285088355539594662e-01,1.027897257080299998e+00,3.031895040748763037e+00
1.562500000000000000e-02,5.625000000000000000e+00,9.498871500732568307e-02,9.295581552465530528e-01,1.031519575565798874e+00,3.012171670855728678e+00
1.597222222222222446e-02,5.750000000000000888e+00,9.534751465370229495e-02,9.306006112615649029e-01,1.035171287157668152e+00,2.992360389694623368e+00
1.631944444444444545e-02,5.875000000000000000e+00,9.570758735964660091e-02,9.316361732118263461e-01,1.038852399763807055e+00,2.972461990480383509e+00
1.666666666666666644e-02,6.000000000000000000e+00,9.606894333481763582e-02,9.326648109863897584e-01,1.042562918531498850e+00,2.952477271022303285e+00
1.701388888888889089e-02,6.125000000000000888e+00,9.643159279018187480e-02,9.336864947521152924e-01,1.046302845842620677e+00,2.932407033675850982e+00
1.736111111111111188e-02,6.250000000000000000e+00,9.679554593705183563e-02,9.347011949552406218e-01,1.050072181309070540e+00,2.912252085294193549e+00
1.770833333333333287e-02,6.375000000000000000e+00,9.716081298612393169e-02,9.357088823229352537e-01,1.053870921768420121e+00,2.892013237179447138e+00
1.805555555555555733e-02,6.500000000000000888e+00,9.752740414651429879e-02,9.367095278648356338e-01,1.057699061279788522e+00,2.871691305033644781e+00
1.840277777777777832e-02,6.625000000000000000e+00,9.789532962479303990e-02,9.377031028745649310e-01,1.061556591119939608e+00,2.851287108909432266e+00
1.874999999999999931e-02,6.750000000000000000e+00,9.826459962401795645e-02,9.386895789312349470e-01,1.065443499779601844e+00,2.830801473160489135e+00
1.909722222222222376e-02,6.875000000000000888e+00,9.863522434276655870e-02,9.396689279009309281e-01,1.069359772960014165e+00,2.810235226391683661e+00
1.944444444444444475e-02,7.000000000000000000e+00,9.900721397416649416e-02,9.406411219381791700e-01,1.073305393569692789e+00,2.789589201408967156e+00
1.979166666666666574e-02,7.125000000000000000e+00,9.938057870492553181e-02,9.416061334873961908e-01,1.077280341721428059e+00,2.768864235168996490e+00
2.013888888888889020e-02,7.250000000000000888e+00,9.975532871436067206e-02,9.425639352843224739e-01,1.081284594729504445e+00,2.748061168728510140e+00
2.048611111111111119e-02,7.375000000000000000e+00,1.001314741734255914e-01,9.435145003574360034e-01,1.085318127107142372e+00,2.727180847193444890e+00
2.083333333333333565e-02,7.500000000000000888e+00,1.005090252437374904e-01,9.444578020293499243e-01,1.089380910564176075e+00,2.706224119667796302e+00
2.118055555555555663e-02,7.625000000000000000e+00,1.008879920766040245e-01,9.453938139181926603e-01,1.093472914004948837e+00,2.685191839202243802e+00
2.152777777777777762e-02,7.750000000000000000e+00,1.012683848120481261e-01,9.463225099389670492e-01,1.097594103526439380e+00,2.664084862742521320e+00
2.187500000000000208e-02,7.875000000000000888e+00,1.016502135778333538e-01,9.472438643048965989e-01,1.101744442416618508e+00,2.642904051077551220e+00
2.222222222222222307e-02,8.000000000000000000e+00,1.020334884884878807e-01,9.481578515287488740e-01,1.105923891153026917e+00,2.621650268787343752e+00
2.256944444444444406e-02,8.125000000000000000e+00,1.024182196443291920e-01,9.490644464241436706e-01,1.110132407401587029e+00,2.600324384190657145e+00
2.291666666666666852e-02,8.250000000000000000e+00,1.028044171304866028e-01,9.499636241068417641e-01,1.114369946015643320e+00,2.578927269292433433e+00
2.326388888888888951e-02,8.375000000000000000e+00,1.031920910159255800e-01,9.508553599960156699e-01,1.118636459035226238e+00,2.557459799731005567e+00
2.361111111111111049e-02,8.500000000000000000e+00,1.035812513524700662e-01,9.517396298155019752e-01,1.122931895686550829e+00,2.535922854725082498e+00
2.395833333333333495e-02,8.625000000000000000e+00,1.039719081738257056e-01,9.526164095950359068e-01,1.127256202381742511e+00,2.514317317020512643e+00
2.430555555555555594e-02,8.750000000000000000e+00,1.043640714946027087e-01,9.534856756714660264e-01,1.131609322718792221e+00,2.492644072836839531e+00
2.465277777777778040e-02,8.875000000000001776e+00,1.047577513093387869e-01,9.543474046899513841e-01,1.135991197481742265e+00,2.470904011813632284e+00
2.500000000000000139e-02,9.000000000000000000e+00,1.051529575915217674e-01,9.552015736051394645e-01,1.140401764641102211e+00,2.449098026956620711e+00
2.534722222222222238e-02,9.125000000000000000e+00,1.055497002926135408e-01,9.560481596823257044e-01,1.144840959354493704e+00,2.427227014583622555e+00
2.569444444444444683e-02,9.250000000000000000e+00,1.059479893410727042e-01,9.568871404985948015e-01,1.149308713967528428e+00,2.405291874270263808e+00
2.604166666666666782e-02,9.375000000000000000e+00,1.063478346413789383e-01,9.577184939439409295e-01,1.153804958014913451e+00,2.383293508795508497e+00
2.638888888888888881e-02,9.500000000000000000e+00,1.067492460730568998e-01,9.585421982223720772e-01,1.158329618221789925e+00,2.361232824086992199e+00
2.673611111111111327e-02,9.625000000000000000e+00,1.071522334897008488e-01,9.593582318529928488e-01,1.162882618505301613e+00,2.339110729166167690e+00
2.708333333333333426e-02,9.750000000000000000e+00,1.075568067180004278e-01,9.601665736710695009e-01,1.167463879976392560e+00,2.316928136093261870e+00
2.743055555555555525e-02,9.875000000000000000e+00,1.079629755567663302e-01,9.609672028290753287e-01,1.172073320941842356e+00,2.294685959912050599e+00
2.777777777777777971e-02,1.000000000000000000e+01,1.083707497759568567e-01,9.617600987977175109e-01,1.176710856906521663e+00,2.272385118594459019e+00
2.812500000000000069e-02,1.012500000000000000e+01,1.087801391157058734e-01,9.625452413669435270e-01,1.181376400575889329e+00,2.250026532984982008e+00
2.847222222222222168e-02,1.025000000000000000e+01,1.091911532853506450e-01,9.633226106469291450e-01,1.186069861858715324e+00,2.227611126744937664e+00
2.881944444444444614e-02,1.037500000000000000e+01,1.096038019624620413e-01,9.640921870690467577e-01,1.190791147870034150e+00,2.205139826296547145e+00
2.916666666666666713e-02,1.050000000000000000e+01,1.100180947918744934e-01,9.648539513868146233e-01,1.195540162934334072e+00,2.182613560766860417e+00
2.951388888888889159e-02,1.062500000000000178e+01,1.104340413847177127e-01,9.656078846768253454e-01,1.200316808588971496e+00,2.160033261931517234e+00
2.986111111111111258e-02,1.075000000000000000e+01,1.108516513174498119e-01,9.663539683396580315e-01,1.205120983587821826e+00,2.137399864158346929e+00
3.020833333333333356e-02,1.087500000000000000e+01,1.112709341308910083e-01,9.670921841007645847e-01,1.209952583905158141e+00,2.114714304350829632e+00
3.055555555555555802e-02,1.100000000000000000e+01,1.116918993292600470e-01,9.678225140113444480e-01,1.214811502739760130e+00,2.091977521891394520e+00
3.090277777777777901e-02,1.112500000000000000e+01,1.121145563792100425e-01,9.685449404491931480e-01,1.219697630519256615e+00,2.069190458584583503e+00
3.125000000000000000e-02,1.125000000000000000e+01,1.125389147088681069e-01,9.692594461195335187e-01,1.224610854904699453e+00,2.046354058600071468e+00
3.159722222222222099e-02,1.137500000000000000e+01,1.129649837068749801e-01,9.699660140558280519e-01,1.229551060795361250e+00,2.023469268415551525e+00
3.194444444444444892e-02,1.150000000000000178e+01,1.133927727214273096e-01,9.706646276205691537e-01,1.234518130333771779e+00,2.000537036759481690e+00
3.229166666666666990e-02,1.162500000000000178e+01,1.138222910593209708e-01,9.713552705060519710e-01,1.239511942910979991e+00,1.977558314553711893e+00
3.263888888888889089e-02,1.175000000000000000e+01,1.142535479849968727e-01,9.720379267351249020e-01,1.244532375172046512e+00,1.954534054855975089e+00
3.298611111111111188e-02,1.187500000000000000e+01,1.146865527195886358e-01,9.727125806619215664e-01,1.249579301021766398e+00,1.931465212802269127e+00
3.333333333333333287e-02,1.200000000000000000e+01,1.151213144399714922e-01,9.733792169725726806e-01,1.254652591630623482e+00,1.908352745549112051e+00
3.368055555555555386e-02,1.212500000000000000e+01,1.155578422778148623e-01,9.740378206858972820e-01,1.259752115440967879e+00,1.885197612215688601e+00
3.402777777777778179e-02,1.225000000000000178e+01,1.159961453186356961e-01,9.746883771540744146e-01,1.264877738173431077e+00,1.862000773825884359e+00
3.437500000000000278e-02,1.237500000000000178e+01,1.164362326008541310e-01,9.753308720632943851e-01,1.270029322833561736e+00,1.838763193250219974e+00
3.472222222222222376e-02,1.250000000000000000e+01,1.168781131148527719e-01,9.759652914343890373e-01,1.275206729718696641e+00,1.815485835147676585e+00
3.506944444444444475e-02,1.262500000000000000e+01,1.173217958020374152e-01,9.765916216234438174e-01,1.280409816425052583e+00,1.792169665907429099e+00
3.541666666666666574e-02,1.275000000000000000e+01,1.177672895538995623e-01,9.772098493223883020e-01,1.285638437855052940e+00,1.768815653590485315e+00
3.576388888888889367e-02,1.287500000000000178e+01,1.182146032110835687e-01,9.778199615595652983e-01,1.290892446224879864e+00,1.745424767871229133e+00
3.611111111111111466e-02,1.300000000000000178e+01,1.186637455624545839e-01,9.784219457002824027e-01,1.296171691072246945e+00,1.721997979978890481e+00
3.645833333333333565e-02,1.312500000000000000e+01,1.191147253441700166e-01,9.790157894473404676e-01,1.301476019264408146e+00,1.698536262638918881e+00
3.680555555555555663e-02,1.325000000000000000e+01,1.195675512387537887e-01,9.796014808415444142e-01,1.306805275006390099e+00,1.675040590014290842e+00
3.715277777777777762e-02,1.337500000000000000e+01,1.200222318741732547e-01,9.801790082621899547e-01,1.312159299849440020e+00,1.651511937646735539e+00
3.749999999999999861e-02,1.350000000000000000e+01,1.204787758229195066e-01,9.807483604275346600e-01,1.317537932699718972e+00,1.627951282397895882e+00
