fluid,mass_flow_kg_s,mass_flow_uncertainty_kg_s,pressure_Pa,pressure_uncertainty_Pa,T1_K,T2_K,T3_K,T4_K,effectiveness,effectiveness_uncertainty,UA_W_K,UA_uncertainty_W_K,pressure_drop_Pa,pressure_drop_uncertainty_Pa
nitrogen,0.000470,0.000020,322000,3000,377.85,304.05,296.15,366.15,0.857,0.006,3.7,0.4,5100,200
nitrogen,0.000840,0.000020,322000,3000,369.65,305.45,296.45,357.25,0.831,0.007,5.3,0.5,9500,200
nitrogen,0.000930,0.000020,322000,3000,372.55,306.15,295.95,358.95,0.822,0.007,5.4,0.5,11100,200
