index,label,feasible,k_i,k_o,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_pressure_pa,maximum_temperature_k,maximum_absolute_mass_flow_kg_s,maximum_tube_reynolds,maximum_tube_mach_number,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,convergence_cycles,constraint_power_ok,constraint_pressure_ok,constraint_temperature_ok,constraint_mass_flow_ok,constraint_validity_ok,hi_tube_length_m,ho_tube_length_m,hi_working_gas_volume_m3,ho_working_gas_volume_m3,hi_wall_capacity_j_k,ho_wall_capacity_j_k,hi_static_conductance_w_k,ho_static_conductance_w_k,hi_internal_area_m2,ho_internal_area_m2,total_tube_length_factor_vs_symmetric_baseline,hi_to_ho_length_ratio
8,sobol,True,1.0941096737980842,0.5951122685149313,0.20561604223540905,51.31259070077389,249.55538557651204,-198.30220773113584,497893.21044951584,586.0451995991173,0.010272477233453536,534.4433099614554,0.040820803375021954,0.024381445700794528,0.07537617004184591,0.011409747516977197,33,True,True,True,True,True,0.0463173095241189,0.02519308603379876,3.994554019990571e-05,3.3246104237732764e-05,160.6664773534649,88.30246997753838,13.232108911443538,7.197258684488189,0.17805200242309957,0.09684671803312445,0.8446109711565077,1.838492888960889
119,sobol,True,1.092196634411812,0.6041070125252008,0.2055509144334134,51.48231416313506,250.46015633178976,-198.92143835489046,497488.1802361476,585.9020154172418,0.010272485127207694,534.4437206476028,0.04082658478559331,0.02449748046541582,0.07457357887731275,0.01157325295510203,30,True,True,True,True,True,0.046236324190100035,0.0255738635302335,3.991985612875474e-05,3.336686581054845e-05,160.38905066788905,89.60687700453357,13.20897270662125,7.3060406788574355,0.17774068034854226,0.09831049467331457,0.8481518234685064,1.8079522531055705
62,sobol,True,1.1938170835375785,0.5755560613051057,0.2054719418838788,51.60375125575473,251.14743542414308,-199.4891369066937,499062.22928158595,587.9788409130934,0.010257688794047417,533.6739159461898,0.04072473202640844,0.02248274095225762,0.07713278936595785,0.01104175503187078,28,True,True,True,True,True,0.05053825653642416,0.024365206595249475,4.128419126187835e-05,3.298354664429024e-05,175.12592675627104,85.46645217906116,14.437965450825889,6.960746870460554,0.19427807590155574,0.09366420174897257,0.8846865724213422,2.0741977433623604
39,sobol,True,1.1005763232707977,0.6254288176819682,0.2054663316499695,51.95829525835344,252.87985063591393,-200.8641078244036,496607.7258644673,585.8242650556923,0.0102701736845614,534.323463865271,0.04082640280477572,0.02452211641456382,0.07274598553862972,0.011958329914517953,27,True,True,True,True,True,0.0465910643517971,0.026476486615203323,4.003236009831316e-05,3.3653127956870906e-05,161.60426313188077,92.69893970725816,13.310316254056675,7.5639055481474875,0.17910436482803832,0.10178033887116253,0.863002570476383,1.759714762344774
17,sobol,True,1.200674358010292,0.6000715422257781,0.20544766858057342,52.18626945044526,254.0124685327281,-201.7730519669794,498001.86781661195,587.8168692643973,0.010256211209286638,533.5970420556614,0.04072789099319445,0.022581507956721557,0.07485988117371298,0.011484309121967403,25,True,True,True,True,True,0.0508285478224357,0.025403028620891274,4.13762556107479e-05,3.331268642091236e-05,176.12036050536162,89.02165792439216,14.52089699309407,7.257235898322508,0.1953940074030048,0.09765377479893773,0.9003729501180351,2.0008853503646673
110,sobol,True,1.2114619806408882,0.5977181375026703,0.2054306690563664,52.20582899450066,254.12870061858362,-201.87073281149932,498123.47789040237,588.0134113804042,0.010254722882835816,533.5196093102192,0.04071779246077105,0.022390353806791396,0.07505803988152998,0.01144021474256573,25,True,True,True,True,True,0.05128522384713093,0.02530340115427971,4.152108800112226e-05,3.328109009582408e-05,177.68476864725605,88.6803699839371,14.651361973856082,7.228773936642955,0.1971495515287547,0.09727078904029188,0.9045900590717793,2.0268114762294225
65,sobol,True,1.1924892246723175,0.6238376384228468,0.20538812626121433,52.60715251988688,256.13531550008236,-203.473734986568,496970.3109981269,587.4385476748345,0.010256928877803833,533.6343799955828,0.04074266017432935,0.022904079382162962,0.07281979717205993,0.011915712474558972,22,True,True,True,True,True,0.05048204384446144,0.026409126693233847,4.1266363703377176e-05,3.3631765113220905e-05,174.9333622505189,92.46818879267545,14.42190639061928,7.544661903969446,0.1940619842833597,0.10152139531176853,0.9081634315475822,1.9115377964162366
105,sobol,True,1.2902255959808828,0.6157321234792471,0.20519195850702734,53.044002293376884,258.50916712001776,-205.426118690394,497444.4456319311,589.0019768592234,0.010241875836635253,532.8512196181694,0.0406611315051175,0.021345911375491154,0.07340323888041438,0.011756406713695046,22,True,True,True,True,True,0.05461955022985737,0.02606599322728813,4.257855201102046e-05,3.352294214594662e-05,189.1069740156062,91.29273670223525,15.603925287568446,7.4466342024642325,0.20996729710327827,0.1002023290417772,0.952978859730065,2.0954333009139634
113,sobol,True,1.2269255638122558,0.6540134393423795,0.20514886922541128,53.37705871268137,260.18695064817683,-206.77191657895645,495788.5214476155,587.6943431183179,0.010249925018660982,533.2699921680178,0.04072329666542058,0.02257376234521663,0.07039696467249891,0.012457869450880132,22,True,True,True,True,True,0.05193984886805216,0.027686568932160736,4.172869887064878e-05,3.403689917549719e-05,179.92727899865983,96.8442473797466,14.83837779282275,7.909606565203638,0.19966604691695497,0.10643211121814775,0.9404695015773177,1.875994421530463
57,sobol,True,1.3045020140707493,0.6391193636879325,0.20504830070988878,53.57341678203811,261.2721812205413,-207.66858118049734,496476.8044252285,588.9812149184735,0.010238455569479813,532.673274332143,0.040657358786959946,0.021310361193033017,0.07147055426741633,0.012178093779724881,22,True,True,True,True,True,0.05522391859566172,0.027056053062789145,4.277022424768869e-05,3.3836934396108996e-05,191.1773231056394,94.68432632784369,15.776583590071743,7.729478342307317,0.21229059694168112,0.10400829571041206,0.971810688879341,2.041092929094397
