index,ratio_s_l,lambda_s,lambda_l,status,cycles,cold_power_w,mechanical_power_w,cop,minimum_temperature_k,maximum_temperature_k,maximum_pressure_bar,epsilon_p,epsilon_t_cold,epsilon_t_hot,topology,validity,feasible_100w_150w,mass_residual,energy_residual
1,0.7937983191899864,0.5438308689972604,0.4908950048092189,converged,4,168.5714961053685,56.949611150318574,2.9600113626838263,229.39214312226022,356.0270296641271,2.644387556270657,0.0038274120424045843,0.02298462185868866,0.030207604116977333,nominal,indeterminate,True,1.5306479607452672e-15,3.0281292434955775e-15
2,0.8216638556033611,0.5227502056082188,0.5017723782437105,converged,4,164.28427118191505,53.53764331842664,3.068574950242001,231.7425958987632,349.0827343769269,2.4321508399790783,0.003949140838407444,0.02297742861508306,0.024951136522202107,nominal,indeterminate,True,-2.040326536259159e-15,-5.723387939724568e-16
3,0.8373826494569256,0.5587496193805211,0.4716630517637573,converged,4,168.84835841513677,56.964842180316225,2.9640801580853156,231.69017227574506,356.9049806094507,2.6046779290962245,0.004053054656933656,0.02195279987587007,0.031225246505077308,nominal,indeterminate,True,-1.7000195919337978e-16,3.296102269944307e-15
4,0.7776141045440069,0.5403006126664381,0.4977331966038406,converged,4,169.16674106706643,57.42609375194499,2.9458166142693076,228.37727553671886,356.2205049213063,2.6737047487263625,0.003744373447893725,0.023418632281990252,0.03020246730119855,nominal,indeterminate,True,1.7009801703907148e-15,2.2361683265403863e-15
5,0.7669133486673476,0.5464442876559571,0.46574441342390266,converged,4,161.78563100763182,54.98502242532457,2.942358189038727,228.83102132043962,359.20947352214233,2.772537047027371,0.003661458756843482,0.02161260848905221,0.03395426354096448,nominal,indeterminate,True,2.041382716388086e-15,8.87859751713487e-16
6,0.7543435976519908,0.5141292790628496,0.5074205285577553,converged,5,162.19512830234623,53.65682451126368,3.0228238398323053,228.2044039225898,351.9527460146248,2.6009073825787272,0.003597791853625354,0.023455079071290866,0.02716277506865257,nominal,indeterminate,True,-1.3610835673859956e-15,-1.5470450632709424e-15
7,0.8058037067297538,0.5328081348533695,0.4629219760387353,converged,4,155.971402994562,50.69554145807139,3.0766295912543082,232.10788945786797,353.40429638575296,2.563597554104247,0.0038327589691467593,0.020811434895372447,0.02948968947292267,nominal,indeterminate,True,1.7005269820716504e-16,-1.2682796012948352e-15
8,0.785783678491336,0.5141769186628102,0.5140361295790107,converged,5,164.81468066455255,54.13910698276788,3.0442814787656545,229.66676603645237,349.473227645129,2.4905380115794182,0.003765167474400101,0.02382061504838765,0.025014927890378756,nominal,indeterminate,True,2.3811883310698073e-15,-8.240639647401859e-17
9,0.7957947804843646,0.549671196800847,0.4814371391384107,converged,4,167.96885437707718,56.97440555753193,2.948145798686125,229.56380752345248,357.46611608120423,2.679109820464949,0.003835690542704066,0.022528523182812,0.031616409338126074,nominal,indeterminate,True,8.503439311382728e-16,1.3153633639591329e-15
10,0.7637804466919726,0.5270545256203033,0.48856796705281974,converged,5,161.15617342247845,53.579094595585545,3.0078181544291405,228.86895229965796,354.52979157208233,2.6535023595279585,0.003641327909522083,0.022480396875202625,0.029607259723356278,nominal,indeterminate,True,-5.10360796398794e-16,4.518056765209843e-16
11,0.8318491625306247,0.5184122865114285,0.4751453160345523,converged,4,154.31060785091654,48.811895369915824,3.1613320212519875,233.9009465807693,348.1398848905354,2.398916381493558,0.003955815406450516,0.020962492567270237,0.025265999962543268,nominal,indeterminate,True,1.7001084785615935e-16,6.232297797714478e-16
12,0.8119303039355683,0.536397056767008,0.4931675797159325,converged,4,166.59062729455522,55.291435498422196,3.012955366284695,230.77396424554755,352.9975063310906,2.5415360040045933,0.003910341759251974,0.022824306457213287,0.027894341977227635,nominal,indeterminate,True,-1.530385668153153e-15,-2.390755572464729e-15
13,0.7904921175537661,0.5520959150373769,0.48616832298568463,converged,4,170.29302844546544,58.28360509938697,2.9217998467163557,228.88081613654902,358.28792647893124,2.707986923744802,0.003818691173010511,0.022936818812300145,0.03203313124101836,nominal,indeterminate,True,1.3606184863050858e-15,1.7432620743120222e-15
