index,ratio_s_l,lambda_s,lambda_l,status,cycles,cold_power_w,mechanical_power_w,cop,minimum_temperature_k,maximum_temperature_k,maximum_pressure_bar,epsilon_p,epsilon_t_cold,epsilon_t_hot,topology,validity,feasible_100w_150w,mass_residual,energy_residual
1,0.7613381779937438,0.5699995706305349,0.4986614083933964,converged,4,180.73030084606793,65.11094122890145,2.7757285862402084,225.4152183475328,364.3516218611723,2.916303700568924,0.003713914752277807,0.024435176747098032,0.036133913933135885,nominal,indeterminate,True,2.3817387149958693e-15,-3.613633340709707e-16
2,0.798347796466757,0.5832794945322055,0.47856083157503754,converged,4,180.57026498828893,64.96657481859859,2.779433354651712,227.50645047303533,365.4583927287726,2.88566366328565,0.003908876331921361,0.023410577378546755,0.03754831318981532,nominal,indeterminate,True,8.503234115206077e-16,-1.112394624187195e-15
3,0.7162504306097615,0.5960341525591777,0.4624875845169027,converged,4,180.13911391201756,69.37901058120862,2.5964497389475376,222.38731860827943,375.1870163569394,3.320559995037675,0.003487953591523229,0.0231495501521092,0.04771166485918237,nominal,indeterminate,True,5.105902545640416e-16,-2.5264667998136206e-15
4,0.696982824888499,0.5798549229665457,0.5060551236908981,converged,4,185.45766758648986,70.70974045942633,2.6228022671488462,220.50942970744447,371.4859812537582,3.2454142435286637,0.003405228338229594,0.02532930175547451,0.04218167448542589,nominal,indeterminate,True,-1.3618222148207173e-15,1.2844663378404154e-15
5,0.7663171954310275,0.5885749662606399,0.4675293009595786,converged,4,179.26984790307557,65.97499439422803,2.7172393048169683,225.7657744669477,369.3961663725893,3.0513164284631964,0.0037365135076584525,0.02304500930300561,0.04169576333986601,nominal,indeterminate,True,-1.1908132965566672e-15,-7.06866043893663e-16
6,0.7040229119745085,0.5329147171877758,0.5160445660005522,converged,5,170.77304511446496,60.02777052396697,2.8449006788663143,223.57706514641725,359.6403666277122,2.890761373023018,0.0033779407325220602,0.024697606414298093,0.03259238980448484,nominal,indeterminate,True,8.510821968095961e-16,-2.917434715959553e-15
7,0.7599948282552093,0.5536041689562728,0.5261863112770907,converged,4,182.95920972073893,65.14933508031771,2.808305096209843,225.10730268409793,359.8069179738148,2.792647411361232,0.003714374777080351,0.025961144543018757,0.03148334622725861,nominal,indeterminate,True,-1.701263548237245e-16,6.325476806207607e-16
8,0.7937983191899864,0.5438308689972604,0.4908950048092189,converged,4,168.5714961053685,56.949611150318574,2.9600113626838263,229.39214312226022,356.0270296641271,2.644387556270657,0.0038274120424045843,0.02298462185868866,0.030207604116977333,nominal,indeterminate,True,1.5306479607452672e-15,3.0281292434955775e-15
9,0.7787615690633639,0.5745102899986083,0.4858601951994532,converged,4,178.94634387425148,64.09767370582745,2.7917759495534167,226.69183875017856,364.50496724989114,2.891833964261244,0.0037971845258371406,0.02366942778636714,0.03670298183794657,nominal,indeterminate,True,-3.4019234370710015e-16,1.1323333978254992e-15
10,0.7342311964565265,0.5390538409734814,0.5369134214252806,converged,5,180.53502127019686,63.949491425756825,2.823087678184147,223.98965450341058,358.1124092283421,2.790784064532472,0.003573468790877129,0.02644341892738585,0.030103487851538883,nominal,indeterminate,True,-6.80671234006569e-16,1.1744804232023e-15
11,0.7416424770528172,0.550364584333359,0.5282420385787719,converged,5,182.05113998842089,65.06068748573381,2.7981742435220993,224.14903173491825,360.37417879830105,2.8393916805656936,0.0036179723598937503,0.02605696341037077,0.03198752699706543,nominal,indeterminate,True,3.4031176336629547e-16,1.1344853544452076e-15
12,0.688481919431772,0.5610087205049392,0.5075438657172467,converged,5,178.2998540263384,66.12276993750937,2.6964970492743148,221.17978125999875,367.5310152971008,3.147012006882047,0.0033327734937783184,0.024883425221149353,0.03914362891129028,nominal,indeterminate,True,2.8941049710638666e-15,-1.3260513333622223e-15
13,0.8154288343312303,0.5675210745581091,0.4933943565853716,converged,4,178.75311106716302,62.50894558738356,2.859640478454039,228.8753448425229,359.9743044455745,2.71228329810833,0.003986584388592199,0.023793528951808536,0.032593736218861205,nominal,indeterminate,True,-3.4007445992544047e-16,-2.6110300136926703e-15
