theta_deg,phase,u_from_high_turn_deg,E_x,E_y,candidate_projected_velocity,candidate_velocity_normalized,target_velocity,target_velocity_normalized
0.0,short_fast,1.188187203334735,3.0619386910912727,4.366310001650629,-0.16835249547407055,-0.09045091887038262,-0.05214303478674571,-0.1645098096394876
0.25,short_fast,1.438187203334735,3.0701597587589218,4.3673892212470875,-0.20626711945753415,-0.11082134800047841,-0.0642075342212776,-0.20257296636766195
0.5,short_fast,1.688187203334735,3.0786164185481977,4.3683513782722185,-0.2448479411772912,-0.1315497058754225,-0.07665460334634135,-0.24184311972003794
0.7500000000000001,short_fast,1.938187203334735,3.0873110514577817,4.369194004764446,-0.2841075848672881,-0.15264277513040703,-0.08948502324004116,-0.28232273397608776
1.0,short_fast,2.188187203334735,3.0962460204719355,4.369914569941294,-0.3240587293965712,-0.17410736775448063,-0.10269887454475113,-0.32401206356023565
1.25,short_fast,2.438187203334735,3.1054236681734158,4.370510479272098,-0.36471409446449915,-0.19595031767363588,-0.11629555293048703,-0.36690920182836195
1.5000000000000002,short_fast,2.688187203334735,3.114846314250301,4.370979073582916,-0.40608642579234067,-0.21817847279468394,-0.130273784558278,-0.4110101298543058
1.75,short_fast,2.938187203334735,3.124516252894267,4.371317628197593,-0.44818847927281186,-0.24079868648925992,-0.14463164154353855,-0.45630876521636954
2.0,short_fast,3.188187203334735,3.1344357500878735,4.3715233521191195,-0.4910330040393542,-0.26381780849743647,-0.1593665574194404,-0.5027970107838224
2.25,short_fast,3.438187203334735,3.1446070407785633,4.37159338725572,-0.5346327244173851,-0.28724267523065355,-0.17447534260028408,-0.5504648035034037
2.5,short_fast,3.688187203334735,3.155032325937176,4.371524807696251,-0.5790003207204065,-0.31108009945402404,-0.18995419984487094,-0.599300163185826
2.75,short_fast,3.938187203334735,3.1657137694989084,4.371314619039817,-0.6241484088547069,-0.33533685932853063,-0.20579873971987495,-0.64928924129228
3.0000000000000004,short_fast,4.188187203334735,3.176653495184784,4.370959757784654,-0.670089518697524,-0.36001968679423935,-0.22200399606321436,-0.7004163697209369
3.25,short_fast,4.438187203334735,3.187853583201892,4.370457090781638,-0.7168360712149048,-0.38513525527638826,-0.23856444144742378,-0.7526641095934525
3.5,short_fast,4.688187203334735,3.199316066820839,4.369803414758013,-0.7644003542871571,-0.41069016669710334,-0.25547400264302567,-0.8060133000414706
3.7499999999999996,short_fast,4.938187203334735,3.2110429288290274,4.368995455917121,-0.8127944972117599,-0.4366909377765504,-0.2727260760819025,-0.8604431069931274
4.0,short_fast,5.188187203334735,3.223036097858669,4.3680298696202335,-0.8620304438558853,-0.463143985608563,-0.2903135433206684,-0.9159310719595538
4.25,short_fast,5.438187203334735,3.2352974445886673,4.366903240156804,-0.9121199244333226,-0.4900556124972014,-0.30822878650404095,-0.9724531608213802
4.5,short_fast,5.688187203334735,3.2478287778197688,4.3656120806096474,-0.9630744258835878,-0.5174319900423064,-0.3264637038282129,-1.0299838126152387
4.75,short_fast,5.938187203334735,3.2606318404227306,4.364152832821882,-1.0149051608343935,-0.5452791424639329,-0.3450097250042244,-1.0884959883202687
5.0,short_fast,6.188187203334735,3.2737083051595737,4.362521867472652,-1.067623035132438,-0.5736029291575842,-0.36385782672133443,-1.147961219644619
5.25,short_fast,6.438187203334735,3.287059770378341,4.360715484268855,-1.1212386139316768,-0.6024090264744218,-0.3829985481103925,-1.2083496578119506
5.5,short_fast,6.688187203334735,3.3006877555822056,4.358729912260378,-1.175762086332902,-0.631702908723137,-0.4024220062072111,-1.269630122347943
5.75,short_fast,6.938187203334735,3.314593696874175,4.3565613102864935,-1.231203228573547,-0.6614898283928978,-0.42211791141593685,-1.3317701498667955
