index,label,feasible,small_min_deg,small_max_deg,large_max_deg,h_s_low_before,h_s_low_after,h_s_high_before,h_s_high_after,h_l_low_before,h_l_low_after,h_l_high_before,h_l_high_after,sector_smin_to_lmin_deg,sector_lmin_to_smax_deg,sector_smax_to_lmax_deg,sector_lmax_to_next_smin_deg,cross_symmetry_rms_h,cross_symmetry_max_abs_h,delta_cross_low_before,delta_cross_low_after,delta_cross_high_before,delta_cross_high_after,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_pressure_pa,maximum_temperature_k,maximum_tube_reynolds,maximum_tube_mach_number,maximum_absolute_mass_flow_kg_s,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,small_max_abs_dV_dtheta,large_max_abs_dV_dtheta,small_max_abs_d2V_dtheta2,large_max_abs_d2V_dtheta2,convergence_cycles,constraint_power_ok,constraint_pressure_ok,constraint_temperature_ok,constraint_mass_flow_ok,constraint_validity_ok
0,sobol,False,71.86625989153981,242.53194925375283,365.49868423491716,-0.05427337130531673,0.32632561801001425,-1.5321086857467892,-0.6295785984024407,-0.37210712521336975,-0.29348937147296966,-0.42166509814560427,-0.6022714748978617,108.13374010846019,62.53194925375283,122.96673498116434,66.36757565662265,0.6026727664767826,0.9298372108489275,-0.698432743223384,-0.23921600016765293,0.20791350025683641,0.9298372108489275,0.16990245268531876,37.787698474917434,222.40819880867244,-184.63989595097655,596701.8298600514,590.4812300811395,731.9318392413545,0.04100045856332525,0.014068382960184962,0.026965063029413993,0.09036788941690233,0.012225581723129307,0.0005623503510434235,0.00044474342295145803,0.0011712842077729717,0.0008439795414890574,22,False,True,True,True,True
1,sobol,True,79.81078885961324,236.94658094551414,373.14561059325933,-0.3761959085706621,-0.5331070041749626,-0.9777528228238226,-1.3282381607219578,0.07417482719756663,0.26911255843006077,-1.656200966797769,-1.2597389046102763,100.18921114038676,56.94658094551414,136.1990296477452,66.6651782663539,0.4930238312669056,0.6453084670007229,0.6072818313725292,0.6453084670007229,-0.3279628060758113,-0.2819860817864537,0.1828116601451764,49.404290272123475,270.24693191282216,-220.78787090196602,520460.9839451972,587.9518193138347,756.5503850886805,0.044017010551364526,0.014541573375377224,0.031718525884350056,0.08154950393434438,0.010755208302865919,0.00045352305873502374,0.0006143777622810363,0.0010791752068789091,0.001301895601549298,23,True,True,True,True,True
2,sobol,False,75.30683521647006,239.32111935224384,362.52900513261557,0.2002364757005125,-0.22346147298812868,-0.6652361534535887,-0.9092844836413861,0.2505494692828506,-0.05243180915713308,-1.3525383872911334,-1.6001442478969694,104.69316478352994,59.32111935224384,123.20788578037173,72.7778300838545,0.5828925294859291,0.9349080944433807,0.4740109422709793,-0.2526682848576456,-0.44325390364974726,-0.9349080944433807,0.15964474656088745,35.71238045933484,223.69906450829794,-187.9904383873897,641909.4458992752,605.9706252145297,732.3553543426802,0.04883160430091279,0.014076523298281263,0.02216014343755909,0.07360590283409647,0.013150009538762546,0.0004201592084133147,0.0006480021574953013,0.0008340331933456062,0.0013241469886645669,22,False,True,True,True,True
3,sobol,True,67.2295874170959,233.54364802129567,370.0712066963315,-0.15137240253388884,-0.06956897261552508,-1.2211434511467816,-1.6107851386070253,-0.19193468377925454,-0.4398878626525402,-0.7961223449558021,-0.9399844532832504,112.7704125829041,53.54364802129567,136.52755867503583,57.1583807207644,0.458514009446637,0.8146627936512232,-0.12236571116372946,-0.28851546011865137,0.8146627936512232,0.28115899786353116,0.19042138518713067,54.54096264577928,286.4224655869447,-231.85126934724136,448361.7307046869,582.3239964601182,580.4754965645195,0.03996912697312523,0.011157256928647333,0.029778510305231418,0.06417115653137344,0.01031614205911657,0.0005004359994245898,0.000525550862298337,0.0010819108776213217,0.0010775998798248606,22,True,True,True,True,True
4,sobol,True,65.28190169017762,240.2383011719212,372.41467479616404,-0.3455165355466306,0.029018921451643087,-1.7563234042376281,-1.0383129186928273,0.19658217499963937,0.045297965826466724,-1.5888148687779904,-1.6451646596193314,114.71809830982238,60.238301171921194,132.17637362424284,52.867226894013584,0.3522151622147235,0.5505019500851631,0.16756325354799628,0.3908145013730973,-0.5505019500851631,0.11115874461829667,0.18538364992956413,42.92165542023212,231.52880761890304,-188.63900672305581,597013.3304144685,591.6998125836199,520.8162892634933,0.04478775156846225,0.010010553737976137,0.02492818508462116,0.09246084303431264,0.011146097178262412,0.0005589448889590958,0.0006891737969161221,0.0012132297861210453,0.0015106814280774201,25,True,True,True,True,True
5,sobol,True,73.27037594281137,230.81050877459347,367.6851706430316,0.27513871244154864,-0.3547088418155908,-0.9176005521789194,-1.7398136779665947,-0.24958542441017922,-0.5209206785541027,-0.7452305356040598,-0.8943859267979861,106.72962405718863,50.81050877459347,136.87466186843812,65.58520529977977,0.6392370516449025,0.9945831423625349,0.10512341740541159,-0.7960593909956514,0.9945831423625349,0.02321462538093333,0.18179769067233223,53.903680978228714,296.50366172903375,-242.5798535443057,424272.0793177369,580.198157037919,640.7645444423513,0.04133296815247628,0.012316066217131615,0.03385619250476584,0.07307070316013024,0.010637238113232672,0.0004956753310057619,0.0005054050980864995,0.001040994948594644,0.0010233308151373873,22,True,True,True,True,True
6,sobol,True,78.00958636216819,243.37761265225708,369.48909049481153,-0.5991879147943109,-0.4018088857177645,-0.44103474467992787,-0.4021126633509995,-0.5445361233782023,-0.19570206785574557,-1.0383401365950704,-0.5539585562422873,101.99041363783181,63.377612652257085,126.11147784255445,68.52049586735666,0.3875271209793634,0.6362274732440709,-0.14272723766043782,0.4034858469385653,-0.6362274732440709,-0.11292381156235942,0.18322773317191926,53.927545839237325,294.31977848374123,-240.3366438103722,390714.76760095946,580.4842829320629,688.6350486990577,0.03788991934612111,0.013236180017726149,0.037479255106759396,0.06227630636474833,0.011442602528716934,0.00037521612078895414,0.00048500734310819125,0.0007099769877666601,0.0009105420564586626,22,True,True,True,True,True
7,sobol,True,70.1520651532337,234.1677869250998,364.65483865886927,0.051156445220112756,0.22731011053547256,-1.2812823286280035,-1.1007721213623882,-0.10193438972346486,0.18802130436524744,-1.2038046434521676,-1.307428308390081,109.8479348467663,54.16778692509979,130.48705173376948,65.49722649436444,0.18603309079668787,0.3292445002589374,-0.3292445002589374,0.1368648591451347,-0.10303252208977942,-0.026145979762077554,0.1936073905578605,47.758865607890186,246.6789385998011,-199.05736878013485,544349.5168426528,589.329360533972,635.3128209595676,0.046515496185562714,0.012211279227910965,0.025346995677397406,0.07927976046480832,0.012006889254716614,0.0005413074124966234,0.0005763230215570795,0.0011425646019704993,0.001203744405141993,33,True,True,True,True,True
8,sobol,True,69.56179729662836,238.12919694930315,368.08078633621335,0.30756602799519894,-0.584071837645024,-1.1798906933516264,-0.9634942002594472,0.1626811277121305,0.09605512926355009,-0.8765427449718118,-1.37318824660033,110.43820270337164,58.12919694930315,129.9515893869102,61.481010960415006,0.4022752015786415,0.7467529653571545,0.7467529653571545,-0.21151089873164886,0.08695145528763537,-0.19329755324870357,0.1939700703155538,50.95518860606857,262.6961392712484,-211.6956141420881,506242.56459452887,587.5975881482619,700.1317166505138,0.045516206570990925,0.01345715623277209,0.02945064342583415,0.06419688569539977,0.012310550353119004,0.00044970835136149757,0.0006231316211888894,0.001033617947997354,0.001287884715858829,22,True,True,True,True,True
9,sobol,True,76.495530041866,232.45085986796767,363.8222065605223,-0.2592808828223497,0.28996897521428766,-0.6200581530109048,-1.6649734303355217,-0.3430050428956747,-0.5880149989388883,-1.3700414620339871,-0.44506010357290515,103.504469958134,52.450859867967665,131.37134669255465,72.67332348134369,0.3957055123240371,0.6329740181099623,-0.6329740181099623,-0.32873411611653863,0.29493196830153456,0.17499804943799968,0.1843506834757327,51.47512954196527,279.2239690759882,-227.70124768255465,474713.6396580114,583.8951889764139,772.2812095378707,0.040312506755596916,0.014843933855910539,0.03511517978771127,0.06428807676763613,0.010135165711981895,0.0005025183066113216,0.0005230310794607029,0.0008974328487957063,0.0011250013038773682,22,True,True,True,True,True
