time_s,cycle_progress_rad,S_pressure_Pa,S_temperature_K,L_pressure_Pa,L_temperature_K,H_i_pressure_Pa,H_i_temperature_K,H_o_pressure_Pa,H_o_temperature_K,S_to_H_i_mass_flow_kg_s,H_i_to_L_mass_flow_kg_s,L_to_H_o_mass_flow_kg_s,H_o_to_S_mass_flow_kg_s,H_i_heat_received_W,H_o_heat_received_W
0.0,0.0,157470.12766800993,302.0329600494134,157469.84929322047,474.9968877012764,157470.01737918204,598.5173178977642,157470.22387622352,299.5214124726867,0.0004209466407940907,0.0007670615811554602,-0.0004734262359154663,0.00021770922085443518,185.33526277947487,59.82344091416536
4.969260439797487e-14,4.7307893869589645e-14,157470.12766753603,302.032960049151,157469.8492932255,474.99688770128085,157470.01737917762,598.5173178977643,157470.22387621907,299.52141247268673,0.0004209455532017924,0.0007670615562457868,-0.0004734262294773219,0.00021770987826359486,185.33526277946066,59.823440914158255
9.938520879594975e-14,9.461578773917929e-14,157470.12766704985,302.0329600488885,157469.84929323063,474.9968877012852,157470.0173791732,598.5173178977645,157470.22387621462,299.52141247268673,0.00042094443724010185,0.0007670615311663209,-0.00047342622295775,0.00021771055288992885,185.33526277943224,59.823440914158255
1.4907781319392462e-13,1.4192368160876894e-13,157470.1276665708,302.0329600486262,157469.84929323572,474.9968877012896,157470.0173791687,598.5173178977647,157470.22387621013,299.52141247268673,0.0004209433378720573,0.0007670615059371773,-0.000473426216476846,0.00021771121741954883,185.33526277941803,59.823440914158255
1.987704175918995e-13,1.8923157547835858e-13,157470.12766609693,302.0329600483638,157469.84929324072,474.99688770129393,157470.01737916426,598.5173178977648,157470.2238762057,299.5214124726868,0.0004209422505295872,0.0007670614811671208,-0.0004734262100800968,0.00021771187482356907,185.33526277940382,59.82344091415115
2.484630219898743e-13,2.365394693479482e-13,157470.12766561602,302.03296004810136,157469.84929324582,474.9968877012983,157470.01737915984,598.517317897765,157470.2238762013,299.52141247268685,0.0004209411467526287,0.0007670614562373293,-0.00047342620360192025,0.00021771254215100403,185.3352627793754,59.823440914144044
3.4784823078582406e-13,3.311552570871275e-13,157470.12766465778,302.0329600475766,157469.8492932559,474.996887701307,157470.01737915093,598.5173178977651,157470.22387619238,299.5214124726869,0.00042093894756550467,0.0007670614063978589,-0.0004734261907256304,0.00021771387152987978,185.3352627793612,59.82344091413694
4.4723343958177386e-13,4.257710448263068e-13,157470.12766370302,302.03296004705174,157469.849293266,474.99688770131576,157470.01737914197,598.5173178977651,157470.22387618345,299.52141247268696,0.000420936756590346,0.0007670613562489744,-0.0004734261778079445,0.0002177151960777969,185.3352627793612,59.82344091412983
1.441085527541271e-12,1.3719289222180995e-12,157470.12765412574,302.0329600418039,157469.84929336712,474.9968877014032,157470.01737905276,598.5173178977664,157470.2238760942,299.5214124726874,0.00042091477673741635,0.0007670608561171122,-0.00047342604859103527,0.00021772848237730557,185.33526277920487,59.82344091407299
2.4349376155007685e-12,2.3180867996098923e-12,157470.12764455372,302.03296003655606,157469.84929346823,474.9968877014906,157470.01737896353,598.5173178977675,157470.223876005,299.5214124726879,0.0004208928080846929,0.0007670603561245657,-0.0004734259194154871,0.00021774176069289217,185.33526277906276,59.82344091400904
1.2373458495095743e-11,1.177966557352782e-11,157470.127548809,302.03295998407816,157469.84929447935,474.99688770236503,157470.0173780709,598.5173178977801,157470.22387511248,299.5214124726924,0.00042067301024807674,0.0007670553542366025,-0.0004734246272455097,0.00021787453990605566,185.33526277748535,59.82344091344771
2.2311979374690716e-11,2.124124434744575e-11,157470.12745306757,302.03295993160117,157469.8492954905,474.99688770323934,157470.01737717786,598.5173178977935,157470.2238742198,299.52141247269685,0.00042045312032389814,0.0007670503513397439,-0.0004734233349092165,0.00021800724521465407,185.33526277580847,59.82344091289349
1.2169718817064047e-10,1.1585703208662504e-10,157470.1264957539,302.0329594068717,157469.84930560147,474.99688771198356,157470.01736822835,598.5173178979591,157470.22386528092,299.52141247273465,0.0004182489390998392,0.0007670002710875183,-0.00047341040365930575,0.00021933037100752231,185.33526275511747,59.82344090816838
2.2108239696659018e-10,2.1047281982580432e-10,157470.12553858454,302.03295888222556,157469.84931571258,474.9968877207278,157470.0173592402,598.5173178981902,157470.22385631836,299.52141247275955,0.00041603498476341125,0.0007669500858623936,-0.0004733974559817989,0.00022064647755590578,185.3352627262268,59.8234409050562
3.204676057625399e-10,3.050886075649836e-10,157470.1245815684,302.0329583576627,157469.8493258236,474.9968877294719,157470.01735021337,598.5173178984872,157470.22384733224,299.5214124727716,0.0004138111515046467,0.0007668997962540886,-0.0004733844919677203,0.00022195565195184128,185.33526268909384,59.82344090354985
1.3143196937220374e-09,1.2512464849567765e-09,157470.11501990055,302.0329531166445,157469.84942693135,474.9968878169108,157470.01725775894,598.5173179051822,157470.22375621193,299.5214124722086,0.00039099994067652127,0.0007663909890082701,-0.0004732539795855949,0.0002346864354414362,185.33526185223081,59.823440973922004
2.308171781681535e-09,2.1974043623485695e-09,157470.10547377262,302.03294788408033,157469.849528035,474.9968879043451,157470.0171612173,598.5173179188275,157470.22366286255,299.52141247043426,0.0003670406073188284,0.0007658711240763064,-0.00047312192058869356,0.0002468185080832341,185.33526014655877,59.82344119571792
3.3020238696410324e-09,3.1435622397403624e-09,157470.09594347523,302.0329426601354,157469.8496291344,474.9968879917747,157470.0170603661,598.5173179397851,157470.2235673865,299.52141246750404,0.0003417518296582407,0.000765339595538502,-0.0004729883834210939,0.00025842197194137764,185.33525752685875,59.823441561995594
