sector,start_deg_unwrapped,end_deg_unwrapped,duration_deg,port,forward_g,reverse_g,signed_g,absolute_g
Smin_to_Lmin,70.22567113116384,180.0,109.77432886883616,S_to_H_i,0.06208625480388184,1.0964883536329604e-06,0.06208515831552822,0.06208735129223547
Smin_to_Lmin,70.22567113116384,180.0,109.77432886883616,H_i_to_L,0.012771020652183237,0.0,0.012771020652183237,0.012771020652183237
Smin_to_Lmin,70.22567113116384,180.0,109.77432886883616,L_to_H_o,0.604067191532688,0.0,0.604067191532688,0.604067191532688
Smin_to_Lmin,70.22567113116384,180.0,109.77432886883616,H_o_to_S,0.5186601784841445,0.0,0.5186601784841445,0.5186601784841445
Lmin_to_Smax,180.0,234.63794903829694,54.63794903829694,S_to_H_i,0.6444930135147844,0.0,0.6444930135147844,0.6444930135147844
Lmin_to_Smax,180.0,234.63794903829694,54.63794903829694,H_i_to_L,0.6096624032268737,0.0,0.6096624032268737,0.6096624032268737
Lmin_to_Smax,180.0,234.63794903829694,54.63794903829694,L_to_H_o,0.06406710180895384,0.00014845264525550615,0.06391864916369834,0.06421555445420934
Lmin_to_Smax,180.0,234.63794903829694,54.63794903829694,H_o_to_S,0.0,0.0,0.0,0.0
Smax_to_Lmax,234.63794903829694,369.03589606657624,134.3979470282793,S_to_H_i,0.59405717715395,0.041281539477136545,0.5527756376768135,0.6353387166310865
Smax_to_Lmax,234.63794903829694,369.03589606657624,134.3979470282793,H_i_to_L,0.6374087077735582,0.0,0.6374087077735582,0.6374087077735582
Smax_to_Lmax,234.63794903829694,369.03589606657624,134.3979470282793,L_to_H_o,0.20409285451241888,0.07896248683004223,0.12513036768237665,0.2830553413424611
Smax_to_Lmax,234.63794903829694,369.03589606657624,134.3979470282793,H_o_to_S,0.2753502584193845,0.0,0.2753502584193845,0.2753502584193845
Lmax_to_next_Smin,369.03589606657624,430.22567113116384,61.18977506458759,S_to_H_i,0.000826816080259572,0.00033914734943019277,0.0004876687308293792,0.0011659634296897648
Lmax_to_next_Smin,369.03589606657624,430.22567113116384,61.18977506458759,H_i_to_L,0.0,0.0,0.0,0.0
Lmax_to_next_Smin,369.03589606657624,430.22567113116384,61.18977506458759,L_to_H_o,0.46672936953193056,0.0,0.46672936953193056,0.46672936953193056
Lmax_to_next_Smin,369.03589606657624,430.22567113116384,61.18977506458759,H_o_to_S,0.46583493682543053,0.0,0.46583493682543053,0.46583493682543053
