ratio_s_l,lambda_s,lambda_l,status,cycles,cold_power_w,mechanical_power_w,cop,minimum_temperature_k,maximum_temperature_k,maximum_pressure_bar,epsilon_p,epsilon_t_cold,epsilon_t_hot,topology,validity,feasible_100w_150w,mass_residual,energy_residual
0.84,0.51,0.44,converged,4,140.55807154572366,42.877752822189194,3.2781118947302907,236.55448552007508,346.669785967471,2.3571237351569856,0.003934177144704514,0.018552653666775307,0.02549281987229904,nominal,indeterminate,True,-1.6999775516163118e-16,-5.853892615109086e-16
0.82,0.51,0.44,converged,4,140.55044509483318,43.25278071194028,3.2495123499893985,235.44474396850782,348.04965148481404,2.415826581707272,0.003835914981281021,0.0187269006911524,0.026583439294433908,nominal,indeterminate,True,-2.890508041081272e-15,1.0046021138542225e-15
0.86,0.51,0.44,converged,4,140.52447230139254,42.545557314894445,3.302917652748608,237.638366407494,345.31363248958183,2.3009670587477458,0.004034702541672032,0.018368767577626354,0.024450371340935032,nominal,indeterminate,True,-8.498281884709519e-16,9.519513557762407e-16
0.84,0.49,0.44,converged,4,133.06961998276472,39.32057840407376,3.3842233604828715,237.8257825935107,342.5760008041105,2.2631076138051616,0.003901176244734207,0.01797621612352313,0.02283622146591993,nominal,indeterminate,True,3.739950613555887e-15,-1.8307222914537912e-15
0.84,0.53,0.44,converged,4,148.25826774960439,46.78303325703768,3.1690606065458904,235.23759360248567,350.95921876058014,2.4585350000673314,0.003970678658784137,0.019155857197595084,0.028389195887299247,nominal,indeterminate,True,1.0199865309697908e-15,-8.889670381557699e-17
0.84,0.51,0.42,converged,4,134.7872584875308,40.819575106715696,3.3020250243946174,237.4580446848978,347.1403838347654,2.3698158608929165,0.003909835413090153,0.017496040158200672,0.026502192763080877,non_nominal,indeterminate,True,-1.6999775516163145e-16,-1.6675428585769008e-15
0.84,0.51,0.46,invalid_physical_state,3,,,,,,,,,,,,False,,
