index,label,feasible,small_min_deg,small_max_deg,large_max_deg,low_flatness,high_flatness,sector_smin_to_lmin_deg,sector_lmin_to_smax_deg,sector_smax_to_lmax_deg,sector_lmax_to_next_smin_deg,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_tube_reynolds,maximum_tube_mach_number,maximum_absolute_mass_flow_kg_s,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,small_max_abs_dV_dtheta,large_max_abs_dV_dtheta,small_max_abs_d2V_dtheta2,large_max_abs_d2V_dtheta2,convergence_cycles
0,exact_harmonic,True,70.0,250.0,360.0,0.0,0.0,110.0,70.0,110.0,70.0,0.17727195180414687,50.22404962737952,283.3163910942207,-233.00708971942035,738.9251802861045,0.03876894338411841,0.014202801214336466,0.037718621108444136,0.03796313615319196,0.021389102294025592,0.0004158414875149028,0.0004950495049504951,0.0004158414875149029,0.0004950495049504951,24
1,f1_extrema_cosine,False,95.93083813624054,262.34428164710783,372.36164155267,0.0,0.0,84.06916186375946,82.34428164710783,110.01735990556216,83.56919658357054,0.13295601853162003,27.227830371866236,204.78825007377026,-177.56366417867525,895.831758625667,0.03671952600013873,0.01721868563786587,0.03147148133119712,0.06391540203972378,0.019859663351872607,0.00044979227611032473,0.0005315543472701814,0.00048651468138963375,0.0005707511153153562,22
2,f1_extrema_low_flat,False,95.93083813624054,262.34428164710783,372.36164155267,1.0,0.0,84.06916186375946,82.34428164710783,110.01735990556216,83.56919658357054,,-131.5461501937211,43.97914445566856,-175.53799594290803,1031.899389388074,0.055041298495756945,0.01983402689701194,0.059592349165268725,0.21872625865579187,0.024658760166560063,0.0005821417685978251,0.0006879616868735997,0.0006538620467743154,0.000767073655357163,32
3,f1_extrema_high_flat,False,95.93083813624054,262.34428164710783,372.36164155267,0.0,1.0,84.06916186375946,82.34428164710783,110.01735990556216,83.56919658357054,0.13433364394272582,29.71597740122359,221.21023839637093,-191.49705490553035,1022.4468681633872,0.0414636265836719,0.01965234100578742,0.03598145072782102,0.06782130045760752,0.020423619538677225,0.000582141842588591,0.0006879621217331682,0.0006538621835947024,0.0007670728914816835,22
4,f1_extrema_both_flat,False,95.93083813624054,262.34428164710783,372.36164155267,1.0,1.0,84.06916186375946,82.34428164710783,110.01735990556216,83.56919658357054,,-93.0942721046867,75.19849585114915,-168.3165367108782,1214.139800764548,0.05570896533212914,0.0233368501936775,0.050358684920681185,0.20306968521557447,0.02421626649698386,0.0006746883489711515,0.0007973312938241077,0.0008426683385078996,0.0009885700963416198,23
5,sobol,False,117.51103185582906,221.45815052092075,322.7546052681282,-0.6838643979281187,0.08484918531030416,62.48896814417094,41.45815052092075,101.29645474720746,154.75642658770084,0.04503279437097653,9.11987325975977,202.51626369509717,-193.39516654921619,1450.4059701186875,0.04879994332561531,0.027878096759006786,0.03825608227974063,0.10421208892195251,0.021819743229677037,0.0007206534402757435,0.0006246972428320162,0.002099666118804898,0.0013253192329835248,23
6,sobol,False,64.92206146009266,273.14754873514175,381.6292805178091,0.48624422308057547,-0.8043582630343735,115.07793853990734,93.14754873514175,108.48173178266734,43.29278094228357,0.10706594074834626,22.217136490268178,207.5089083884162,-185.29482781390672,677.7716204776781,0.05627057444890342,0.01302737523525179,0.02793701037509763,0.06876793188985225,0.026129162698897732,0.0005564323544378692,0.0006348292686583165,0.0010553534456480033,0.0011538917763153158,22
7,sobol,True,89.17912008240819,245.52279219031334,361.3656305614859,-1.4881626479327679,-0.9422575016506016,90.82087991759181,65.52279219031334,115.84283837117255,87.8134895209223,0.11772356812957184,41.39001289921795,351.5864627349916,-310.14920111190355,783.8344684491599,0.05095656958823775,0.01506599779969341,0.05675977813677002,0.07201369602148525,0.015590999669937683,0.0005142962347658349,0.0005358575162316221,0.0013714836323410464,0.0012506603869185911,22
8,sobol,False,93.27001284342259,299.71280090510845,388.1524155847728,0.0015025669708848,0.6526683820411563,86.72998715657741,119.71280090510845,88.43961467966437,65.11759725864977,0.10026966101898029,20.040928189401743,199.87030958056343,-179.83205371153838,932.6978281613007,0.04359234438520012,0.01792728438525972,0.03647312402235811,0.07227914967999137,0.021754678934130172,0.0005789721645821958,0.0006970122717234517,0.0006081561848087298,0.0007403898164167489,22
9,sobol,False,101.0414663888514,251.98923885822296,372.99969618208706,0.19278582092374563,0.7033082949928939,78.9585336111486,71.98923885822296,121.0104573238641,88.04177020676434,0.07847687776930874,14.83204913228398,188.99897082914526,-174.16613775057687,1078.1523589361357,0.041611803143289224,0.02072305023738522,0.030434336662721235,0.08891732586416569,0.02039529269711545,0.0006132024016302196,0.0006598329992859234,0.0006976846065538542,0.0006785767917343956,22
10,sobol,False,80.37599998991936,282.78004236519337,335.36722945049405,-0.9762445520609617,-1.4519184464588761,99.62400001008064,102.78004236519337,52.587187085300684,105.00877053942531,0.0971465102900822,29.056548921201607,299.10028506878876,-270.11482055554757,636.7815015428628,0.054168263584465366,0.012239508579039344,0.04259369107870077,0.1038114118566647,0.032874014488777185,0.0005018605686163378,0.0006060234634282887,0.0013301096988609013,0.0016292161123938763,24
11,sobol,False,72.64087111223489,236.0489871352911,398.11273094732314,0.9995260173454881,-0.3008362101390958,107.35912888776511,56.0489871352911,162.06374381203204,34.52814016491175,0.0888043565841608,21.127625613042028,237.91203974344614,-216.7833966274464,1152.5031215933911,0.05227443555409115,0.022152138229414996,0.04219891324838014,0.10966770294845561,0.020919307036529666,0.0005786869596538014,0.0007934046300156903,0.0006563693190616091,0.0010364047380835234,22
12,sobol,False,108.79263487644494,269.3404008448124,350.07853041868657,-0.4939449541270733,0.059803716372698545,71.20736512355506,89.3404008448124,80.73812957387418,118.71410445775837,0.09805176159391768,19.36986301973549,197.5473230145111,-178.17927750433887,1018.0656022934525,0.0336141677677343,0.019568129166919312,0.03205679106064668,0.06872512139784334,0.016913731445607406,0.00045070043099593876,0.0005064812819178278,0.0007809063035748781,0.0008283793177443138,22
13,sobol,True,116.06161307543516,243.97536620497704,400.4559633228928,-1.0433449535630643,-0.6063935169950128,63.93838692456484,63.975366204977036,156.48059711791575,75.60564975254238,0.17803473281564283,49.41132139193504,277.53753781910115,-228.173571372765,1115.884414367962,0.05552260372385654,0.021448294006313297,0.0610365329121347,0.05286561485963047,0.012794542068743635,0.0005630762848725497,0.0006144600916528201,0.0016825926732435476,0.0016830947087605563,22
14,sobol,False,71.46548309829086,290.62546841800213,342.42158195003867,0.27933725295588374,0.3647506716661155,108.53451690170914,110.62546841800213,51.79611353203654,89.04390114825219,0.0787010812718774,15.458265486735122,196.41744734527416,-180.9610969282572,754.4932930474307,0.04249484192613055,0.014502034231062028,0.026851057790251563,0.06570275923728894,0.021065643686790685,0.0006172698313973833,0.0006372033850535747,0.0006751614381032857,0.0006043568346336066,22
15,sobol,True,79.45667209569365,228.0448893457651,364.6773769753054,-0.28516222117468715,0.3831026251427829,100.54332790430635,48.044889345765114,136.63248762954026,74.77929512038827,0.1613355767279599,52.217763866678894,323.65932502740674,-271.3765631473729,845.1217644899779,0.04792466566221221,0.016243994308480534,0.04977039548883415,0.042108604912096094,0.019053310306179162,0.0005382035897446893,0.0005430173103111708,0.0007842619425753099,0.000670617524418803,22
16,sobol,False,108.05472540669143,277.1956017613411,338.3784268749878,0.7320765792392194,-1.1323231281712651,71.94527459330857,97.1956017613411,61.182825113646686,129.67629853170365,,-170.81765572885334,-22.676911764861565,-147.96328711692013,648.8765894238882,0.06528672941805076,0.012471986959025827,0.04973459607857741,0.17761708219059913,0.03086369627836694,0.0005559050390770507,0.0007067628458874264,0.0010042166301457154,0.0013634918549094517,38
17,sobol,False,100.60246566776186,234.47211883962154,353.7073751213029,0.5315236109308898,-1.2623105463571846,79.39753433223814,54.472118839621544,119.23525628168136,106.89509054645896,,-47.72952733932915,117.42205979794548,-165.1494035983067,785.1429205712473,0.06021771072827381,0.015091147416845837,0.017315637518951182,0.13447445834771543,0.024617820148236245,0.000694946638953647,0.0006375821888669961,0.0017008220067259343,0.0012025662722974944,23
18,sobol,True,87.9402535688132,260.30206575989723,390.49954924266785,-0.7876580148003995,0.9721110751852393,92.0597464311868,80.30206575989723,130.19748348277062,57.44070432614535,0.14014354255721945,47.364900674383605,337.97419281765985,-290.64209695785775,889.8038939614444,0.05821257996290626,0.017102824701120244,0.05773502121389102,0.04578286939139887,0.0180774356225876,0.0005484943143978792,0.0007528200654855359,0.0008107277743065731,0.0012828963998227727,32
19,sobol,True,63.93925506621599,258.52698504924774,325.76190141029656,-0.22421706328168511,-0.22055549640208483,116.06074493378401,78.52698504924774,67.23491636104882,98.17735365591943,0.16527494566027498,45.93707732514791,277.9433818091959,-232.0743195612013,650.6656541844012,0.03914318218635249,0.012506374379878508,0.03353508475044259,0.05567711290429169,0.023442199330362568,0.000402201573093531,0.0005433606688150376,0.0006028309393852345,0.0009241958615401323,25
20,sobol,False,124.58776549901813,286.85754247009754,373.3082682825625,-1.2428392875008285,-0.49956393288448453,55.41223450098187,106.85754247009754,86.45072581246495,111.27949721645564,0.09986811549371327,21.175467627598852,212.03431668771054,-190.86115701456404,1254.0483370880122,0.04201360398608491,0.02410392786714076,0.04776934630046898,0.07776130086467356,0.018014066445480453,0.00048318912713829905,0.0005599660901799569,0.0011476120915535262,0.0012946748274497853,22
21,sobol,False,121.42761372029781,256.20097145438194,346.31392762996256,0.8808626318350434,0.5759142166934907,58.57238627970219,76.20097145438194,90.11295617558062,135.11368609033525,,-213.80277778358732,-22.63898906947617,-191.1394941576951,1170.1046271151286,0.06504413827708105,0.022490454869134174,0.09092513096036271,0.29155645112993966,0.02577345200034183,0.0007594729488897635,0.0007326702640043396,0.0010900326864279244,0.0008521393687640294,42
22,sobol,True,60.01366605516523,289.19819585978985,404.53232204541564,-0.45285358652472496,-1.01290815602988,119.98633394483477,109.19819585978985,115.33412618562579,15.481344009749591,0.13697980575882893,45.72408532930199,333.80165109742745,-288.003617567762,614.5376216107655,0.04441042211786435,0.011811961361351049,0.041699887931084985,0.05571451471347846,0.021084780614762082,0.0005591907172926891,0.0006428419514335624,0.0015848100343722985,0.0017593238505464522,22
