time_s,cycle_fraction,motor_angle_deg,study_angle_deg,S_volume_m3,S_pressure_Pa,S_temperature_K,S_mass_kg,S_internal_energy_J,L_volume_m3,L_pressure_Pa,L_temperature_K,L_mass_kg,L_internal_energy_J,Hi_volume_m3,Hi_pressure_Pa,Hi_temperature_K,Hi_mass_kg,Hi_internal_energy_J,Ho_volume_m3,Ho_pressure_Pa,Ho_temperature_K,Ho_mass_kg,Ho_internal_energy_J,Hi_wall_temperature_K,Hi_wall_energy_J,Hi_wall_to_gas_heat_W,Hi_external_to_wall_heat_W,Hi_air_inlet_temperature_K,Hi_air_outlet_temperature_K,Ho_wall_temperature_K,Ho_wall_energy_J,Ho_wall_to_gas_heat_W,Ho_external_to_wall_heat_W,Ho_air_inlet_temperature_K,Ho_air_outlet_temperature_K,S_to_Hi_mass_flow_kg_s,Hi_to_L_mass_flow_kg_s,L_to_Ho_mass_flow_kg_s,Ho_to_S_mass_flow_kg_s,Hi_to_L_valve_open,Ho_to_S_valve_open,S_volume_rate_m3_s,L_volume_rate_m3_s,S_indicated_power_W,L_indicated_power_W,total_indicated_power_W,cumulative_external_Hi_heat_J,cumulative_external_Ho_heat_J,cumulative_Hi_gas_heat_J,cumulative_Ho_gas_heat_J,cumulative_indicated_work_J
0.0,0.0,0.0,-0.0,0.00022229750372925852,123774.70107451551,330.93879196677113,0.00028969226409675686,68.78701768424992,0.0009915611591331341,125504.20827675983,382.2830620855489,0.0011342553648431466,311.1127455874757,3.994554019990571e-05,123818.3238744345,582.423814559791,2.9589130156218943e-05,12.364974584527925,3.3246104237732764e-05,124691.78650692344,326.15579345096046,4.428652616164049e-05,10.36379032949574,582.6412320902416,93610.91432082168,12.8650117409113,254.36568053451154,598.15,596.9965397719044,320.10572361436294,28266.12604909548,-194.7215696693975,-199.31728677983037,298.15,299.0538348356954,-7.521678374746648e-05,0.0,0.00368002250475551,0.0037935980449556946,0,1,0.003367530660717582,-0.0016286751999974563,416.8151008895844,-204.40559151567425,212.40950937391017,0.0,0.0,0.0,0.0,0.0
3.931226446658463e-07,7.862452893316926e-07,0.00028304830415940935,-0.00028304830415940935,0.00022229882758321236,123774.57942485804,330.9387000819761,0.000289693785021261,68.78735972687784,0.0009915605188527124,125504.09762836382,382.2829657917715,0.0011342539181355376,311.11227040630473,3.994554019990571e-05,123818.2012912247,582.4238199686232,2.958910058745966e-05,12.364962342896584,3.3246104237732764e-05,124691.67085302694,326.15581975449726,4.428648151350446e-05,10.363780716891995,582.6412326811519,93610.91441576117,12.864726655245114,254.3656708427486,598.15,596.9965398158531,320.1057235939066,28266.126047289134,-194.72241690743033,-199.3172865941246,298.15,299.05383483485326,-7.52151006384699e-05,0.0,0.003680041403053886,0.0037936144484536152,0,1,0.0033675377538633327,-0.0016287327828269757,416.8155691817651,-204.41263818643344,212.40293099533167,9.999690523390348e-05,-7.83561388335027e-05,5.057415365626389e-06,-7.654979151064135e-05,8.35004019676626e-05
7.862452893316926e-07,1.5724905786633853e-06,0.0005660966083188187,-0.0005660966083188187,0.00022230015143995518,123774.45777794147,330.9386081991415,0.00028969530595155204,68.78770177108683,0.0009915598785496514,125503.98698271347,382.28286950032265,0.0011342524714204995,311.111795225191,3.994554019990571e-05,123818.07871076728,582.4238253773893,2.9589071019362036e-05,12.36495010154011,3.3246104237732764e-05,124691.55520187106,326.1558460580326,4.4286436866349203e-05,10.363771104516035,582.641233272063,93610.91451070076,12.864441573534444,254.36566115097267,598.15,596.996539859802,320.105723573454,28266.12604548312,-194.72326414529488,-199.31728640845284,298.15,299.0538348340113,-7.521341755404242e-05,0.0,0.003680060301386052,0.003793630851946124,0,1,0.0033675448470253224,-0.001628790365138741,416.81603748346015,-204.41968478394168,212.39635269951847,0.0001999938066577504,-0.00015671227759401363,1.0114718659179379e-05,-0.0001530999160896712,0.00016699821785827782
4.4165491225936475e-05,8.833098245187295e-05,0.03179915368267426,-0.03179915368267426,0.00022244624997393232,123761.0512865043,330.92848134377533,0.00028986316873894373,68.82545437878598,0.0009914890850834964,125491.79460471461,382.2722583398813,0.001134092787940384,311.0593615452864,3.994554019990571e-05,123804.56927445522,582.424421808201,2.9585812343144892e-05,12.363600997211908,3.3246104237732764e-05,124678.81034507847,326.15874856250576,4.4281516235290374e-05,10.362711812422484,582.6412984804347,93610.92498750014,12.833008124199077,254.36459164165174,598.15,596.9965447096562,320.1057213395754,28266.125848226122,-194.81675318370523,-199.31726612897447,298.15,299.0538347420509,-7.502784191016796e-05,0.0,0.003682146330987557,0.0037954409687371107,0,1,0.0033683276438850897,-0.00163514112252934,416.8677702846128,-205.19679389817443,211.67097638643835,0.01123416118229894,-0.008802945424268587,0.0005674827214642679,-0.008602076065161455,0.00936485869875179
8.754473716254126e-05,0.0001750894743250825,0.06303221075702971,-0.06303221075702971,0.00022259238246931953,123747.67812124878,330.91837833120496,0.0002900311020150826,68.86322624513814,0.0009914180162630955,125479.63559696915,382.26167548853454,0.0011339330139785461,311.0069285124081,3.994554019990571e-05,123791.09330025117,582.4250174350736,2.9582561710930664e-05,12.362255234538656,3.3246104237732764e-05,124666.09892408349,326.1616511680149,4.427660755320341e-05,10.361655299353961,582.6413636969979,93610.93546561562,12.801622730191635,254.3635219979772,598.15,596.9965495601197,320.10571915163473,28266.12565502556,-194.9102439954449,-199.31724626652758,298.15,299.0538346519816,-7.484255880628595e-05,0.0,0.0036842322373402217,0.003797251388113081,0,1,0.003369110637665146,-0.0016414855707377978,416.91961874466176,-205.97301125386178,210.94660749079998,0.022268282160518148,-0.01744917770027978,0.0011234882214510087,-0.017055107779262425,0.018531274752563096
0.00013092398309914603,0.00026184796619829206,0.09426526783138515,-0.09426526783138515,0.00022273854893464765,123734.33822692091,330.9082991293801,0.00029019910579924864,68.90101737513316,0.0009913466723622478,125467.50990481637,382.2511209046115,0.0011337731495324696,310.9544960842927,3.994554019990571e-05,123777.65073559863,582.4256122570914,2.9579319110168217e-05,12.360912808271857,3.3246104237732764e-05,124653.42094960656,326.16455393132514,4.427171081587636e-05,10.3606015662015,582.6414289217396,93610.94594504511,12.770285444918311,254.36245222016524,598.15,596.9965544111914,320.1057170096321,28266.125465881436,-195.00373840750072,-199.31722682111268,298.15,299.0538345638034,-7.465757263826356e-05,0.0,0.0036863177457662146,0.0037990623247024895,0,1,0.003369893827643289,-0.0016478237048505482,416.97158265842785,-206.74833700972735,210.2232456487005,0.03330235673549186,-0.026095409123718424,0.0016781333008630897,-0.02551219507791142,0.027666290072906705
0.00016820692621300837,0.00033641385242601674,0.12110898687336603,-0.12110898687336603,0.00022286420104501562,123722.89960228634,330.8996554140156,0.0002903435555306775,68.93351292709058,0.0009912851351767797,125457.1148799601,382.24207217160733,0.001133635679341412,310.9094327066751,3.994554019990571e-05,123766.12398108414,582.426122837969,2.9576538617302383e-05,12.359761702182276,3.3246104237732764e-05,124642.55134147809,326.1670488565776,4.4267511768370955e-05,10.359698135889346,582.6414849866483,93610.95495279648,12.743390864408132,254.36153267654112,598.15,596.9965585810031,320.1057152053642,28266.125306560123,-195.08409567681605,-199.3172104417037,298.15,299.0538344895284,-7.449882213638392e-05,0.0,0.0036881099362156946,0.0038006191072184133,0,1,0.0033705671082334627,-0.001653266060076577,417.0163359347373,-207.41399002616615,209.60234590857115,0.04278572043075889,-0.03352654164605265,0.002153745620472509,-0.03278400629002995,0.03549245324232365
0.0002054898693268707,0.0004109797386537414,0.14795270591534693,-0.14795270591534693,0.00022298987825995105,123711.48549160884,330.8910292537069,0.00029048805739283673,68.96602272282888,0.0009912233951713503,125446.74439295946,382.23304426371277,0.0011334981423326879,310.86436972595453,3.994554019990571e-05,123754.62182578306,582.4266328148991,2.9573764038476376e-05,12.358613052664865,3.3246104237732764e-05,124631.7062601533,326.1695437973764,4.4263321493761584e-05,10.358796744128869,582.6415410575801,93610.96396151558,12.716532377032552,254.36061303412916,598.15,596.9965627512628,320.10571343503165,28266.125150235384,-195.16445235428247,-199.31719437036435,298.15,299.0538344166505,-7.434026111645784e-05,0.0,0.00368990228674391,0.003802175892182045,0,1,0.003371240532754298,-0.0016587037445256318,417.06117425655697,-208.07898466315166,208.9821895934053,0.05226904984071227,-0.04095767356401395,0.00262835594410332,-0.040058813470619584,0.04329548264547138
0.00024277281244073306,0.0004855456248814661,0.1747964249573278,-0.1747964249573278,0.000223115580584811,123700.09586040211,330.8824206278753,0.0002906326113991073,68.99854676572599,0.0009911614525201654,125436.39841034276,382.2240371566124,0.001133360538509005,310.8193071182337,3.994554019990571e-05,123743.14424329891,582.4271421954829,2.9570995366972093e-05,12.35746685708357,3.3246104237732764e-05,124620.88568202229,326.1720387595017,4.425913998267814e-05,10.35789738895773,582.6415971345269,93610.97297120109,12.689709532528733,254.3596932930618,598.15,596.9965669219698,320.1057116986347,28266.12499690725,-195.24480862592424,-199.31717860709767,298.15,299.05383434516955,-7.41819033578648e-05,0.0,0.0036916947560365733,0.003803732715210991,0,1,0.003371914100742759,-0.0016641367551407248,417.10609749492085,-208.74332102712697,208.36277646779388,0.0617523449618505,-0.04838880488853111,0.0031019655587443133,-0.047336616656516214,0.05107540465033309
0.00028005575555459537,0.0005601115111091907,0.20164014399930869,-0.20164014399930869,0.0002232413080249347,123688.73066901573,330.87382951199356,0.0002907772175540511,69.03108505623732,0.0009910993073975235,125426.07689629412,382.21505082281635,0.0011332228678611331,310.7742448537641,3.994554019990571e-05,123731.69120520217,582.4276509864194,2.956823259563163e-05,12.35632311259931,3.3246104237732764e-05,124610.08967708849,326.17453383755264,4.425496724694679e-05,10.357000076194279,582.6416532174804,93610.98198185167,12.662921934013116,254.358773453477,598.15,596.9965710931236,320.1057099961727,28266.124846575647,-195.32516753643827,-199.31716315189746,298.15,299.05383427508553,-7.402376802382372e-05,0.0,0.0036934868992622425,0.003805289932586206,0,1,0.0033725878117344555,-0.0016695650888840137,417.15110550322817,-209.40699922173442,207.74410628149374,0.07123560579049787,-0.05581993563109011,0.0035745758053089003,-0.05461741579824105,0.05883224696121031
0.0002964149648989858,0.0005928299297979716,0.21341877472726978,-0.21341877472726978,0.00022329648331331802,123683.75149568504,330.8700653785233,0.0002908406850818069,69.04536687996202,0.0009910719751607929,125421.5556820198,382.2111143015603,0.001133162438904214,310.7544722937968,3.994554019990571e-05,123726.67351843625,582.427874049694,2.9567022192333627e-05,12.355822027078265,3.3246104237732764e-05,124605.36030008034,326.17562868107626,4.425313907940797e-05,10.356606992791797,582.6416778277529,93610.98593589745,12.651179089741392,254.35836981027703,598.15,596.9965729235057,320.1057092598692,28266.12478155823,-195.36042878620984,-199.3171564676256,298.15,299.0538342447747,-7.395444970435591e-05,0.0,0.003694273146267547,0.003805973352734153,0,1,0.003372883471270351,-0.001671945485148386,417.1708810845056,-209.6980037628399,207.4728773216657,0.07539671091236387,-0.05908060677434733,0.0037816351449810235,-0.0578130695249588,0.06222855774028335
0.00031277417424337617,0.0006255483484867523,0.22519740545523087,-0.22519740545523087,0.00022335166343868522,123678.77702002508,330.8663046121549,0.00029090416265626685,69.05965144871209,0.0009910446039900272,125417.03916974868,382.20718177303013,0.0011331019970848592,310.7346997939633,3.994554019990571e-05,123721.66054738189,582.4280969983116,2.9565812922698496e-05,12.355321412486331,3.3246104237732764e-05,124600.63562665391,326.1767235294511,4.425131259393813e-05,10.356214300328737,582.6417024391795,93610.98989012868,12.63944309823289,254.3579661481474,598.15,596.9965747539736,320.1057085300995,28266.124717117764,-195.3956899818262,-199.31714984266915,298.15,299.05383421473283,-7.388517056469116e-05,0.0,0.0036950594086609364,0.0038066567846295435,0,1,0.0033731791582099404,-0.0016743249801272194,417.1906729568431,-209.98888161550417,207.20179134133895,0.07955780943079142,-0.06234127780874032,0.003988502436677365,-0.061009300097883835,0.06562043259753313
0.0003291333835877666,0.0006582667671755332,0.23697603618319193,-0.23697603618319193,0.00022340684840147922,123673.807239117,330.86254721116666,0.00029096765027848893,69.07393876275795,0.0009910171938999873,125412.5273565813,382.2032532350125,0.0011330415424030973,310.71492735206147,3.994554019990571e-05,123716.65228939836,582.4283198324836,2.9564604786082454e-05,12.3548212685598,3.3246104237732764e-05,124595.91565642021,326.1778183848025,4.4249487790093924e-05,10.355821998772765,582.6417270517597,93610.99384454524,12.62771394695508,254.35756246709744,598.15,596.9965765845274,320.10570780686373,28266.124653254257,-195.43095119168711,-199.31714327702863,298.15,299.0538341849599,-7.381593107069279e-05,0.0,0.0036958456759026742,0.003807340236503956,0,1,0.0033734748725137292,-0.0016767035735675093,417.21048110926773,-210.2796327889129,206.93084832035484,0.08371890134547093,-0.06560194873523943,0.004195177792685679,-0.0642061075180524,0.06900787387182031
0.0003808622773154919,0.0007617245546309838,0.27422083966715416,-0.27422083966715416,0.00022358137871314118,123658.12332556743,330.8506881872079,0.00029116846843764595,69.11913425552503,0.0009909302654601947,125398.29159395794,382.19085716732,0.0011328502960913894,310.6524059436391,3.994554019990571e-05,123700.84683016823,582.4290237038447,2.9560792026282333e-05,12.35324287454216,3.3246104237732764e-05,124581.0217536963,326.1812804731114,4.4243728702444905e-05,10.3545840881666,582.6418048859348,93611.00634988796,12.5906701274788,254.3562858767829,598.15,596.9965823734221,320.10570556293976,28266.124455110228,-195.5424507658189,-199.3171229063569,298.15,299.053834092586,-7.359725337858484e-05,0.0,0.0036983317714274076,0.0038095016095790486,0,1,0.0033744101201707826,-0.0016842189068462861,417.27322279112144,-211.19817358876767,206.07504920235377,0.09687650364487226,-0.07591240353105447,0.004847437371989376,-0.07431841828516202,0.07969004296306459
