phase,start_deg,end_deg,duration_deg,duration_ms,Q_Hi_to_gas_J,Q_Ho_to_gas_J,Q_total_to_gas_J,gas_work_J,L_to_H_o_transported_mass_g,L_to_H_o_peak_mass_flow_g_s,L_to_H_o_hydraulic_dissipation_J,S_to_H_i_transported_mass_g,S_to_H_i_peak_mass_flow_g_s,S_to_H_i_hydraulic_dissipation_J,H_o_to_S_transported_mass_g,H_o_to_S_peak_mass_flow_g_s,H_o_to_S_hydraulic_dissipation_J,H_i_to_L_transported_mass_g,H_i_to_L_peak_mass_flow_g_s,H_i_to_L_hydraulic_dissipation_J,hydraulic_dissipation_total_J,hydraulic_dissipation_average_W
Low-pressure exchange,0.0,194.22879825465375,194.22879825465375,269.7622197981302,0.32283068840032486,-65.62352755729361,-65.3006968688933,-26.973713796361665,0.9969818018054485,3.9182862721842406,0.6688554900833854,0.002673894245000195,0.4888068493463495,7.269796617751802e-05,0.995215791777346,3.9066419552528955,0.590542006940092,3.9341292345613805e-06,0.20040073986531837,3.723396385288642e-07,1.2594705673292934,4.668817480341712
Compression,194.22879825465375,251.66156981293105,57.432771558277295,79.76773827538514,0.6124615170187127,-27.6410880222137,-27.02862650519499,-163.4826398305504,0.11822167806912232,3.9183772105669177,0.011929310591912075,0.08691464322509994,3.1036734779024746,0.007915860804421054,0.0018348869262649087,3.9067331777417404,0.00035017117979680974,0.0007955625088661885,0.0424109233888136,2.7650341524430876e-06,0.02019810761028238,0.25321148683634104
High-pressure exchange,251.66156981293105,332.3447304975242,80.68316068459316,112.05994539526826,100.71759982659633,-8.470189870017407,92.24740995657893,28.508778671819876,0.013730071970178078,5.377686066055077,0.0002625107921530161,1.093838555479339,12.634589613988878,0.3922470041813286,0.0,0.0,0.0,1.092052306633431,10.873210038823993,0.5784734935991754,0.970983008572657,8.664853486655874
Expansion,332.3447304975242,360.0,27.65526950247579,38.41009653121641,15.415303304665445,10.476941309477517,25.89224461414296,187.62842965160854,0.013520512990894577,3.8718823879470006,0.00016884091733511986,0.06693035361818929,9.654516776269855,0.020803741334929324,0.11855145277128835,8.391357450911189,0.01421125583556868,0.02298892338964762,9.743184047411853,0.0025566408627530363,0.03774047895058616,0.9825666259368538
