theta_deg,phase,u_from_high_turn_deg,E_x,E_y,candidate_projected_velocity,candidate_velocity_normalized,target_velocity,target_velocity_normalized
0.0,short_fast,1.188187203334735,0.41371969831822764,6.508192603501054,-0.23135118847925631,-0.07957014320990537,-0.05214303478674571,-0.1645098096394876
0.25,short_fast,1.438187203334735,0.4208823484159274,6.512598623251872,-0.2816873967710373,-0.09688260799017498,-0.0642075342212776,-0.20257296636766195
0.5,short_fast,1.688187203334735,0.42843909275197145,6.517037205886861,-0.3329945144179674,-0.11452900404151725,-0.07665460334634135,-0.24184311972003794
0.7500000000000001,short_fast,1.938187203334735,0.4363958410410982,6.521507642342569,-0.38529777795727765,-0.13251801113296557,-0.08948502324004116,-0.28232273397608776
1.0,short_fast,2.188187203334735,0.44475856740567377,6.526009131154829,-0.4386228598059098,-0.15085845894854286,-0.10269887454475113,-0.32401206356023565
1.25,short_fast,2.438187203334735,0.45353330882651566,6.530540774460415,-0.4929958566453995,-0.1695593230923977,-0.11629555293048703,-0.36690920182836195
1.5000000000000002,short_fast,2.688187203334735,0.4627261634042181,6.535101573890057,-0.548443275956313,-0.18862972045750417,-0.130273784558278,-0.4110101298543058
1.75,short_fast,2.938187203334735,0.4723432884202148,6.539690426353663,-0.6049920205810745,-0.208078903916253,-0.14463164154353855,-0.45630876521636954
2.0,short_fast,3.188187203334735,0.48239089818644487,6.544306119719056,-0.6626693711900692,-0.2279162562899026,-0.1593665574194404,-0.5027970107838224
2.25,short_fast,3.438187203334735,0.49287526167212103,6.548947328385937,-0.7215029665221893,-0.24815128355257934,-0.17447534260028408,-0.5504648035034037
2.5,short_fast,3.688187203334735,0.5038026998957994,6.553612608757283,-0.7815207812675325,-0.268793607224328,-0.18995419984487094,-0.599300163185826
2.75,short_fast,3.938187203334735,0.515179583070537,6.558300394610961,-0.8427511014568378,-0.28985295590663757,-0.20579873971987495,-0.64928924129228
3.0000000000000004,short_fast,4.188187203334735,0.5270123274897061,6.563008992374821,-0.9052224972194995,-0.31133915591292527,-0.22200399606321436,-0.7004163697209369
3.25,short_fast,4.438187203334735,0.539307392140639,6.567736576309285,-0.9689637927697219,-0.33326212094567614,-0.23856444144742378,-0.7526641095934525
3.5,short_fast,4.688187203334735,0.5520712750330956,6.572481183601934,-1.0340040334785994,-0.3556318407713261,-0.25547400264302567,-0.8060133000414706
3.7499999999999996,short_fast,4.938187203334735,0.565310509229215,6.5772407093794705,-1.100372449888754,-0.3784583688435782,-0.2727260760819025,-0.8604431069931274
4.0,short_fast,5.188187203334735,0.5790316585614512,6.582012901643084,-1.1680984185276464,-0.40175180882566597,-0.2903135433206684,-0.9159310719595538
4.25,short_fast,5.438187203334735,0.5932413130248095,6.586795356134108,-1.2372114193759771,-0.42552229996217933,-0.30822878650404095,-0.9724531608213802
4.5,short_fast,5.688187203334735,0.6079460838295319,6.591585511137678,-1.3077409898486754,-0.449780001251442,-0.3264637038282129,-1.0299838126152387
4.75,short_fast,5.938187203334735,0.6231525981003179,6.596380642233056,-1.3797166751480567,-0.47453507437014514,-0.3450097250042244,-1.0884959883202687
5.0,short_fast,6.188187203334735,0.6388674932081249,6.601177857000235,-1.4531679748518076,-0.49979766530299946,-0.36385782672133443,-1.147961219644619
5.25,short_fast,6.438187203334735,0.6550974107205945,6.60597408969341,-1.5281242856026975,-0.5255778846316296,-0.3829985481103925,-1.2083496578119506
5.5,short_fast,6.688187203334735,0.6718489899572608,6.610766095893052,-1.6046148397723716,-0.5518857864388067,-0.4024220062072111,-1.269630122347943
5.75,short_fast,6.938187203334735,0.6891288611358477,6.615550447149405,-1.6826686399784025,-0.5787313457864652,-0.42211791141593685,-1.3317701498667955
6.000000000000001,short_fast,7.188187203334735,0.7069436380961722,6.620323525631385,-1.76231438934202,-0.6061244347287834,-0.44207558297242255,-1.3947360428577316
