phase_degrees,indicated_thermal_efficiency,indicated_power_w,heat_input_w,elapsed_seconds
245.0,0.18185574932418888,50.46192658990588,277.48326229680475,50.39313806797145
245.5,0.18220318579641678,50.24237617471773,275.74916407255154,21.45628858404234
246.0,0.18249219245462228,50.0097046665398,274.0375026124747,21.262452937022317
246.5,0.18274151225212604,49.764394739111836,272.32123739050905,21.295717945031356
247.0,0.18295107752636375,49.50643606767323,270.5993139643532,20.876002334989607
247.5,0.1831197835962868,49.23575096520312,268.87182803661574,20.789863382000476
248.0,0.1832467993317974,48.95231453200034,267.1387151672123,21.040591891971417
248.5,0.183331015376452,48.65605797854424,265.40003544208747,21.141334198007826
249.0,0.18337139346285472,48.34693057455286,263.65579527728477,20.794947992020752
249.5,0.18336704873916063,48.024915728812026,261.90592071494484,21.24116163700819
250.0,0.18331669383117338,47.689952533599474,260.150625329954,21.624036907975096
250.5,0.1832193281741478,47.341983151560385,258.3896776794334,21.079007745021954
251.0,0.18307378784276648,46.980974377796315,256.62316234012746,21.149187735980377
251.5,0.18287883489112838,46.60688316617897,254.85115975243951,21.270860087010078
252.0,0.18263306342140986,46.21962779748025,253.0737147568537,20.789027152000926
252.5,0.1823354072965543,45.81920472152039,251.2907690331315,21.76486532302806
253.0,0.18198440410384692,45.405546317813716,249.50240401866338,21.25464388000546
253.5,0.18157869798845314,44.97860550987841,247.7086024305487,18.522444814036135
254.0,0.1811170141832336,44.53836109800574,245.90931613386078,18.114266710006632
254.5,0.18059771822155624,44.08474565235714,244.10466580908974,17.27871605200926
255.0,0.18001916321431716,43.617710069592334,242.29481623389393,17.60645141999703
