theta_deg,theta_rad,small_volume_m3,large_volume_m3,small_volume_l,large_volume_l,small_fraction_0_1,large_fraction_0_1,small_centered_minus1_plus1,large_centered_minus1_plus1,small_dq_dtheta_per_rad,large_dq_dtheta_per_rad,small_d2q_dtheta2_per_rad2,large_d2q_dtheta2_per_rad2,small_centered_dq_dtheta_per_rad,large_centered_dq_dtheta_per_rad,small_centered_d2q_dtheta2_per_rad2,large_centered_d2q_dtheta2_per_rad2,total_cylinder_volume_l,dtotal_volume_dtheta_l_per_rad
0.0,0.0,0.0002219115502725106,0.0009905680205365753,0.22191155027251058,0.9905680205365753,0.2568222211609949,0.9904737007419411,-0.4863555576780102,0.9809474014838822,-0.32403671728060646,0.11999214640935774,0.07439017757585449,-0.7402015277574735,-0.6480734345612129,0.23998429281871547,0.14878035515170898,-1.480403055514947,1.212479570809086,-0.15069177832312047
0.25,0.004363323129985824,0.00022073624189244338,0.000991079419508556,0.22073624189244337,0.9910794195085559,0.25540905275162834,0.9909902137036414,-0.4891818944967433,0.9819804274072828,-0.3237118834967956,0.11675873774998384,0.07450569591473255,-0.7418763871987141,-0.6474237669935912,0.23351747549996768,0.1490113918294651,-1.4837527743974281,1.2118156614009992,-0.15362301424487565
0.5,0.008726646259971648,0.00021956211326515796,0.000991576834115751,0.21956211326515795,0.9915768341157509,0.2539973028545352,0.9914926024569084,-0.4920053942909296,0.9829852049138168,-0.3233865058696766,0.1135181186938018,0.07463947430095842,-0.7435064982439457,-0.6467730117393532,0.2270362373876036,0.14927894860191684,-1.4870129964878913,1.211138947380909,-0.1565609368680461
0.75,0.013089969389957472,0.0002183891665090466,0.0009920602336307212,0.2183891665090466,0.9920602336307213,0.25258697401682983,0.9919808359670285,-0.49482605196634033,0.9839616719340569,-0.3230605045006152,0.11027048490713258,0.07479161490165497,-0.7450916717073616,-0.6461210090012304,0.22054096981426516,0.14958322980330993,-1.4901833434147231,1.2104494001397679,-0.15950528601325165
1.0,0.017453292519943295,0.00021721740403324492,0.0009925295881730966,0.2172174040332449,0.9925295881730967,0.2511780691352112,0.9924548840548275,-0.49764386172957764,0.984909768109655,-0.32273379905271704,0.1070160328705289,0.07496221643124182,-0.7466317235640282,-0.6454675981054341,0.2140320657410578,0.14992443286248364,-1.4932634471280564,1.2097469922063417,-0.16245580033044893
1.25,0.02181661564992912,0.00021604682853919538,0.0009929848687130456,0.21604682853919538,0.9929848687130457,0.24977059145784206,0.9929147174001761,-0.5004588170843158,0.9858294348003522,-0.32240630876592136,0.10375495985619511,0.0751513741383928,-0.7481264749759643,-0.6448126175318427,0.20750991971239022,0.1503027482767856,-1.4962529499519286,1.209031697252241,-0.1654122173338404
1.5,0.026179938779914945,0.00021487744302215676,0.000993426047074645,0.21487744302215675,0.9934260470746449,0.24836454458616467,0.9933603075453913,-0.5032709108276707,0.9867206150907826,-0.32207795247215054,0.1004874639053024,0.07535917979353052,-0.749575752317482,-0.6441559049443011,0.2009749278106048,0.15071835958706103,-1.499151504634964,1.2083034900968017,-0.16837427343693467
1.75,0.030543261909900768,0.00021370925077265532,0.0009938530959391545,0.21370925077265532,0.9938530959391545,0.2469599324766451,0.9937916268985459,-0.5060801350467098,0.9875832537970919,-0.3217486486105126,0.09721374380518932,0.07558572167685738,-0.7509793871997967,-0.6434972972210252,0.19442748761037865,0.15117144335371477,-1.5019587743995935,1.2075623467118097,-0.17134170398776363
2.0,0.03490658503988659,0.0002125422553778838,0.0009942659888481893,0.2125422553778838,0.9942659888481894,0.24555675944245553,0.9942086487366713,-0.5088864811150889,0.9884172974733425,-0.32141831524255676,0.0939339990664617,0.07583108456692561,-0.7523372164948913,-0.6428366304851135,0.1878679981329234,0.15166216913385122,-1.5046744329897825,1.2068082442260732,-0.17431424330424353
2.25,0.039269908169872414,0.00021137646072304358,0.000994664700206796,0.21137646072304359,0.9946647002067959,0.24415503015508813,0.9946113472088638,-0.5116899396898238,0.9892226944177276,-0.3210868700675749,0.0906484298999849,0.07609534972974855,-0.7536490823586433,-0.6421737401351498,0.1812968597999698,0.1521906994594971,-1.5072981647172865,1.2060411609298394,-0.1772916247096812
