theta_deg,E_x,E_y,E_speed,E_speed_smooth,E_tangential_acceleration,E_normal_acceleration,target_large_acceleration_smoothed
0.0,1.9615547514406402,1.264860096923726,1.5673785642028102,1.580963876144811,4.0412841516694735,-4.766842392595219,-2.721311881824259
0.25,1.9683895287882212,1.265628339200965,1.5852544380663625,1.5987422377295106,4.107435123603616,-4.809274459376081,-2.808818855420785
0.5,1.975312150351165,1.26631379772141,1.6034320995546587,1.6168080095042827,4.172986288976059,-4.85213166001162,-2.8965868749268733
0.7500000000000001,1.9823228953647767,1.2669146266085383,1.6219092131077741,1.6351584129211165,4.237862578435022,-4.8954352488006885,-2.9844536403260142
1.0,1.9894220020933306,1.267428951898896,1.6406831188647064,1.6537903371246565,4.301986731422341,-4.939206186883125,-3.072260395545467
1.25,1.996609665760827,1.2678548720844538,1.659750822592676,1.672700329341331,4.365279274986297,-4.9834650545192165,-3.159851928456244
1.5000000000000002,2.0038860364306266,1.2681904587351518,1.6791089854148997,1.6918845851834474,4.427658506270547,-5.028231961348594,-3.247076570873125
1.75,2.0112512168353565,1.268433757205955,1.6987539133475282,1.7113389388855085,4.489040479250886,-5.073526454684853,-3.33378619855469
2.0,2.018705260158738,1.268582787432861,1.718681546659257,1.7310588534925635,4.549338996317863,-5.119367425896918,-3.419836231203267
2.25,2.026248167771278,1.2686355448223283,1.7388874490699684,1.751039411023069,4.60846560532994,-5.1657730149341505,-3.505085632464943
2.5,2.0338798869220995,1.2685900012386857,1.7593667968079,1.771275302631524,4.666329602783891,-5.2127605130541115,-3.5893969099295924
2.75,2.0416003083894694,1.2684441060941107,1.7801143675479751,1.791760818798998,4.722838043771467,-5.2603462638156095,-3.672636115130848
3.0000000000000004,2.0494092640929784,1.268195787545813,1.8011245292573013,1.812489839582654,4.777895759409367,-5.308545562414079,-3.754672843546117
3.25,2.0573065246706603,1.2678429538050495,1.822391228977311,1.833455824958382,4.831405382443725,-5.35737255343959,-3.8353802345965664
3.5,2.0652917970247415,1.2673834945626072,1.843907981575564,1.8546518052937635,4.883267381745713,-5.406840127155816,-3.9146349716471414
3.7499999999999996,2.0733647218401035,1.2668152825353423,1.865667858503979,1.8760703719917349,4.93338010642083,-5.456959814412628,-3.99231728200656
4.0,2.0815248710799747,1.266136175138325,1.8876634766039952,1.8977036683484794,4.981639840259431,-5.507741680321328,-4.068310936927307
4.25,2.0897717454637994,1.265344016287042,1.909886987003099,1.9195433806722606,5.027940867258933,-5.559194216846109,-4.142503251605611
4.5,2.0981047719326895,1.2644366383340104,1.9323300641510779,1.9415807297131031,5.072175548941031,-5.611324234485579,-4.214785085181502
4.75,2.1065233011083464,1.263411864144004,1.9549838950484149,1.9638064624563465,5.114234414179246,-5.664136753245184,-4.285050840738792
5.0,2.115026604751806,1.262267509311922,1.977839168723251,1.9862108443362188,5.154006262237495,-5.717634893130392,-4.353198465304993
5.25,2.123613873228887,1.2610013845271189,2.000886066017489,2.008783651928572,5.191378279698753,-5.771819764421187,-4.419129449851441
5.5,2.13228421298971,1.2596112980877552,2.0241142497466615,2.03151416618485,5.226236171937435,-5.82669035802282,-4.4827488292932625
5.75,2.141036644070186,1.2580950585684443,2.0475128553022715,2.054391166272138,5.258464309753011,-5.882243436220759,-4.5439651824892815
6.000000000000001,2.149870097623901,1.2564504776441425,2.0710704817693535,2.0774029240867504,5.287945891743941,-5.938473424206588,-4.602690632242142
6.25,2.1587834134933432,1.2546753730728204,2.094775183635863,2.100537199511258,5.314563122951468,-5.995372302784299,-4.657500397689868
6.5,2.167775337829966,1.2527675718390598,2.118614463174487,2.123781236487038,5.338197410247529,-6.052929502700314,-4.705716911331865
6.75,2.1768445207730944,1.2507249134602203,2.1425752635809605,2.1471217599763848,5.35872957487621,-6.111131801087374,-4.7461314437799365
7.0,2.185989514198211,1.248545253456293,2.166643962956618,2.170544973889831,5.376040082486782,-6.169963220556276,-4.778918214760255
7.250000000000001,2.195208769545669,1.2462264669839827,2.190806369226129,2.1940365600556757,5.39000929091519,-6.229404931508311,-4.804251443998954
7.499999999999999,2.204500635741391,1.2437664526349164,2.215047716084307,2.2175816783096085,5.400517715880727,-6.289435158287078,-4.822305351222201
7.75,2.2138633572215447,1.2411631363971851,2.2393526600686533,2.241164967782877,5.407446314668862,-6.350029089833343,-4.833254156156173
8.0,2.2232950720737104,1.2384144757786768,2.263705278856505,2.264770549467511,5.410676787761,-6.411158795544872,-4.837272078526998
8.25,2.2327938103074065,1.235518464089853,2.288089070887593,2.288382030136707,5.410091898259121,-6.472793147083513,-4.834533338060842
8.5,2.2423574922672733,1.2324731348827678,2.3124869564141597,2.311982507697557,5.405575808829664,-6.534897746916383,-4.82521215448387
8.75,2.2519839272025353,1.2292765665421903,2.3368812800816987,2.3355545780518234,5.397014435757181,-6.59743486440407,-4.809482747522287
9.0,2.2616708120066686,1.2259268870237554,2.361253815143561,2.3590803435383703,5.384295819561495,-6.66036338028702,-4.787519336902259
9.25,2.271415730141429,1.2224222787330108,2.385585769412356,2.3825414230281807,5.36731051148507,-6.7236387404482985,-4.75949614234986
9.5,2.2812161507595845,1.2187609835381794,2.4098577930498686,2.405918963739528,5.34595197500389,-6.78721291985158,-4.7255873835912725
9.75,2.291069428040797,1.2149413079083349,2.4340499882954143,2.4291936548368365,5.32011700135889,-6.851034397570293,-4.685967280352685
