theta_deg,theta_rad,normalized_t_deg,small_target_q,small_mechanism_q,small_target_dq,small_mechanism_dq,small_target_ddq,small_mechanism_ddq,small_hp_window,large_target_q,large_mechanism_q,large_target_dq,large_mechanism_dq,large_target_ddq,large_mechanism_ddq,large_hp_window
0.0,0.0,0.0,0.1560499078878084,0.1676202839016101,-0.33211990510778044,-0.3164020588376845,0.12056000293880242,-0.04055034297279535,0,1.0,0.9855896177201009,0.0,-0.33282555502020317,-1.6420756593481147,-3.8468548475437907,0
0.25,0.004363323129985824,359.75,0.15460191868820927,0.16623934069258728,-0.33158724682975027,-0.316573982305816,0.12359539886279307,-0.03821280358357868,0,0.9999834626819457,0.9841008234916981,-0.007785539699246345,-0.34957398606764933,-1.9245121046035807,-3.8283465231178027,0
0.5,0.008726646259971648,359.5,0.15315628259748862,0.16485766983602834,-0.3310413071134955,-0.3167355284571602,0.1266477559757096,-0.035793528903048245,0,0.9999303046578427,0.9825391375470253,-0.016776854030233927,-0.3662341808880446,-2.1947910755110853,-3.8064355243536987,0
0.7500000000000001,0.013089969389957472,359.25,0.15171305772812468,0.16347531739088628,-0.33048201208030936,-0.316886339770949,0.12971701540434313,-0.033292129435496975,0,0.9998353799211115,0.9809049771280612,-0.026921276092419802,-0.38279140240007375,-2.453086791796819,-3.78117697030167,0
1.0,0.017453292519943295,359.0,0.15027230251439222,0.1620923309797132,-0.3299092881083684,-0.31702605709398496,0.1328031182754855,-0.030708246691790245,0,0.9996937706094291,0.979198823224402,-0.0381668991622191,-0.3992311747542186,-2.699573473186905,-3.7526353010447497,0
1.25,0.02181661564992912,358.75,0.14883407571124105,0.16070875979546662,-0.3293230618327316,-0.3171543197770922,0.13590600571592817,-0.028041553712605204,0,0.9995007836878315,0.9774212193456733,-0.05046257669301084,-0.4155393232149735,-2.9344253394075377,-3.720883890137955,0
1.5000000000000002,0.026179938779914945,358.5,0.14739843639317568,0.15932465460775014,-0.3287232601453408,-0.31727076581381486,0.13902561885246265,-0.025291755575544826,0,0.9992519476318152,0.9755727701240018,-0.06375792231513193,-0.43170201223787974,-3.157816610184849,-3.686004606859617,0
1.75,0.030543261909900768,358.25,0.1459654439531343,0.15794006776842973,-0.3281098101950213,-0.31737503198129363,0.14216189881188074,-0.022458589884822446,0,0.9989430091104408,0.9736541397543952,-0.0780033098358832,-0.44770578153166324,-3.369921505245026,-3.6480873328742907,0
2.0,0.03490658503988659,358.0,0.1445351581013676,0.15655505321660856,-0.32748263938748,-0.3174667539832375,0.14531478672097356,-0.019541827243981243,0,0.9985699296694336,0.9716660502829301,-0.09314987323952302,-0.4635375799173571,-3.570914244314205,-3.6072294382307564,0
2.25,0.039269908169872414,357.75,0.1431076388643187,0.1551696664830241,-0.326841675385308,-0.31754556659492533,0.14848422370653294,-0.01654127171075174,0,0.9981288824142875,0.9696092797519245,-0.10914950668727443,-0.4791847968176593,-3.760969047118573,-3.5635352219609655,0
