exchanger,side,net_energy_j_per_cycle,useful_energy_j_per_cycle,reverse_energy_j_per_cycle,peak_useful_power_w,peak_reverse_power_w,rms_power_w,mean_net_power_w,fraction_cycle_useful_direction,fraction_cycle_reverse_direction,equivalent_full_peak_duty_factor,fraction_cycle_above_1pct_of_peak,fraction_cycle_above_5pct_of_peak,fraction_cycle_above_10pct_of_peak,fraction_cycle_above_25pct_of_peak,fraction_cycle_above_50pct_of_peak,wall_temperature_swing_k,external_air_outlet_temperature_swing_k
H_i,gas_side,136.3089308077787,136.3089308077787,0.0,939.1476905125515,0.0,459.539832870954,272.6178616155574,1.0,0.0,0.29028220414062117,0.6778627598316889,0.4633062566567553,0.41350906173326263,0.3122496904303367,0.2781971235836568,0.5536066003357973,0.03775647762756762
H_i,external_air_side,136.31048065955983,136.31048065955983,0.0,276.65160193564355,0.0,272.63396744414524,272.62096131911966,1.0,0.0,0.9854306261437751,1.0,1.0,1.0,1.0,1.0,0.5536066003357973,0.03775647762756762
H_o,gas_side,109.16056795080652,118.89377016387628,9.733202213069763,644.5208751579597,197.24762925440484,300.98060354998853,218.32113590161305,0.8364746968531502,0.16352530314684977,0.36893691033587606,0.8174097223721695,0.7786897355374247,0.7311219687165482,0.6410031392207451,0.355957291624872,0.2950072946828186,0.020119767927042176
H_o,external_air_side,109.14372179466055,109.14372179466055,0.0,220.90173141521726,0.0,218.29204816075097,218.2874435893211,1.0,0.0,0.9881653810083443,1.0,1.0,1.0,1.0,1.0,0.2950072946828186,0.020119767927042176
