index,label,feasible,small_60_deg,small_90_deg,large_150_deg,large_210_deg,small_60_flattening_fraction,small_90_flattening_fraction,large_150_flattening_fraction,large_210_flattening_fraction,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_tube_reynolds,maximum_tube_mach_number,maximum_absolute_mass_flow_kg_s,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,small_max_abs_dV_dtheta,large_max_abs_dV_dtheta,small_max_abs_d2V_dtheta2,large_max_abs_d2V_dtheta2,convergence_cycles
0,free_harmonic_baseline,True,-0.9848077530122079,-0.9396926207859084,-0.8660254037844387,-0.8660254037844386,0.0,0.0,0.0,0.0,0.17725646974898648,50.22127899931301,283.32550608974407,-233.019029693903,738.9594371401606,0.0387598033606823,0.014203459661634473,0.03771170310239672,0.03799075819438742,0.021383534690348566,0.0004159285583293715,0.0004948359363153347,0.000419032124132926,0.0005064598914315083,24
1,explicit_flattened_neighbours,True,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.16588222498408942,46.59897980274262,280.916052381213,-234.39269863552437,877.0157710104752,0.04155029802907919,0.01685702556878213,0.04490982030722688,0.05473230473526133,0.021311903520951588,0.00040777605976451847,0.0005548578064553547,0.0007224161179582362,0.0016531974771412793,30
2,sobol,True,-0.8807213206030429,-0.8525228003785014,-0.8666265826672316,-0.946395306866616,-6.851286218082481,-1.4454254445041237,0.004487260270041006,0.5998891234041449,0.16365086075836044,43.92824788303324,268.42662286937633,-224.5229027333487,839.0055059683306,0.04037044299138974,0.01612643436293258,0.03559191551241339,0.047033627812238965,0.021920967625052825,0.00044553413185570233,0.0004907262802916296,0.0007081240330818708,0.001068585389241809,22
3,sobol,True,-0.9371452066861093,-0.9620565881207586,-0.6786303167790174,-0.7250063154660165,-3.1372940661377062,0.37083301622937237,-1.3987359715860457,-1.052580804882788,0.15956395484082941,46.73073873186171,292.8652575606894,-246.17634730641856,735.4254946483605,0.038922165682092495,0.014135534134053315,0.04159254021789443,0.0633147982505823,0.02121146519166327,0.00041914785026816054,0.0005471512993491242,0.0007559929866112954,0.0021571705721276178,32
4,sobol,True,-0.9735664365813136,-0.7718017561733722,-0.9356933265179396,-0.8865648469887674,-0.7399377090121964,-2.7839190958128457,0.5200084545984164,0.15330849119546047,0.16040940534141496,45.970527011203835,286.58249130317694,-240.68486630144616,873.6497467074918,0.03882355845763224,0.016792327578602138,0.039149145882262565,0.045321079743427195,0.021440441475766153,0.0004462636527204322,0.0004886736553447214,0.0010666743600036307,0.0010146599033636911,27
5,sobol,True,-0.8099252976477147,-0.8722807983309031,-0.7476046495884656,-0.6894528618268669,-11.511296222673451,-1.117803879616339,-0.8839045426599942,-1.3179553956144892,0.1570125832254615,42.44410778788299,270.32296976437596,-227.90413085129072,755.9476692533951,0.040499473982455805,0.014529988639296127,0.03888901718692563,0.0674106410415663,0.021809459561221257,0.0004458287686039353,0.0005436040299003248,0.001054849747257988,0.0019887530342323294,22
6,sobol,False,-0.7970324729382992,-0.7463505527749658,-0.6286905017867684,-0.6538114580884575,-12.359941240081062,-3.2059437921282754,-1.771491825329372,-1.5839864548241274,0.12574188069325504,36.4067753514474,289.5357946829271,-253.1400478206193,687.6410462636877,0.04251998601860156,0.013217074404096009,0.047320398965564024,0.08031927630471958,0.02195870373810394,0.0004796268319438539,0.0005624940389162419,0.0009904547122262174,0.0027667171631149427,22
7,sobol,True,-0.958958212248981,-0.9261096950992942,-0.8166834155097604,-0.8272191165015101,-1.701495557832793,-0.2252282533849591,-0.36829361437513447,-0.28965407158600587,0.1738451967236011,49.37646386621553,284.0254709177836,-234.74838077972868,714.7099232375868,0.03881014461894612,0.013737362369660755,0.035945533290965344,0.042288998611295224,0.021417639068763986,0.00042145550546910645,0.0005076375682474811,0.0004252309016566515,0.0009496586513641589,33
8,sobol,True,-0.8967660064063967,-0.8057352509349585,-0.7971175971999764,-0.808054946474731,-5.795176097160492,-2.2212434298529287,-0.5143348704226851,-0.43269738403566277,0.16061443574576495,45.56541425847655,283.69438928018656,-238.18123470729378,749.8468831502529,0.03959632986261961,0.014412726087435915,0.03362314597339973,0.048074067441087234,0.021716320167427507,0.00045238000307508695,0.0005132264898268422,0.000779759565067558,0.0011444000675914898,22
9,sobol,True,-0.8385998914577067,-0.9759547254443168,-0.9852036467567086,-0.9583338114991784,-9.623847063043947,0.6012880203213226,0.8895585158585997,0.6889993351143835,0.17205641416783884,44.895616220887234,260.93544049507,-216.1102342848975,897.5031104999089,0.04085216172372371,0.017250810512024137,0.044278163644511495,0.054540129603592696,0.021622369741076765,0.00042212680922057796,0.0005367849562197763,0.0012728108332624478,0.0014879020755609036,26
10,sobol,True,-0.8529388937726617,-0.778501105569303,-0.7728319221176208,-0.8351964178867638,-8.680010227947909,-2.672832368396819,-0.695605617029607,-0.23011068343189345,0.15356072407601823,42.97086450488248,279.82978566583415,-236.88572216540462,768.6366382275074,0.04019562389150327,0.014773881943736534,0.03446273258199897,0.04927429544407105,0.02192572590250308,0.0004655580496161688,0.0005187502174252667,0.0008670030348669651,0.001128911919724223,22
11,sobol,True,-0.9099267914146185,-0.8787064484134316,-0.963908556047827,-0.640270429495722,-4.928893116190177,-1.011255557234141,0.7306097949039316,-1.6850580682137912,0.16935895294167885,44.49775768633124,262.7422814880928,-218.2859994570291,879.2433278440449,0.03992278098682218,0.016899841198489834,0.042800099308880936,0.06606100916544996,0.021407197795655572,0.0004357514336114071,0.0005384339420741424,0.0005980812951715015,0.0013169643340542772,22
12,sobol,True,-0.9457034470327199,-0.8283234468102455,-0.6504146533645689,-0.9889528032578528,-2.573964602531194,-1.846692319032828,-1.609340550450014,0.9175426009541949,0.14595455514760758,47.36985843615764,324.55210725181746,-277.0942164248483,571.1412633932838,0.037907910911260126,0.010977844639343572,0.038800941901500616,0.05638841320237043,0.021230443560676094,0.00043915542801626993,0.0005320410291822073,0.000719205009249251,0.0012510316436887229,26
