index,label,feasible,k_i,k_o,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_pressure_pa,maximum_temperature_k,maximum_absolute_mass_flow_kg_s,maximum_tube_reynolds,maximum_tube_mach_number,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,convergence_cycles,constraint_power_ok,constraint_pressure_ok,constraint_temperature_ok,constraint_mass_flow_ok,constraint_validity_ok,hi_tube_length_m,ho_tube_length_m,hi_working_gas_volume_m3,ho_working_gas_volume_m3,hi_wall_capacity_j_k,ho_wall_capacity_j_k,hi_static_conductance_w_k,ho_static_conductance_w_k,hi_internal_area_m2,ho_internal_area_m2,total_tube_length_factor_vs_symmetric_baseline,hi_to_ho_length_ratio
0,sobol,True,0.9604513667523861,0.43103095706552264,0.20377574312420996,45.52081560034024,223.3868217209414,-177.8705311003119,505326.39654657355,585.8625823389334,0.010457232536443595,544.0555226165856,0.040868708413451395,0.025073311923367144,0.09536244587234977,0.008470862628659604,22,True,True,True,True,True,0.04065910785918434,0.01824697718244046,3.815107141232355e-05,3.104318248502164e-05,141.28350939710768,64.50759428026072,11.615651879664995,5.2128673246218815,0.15630086560392184,0.07014463618208047,0.6957411619089544,2.2282653972029767
1,sobol,True,1.1787183910608292,0.7210474561527371,0.20457323571796593,54.04129561298683,264.1660108827268,-210.09351719845841,493026.8300411967,586.3149558507567,0.010250360553184902,533.292651601305,0.04078319546365633,0.02380713059642827,0.06576859254510335,0.013681852559516506,22,True,True,True,True,True,0.04989907855490844,0.03052434231046587,4.108147933935216e-05,3.4936884021417144e-05,172.93633241732982,106.56544038705314,14.25536260208295,8.720312687677685,0.19182096168911716,0.11734101844141992,0.9498829236067832,1.6347306699479502
2,sobol,True,1.5301177226006986,0.5597874510660767,0.2041931915779496,52.78672892034955,258.5136581314393,-205.70254200265197,499564.1847414604,592.4411226770196,0.01019972516885415,530.6582585734218,0.04047857389162703,0.01798377250634429,0.07816138087245594,0.010721613098154427,22,True,True,True,True,True,0.06477498359009624,0.02369766876179725,4.5799294089242243e-05,3.2771840544438084e-05,223.8958435294516,83.1797071668347,18.505168940238143,6.770042069048259,0.2490065950211181,0.09109806720531013,1.0449525868333875,2.7333905390102875
3,sobol,True,0.911859855055809,0.6712551982328296,0.20476320234200807,50.802365635831535,248.10300412755953,-197.31964274913145,493389.7801264772,581.2069042406042,0.010289105755372192,535.3084374367475,0.041046847230541236,0.029011019540314948,0.06914861768233978,0.012825905396564613,32,True,True,True,True,True,0.03860206719736258,0.028416470058523123,3.7498691825837184e-05,3.42683834644711e-05,134.236826441265,99.34462664888225,11.027988512510225,8.118127554394151,0.1483932342525719,0.10923798138752847,0.7915575266443193,1.3584399159312341
4,sobol,True,0.7898223869502544,0.5211015011742711,0.20444223812985862,46.367635666893264,226.80066551336247,-180.44701715917026,498709.50041117024,579.8475075232193,0.010438444846555137,543.0780607111146,0.04114060536592637,0.030763767274539146,0.08278101707475942,0.010130261942332288,23,True,True,True,True,True,0.0334358143808941,0.02205996354971081,3.586024201847805e-05,3.2252450982103755e-05,116.5390986602586,77.56951694605226,9.55207333881117,6.302176082145843,0.12853323658761276,0.08480243614671219,0.6554619440622628,1.515678586936397
5,sobol,True,1.371369105577469,0.6311623116955161,0.20486746660154587,53.765672714235414,262.44124362999133,-208.65100556040014,496801.12932282145,589.9493350171973,0.010227881272748707,532.1231283432978,0.04060588555541793,0.020348182700817227,0.07201837004150427,0.012026527873425615,22,True,True,True,True,True,0.05805462546944619,0.026719204528443515,4.3667967989005e-05,3.373010466171263e-05,200.8743088049003,93.53040415716002,16.58527092608342,7.633246144476384,0.22317233926066668,0.10271338983894096,1.0012657086364927,2.1727677336967512
6,sobol,True,1.3195944122970105,0.4697210268303752,0.2040923801700216,49.20600802634442,241.09674249157547,-191.91471522072302,504169.54143433855,591.1065057799543,0.01029071755293134,535.3922939791297,0.04058110047392502,0.019616352303276137,0.08917581602417077,0.00911954843600545,26,True,True,True,True,True,0.05586283012057344,0.019884856802485883,4.297285166490958e-05,3.156262735991944e-05,193.36600465989687,70.11838196010885,15.959110316456963,5.680783137067532,0.21474668684738885,0.07644093769599318,0.8946577195636929,2.809315182676589
7,sobol,True,1.1380568385124206,0.7611444625630974,0.20406422735186605,54.19644371072162,265.58522487761263,-211.35785962390648,491374.4031749355,585.2684550748731,0.010250632117562025,533.3067802054653,0.040829842464515174,0.02476624056833686,0.06335776540567108,0.01441747055659781,22,True,True,True,True,True,0.04817773949702581,0.03222178224850446,4.053556574433855e-05,3.5475218136739075e-05,167.03964266027592,112.38026033784107,13.76360377322516,9.205243923138683,0.1852038272041036,0.12386628044532215,0.949600650537759,1.4951916416498634
8,sobol,True,1.0941096737980842,0.5951122685149313,0.20561604223540905,51.31259070077389,249.55538557651204,-198.30220773113584,497893.21044951584,586.0451995991173,0.010272477233453536,534.4433099614554,0.040820803375021954,0.024381445700794528,0.07537617004184591,0.011409747516977197,33,True,True,True,True,True,0.0463173095241189,0.02519308603379876,3.994554019990571e-05,3.3246104237732764e-05,160.6664773534649,88.30246997753838,13.232108911443538,7.197258684488189,0.17805200242309957,0.09684671803312445,0.8446109711565077,1.838492888960889
9,sobol,True,1.263937745243311,0.6636887040361762,0.2049958882463284,53.77043745363939,262.3000778875498,-208.49945180560889,495450.86511600553,588.1717293987685,0.010243500085354356,532.9357239535804,0.04069598537147028,0.02207013599704247,0.06963588722271319,0.012628522964858214,22,True,True,True,True,True,0.05350669788196683,0.02809615513753146,4.222561676379289e-05,3.4166797278266645e-05,185.29474131753943,98.24734270299513,15.286001305779838,8.026618743453502,0.20568929410658052,0.10800663367595935,0.9638132246397435,1.9044135263366129
