index,label,feasible,small_min_deg,small_max_deg,large_max_deg,h_s_low_before,h_s_low_after,h_s_high_before,h_s_high_after,h_l_low_before,h_l_low_after,h_l_high_before,h_l_high_after,sector_smin_to_lmin_deg,sector_lmin_to_smax_deg,sector_smax_to_lmax_deg,sector_lmax_to_next_smin_deg,cross_symmetry_rms_h,cross_symmetry_max_abs_h,delta_cross_low_before,delta_cross_low_after,delta_cross_high_before,delta_cross_high_after,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_pressure_pa,maximum_temperature_k,maximum_tube_reynolds,maximum_tube_mach_number,maximum_absolute_mass_flow_kg_s,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,small_max_abs_dV_dtheta,large_max_abs_dV_dtheta,small_max_abs_d2V_dtheta2,large_max_abs_d2V_dtheta2,convergence_cycles,constraint_power_ok,constraint_pressure_ok,constraint_temperature_ok,constraint_mass_flow_ok,constraint_validity_ok,minimum_normalized_bound_distance
0.0,k2_f6_crossed_reference,True,70.22567113116384,234.63794903829694,369.03589606657624,-0.08207017509266734,-0.14985595881007613,-1.4965100169181824,-0.7012899326160551,-0.14985595881007613,-0.08207017509266734,-0.7012899326160551,-1.4965100169181824,109.77432886883616,54.63794903829694,134.3979470282793,61.18977506458759,0.0,0.0,0.0,0.0,0.0,0.0,0.20561604223540905,51.31259070077389,249.55538557651204,-198.30220773113584,497893.21044951584,586.0451995991173,534.4433099614554,0.040820803375021954,0.010272477233453536,0.024381445700794528,0.07537617004184591,0.011409747516977197,0.0005414685867423855,0.0006199023554334921,0.0012443325977985697,0.001369988702076761,33.0,True,True,True,True,True,0.21823377038041747
1.0,f6_11d_rank1,True,72.08390722516924,235.5071484996006,363.8601829633117,-0.09538731146603818,-0.44473693314939733,-1.545522258616984,-0.4698015887290241,0.06968009634874761,0.24037136207334697,-0.8499179139733316,-0.95907771717757,107.91609277483076,55.50714849960059,128.35303446371108,68.22372426185757,0.46523230433729107,0.5864445414394139,0.5144170294981449,0.33575867353938516,-0.3801163252443075,0.5864445414394139,0.20345898334200888,51.481846546853156,253.0330472570661,-201.49643795483402,477705.6171748258,586.9933811347123,633.0166582154602,0.04374133111740187,0.012167144931394373,0.02938406401252216,0.06970871422862196,0.012610414726030233,0.0005321197030616155,0.0005370546810572923,0.0012841661683608099,0.0010128152010524954,27.0,True,True,True,True,True,0.11539856623858213
2.0,f6_11d_rank2,True,76.6424458194524,236.5768141951412,367.06120228022337,-0.14810651345178483,-0.29595617153681814,-1.366279754973948,-0.48329564053565277,-0.2408193283248693,-0.5043451921083033,-0.4142834452912212,-1.1997648131102325,103.3575541805476,56.576814195141196,130.48438808508217,69.58124353922904,0.20151673417278113,0.3562386786565185,0.05513684321194884,-0.3562386786565185,0.06901219524443158,0.16651494186371552,0.20316306143572377,50.22019983476753,247.19158827332433,-196.97961392214253,476360.5892950969,584.0260066472218,594.4463787027237,0.03655838317539892,0.011425789747790146,0.027525572474154682,0.07916493552826481,0.011038084738085829,0.0005249767141342489,0.0005538705411519322,0.0012463895501256298,0.0011797335059432065,22.0,True,True,True,True,True,0.08167182671881856
3.0,f6_11d_rank3,True,68.64471082109958,230.68801451008767,363.69742507860065,0.32634043502621346,-0.11234579216688872,-1.6751007026061415,-0.9551835896447302,-0.13389479629695417,-0.15081036896444855,-0.5713121378794315,-1.4206654850393534,111.35528917890042,50.68801451008767,133.00941056851298,64.94728574249893,0.3317498382616748,0.477150803990662,-0.02154900413006544,-0.477150803990662,0.3838714517652987,0.2544352175667881,0.20278180407955312,50.37368797240278,248.41325483345994,-197.98473627410846,511327.59301244526,588.3045991620928,543.6438310040443,0.04344510065848333,0.010449319456350331,0.024052317606095507,0.0808441222785456,0.01194761812120886,0.0005804391600414133,0.0005894637302776401,0.0013726167742258463,0.0012491337475146929,24.0,True,True,True,True,True,0.03379937853398074
4.0,sobol_0,True,76.4007597384043,231.16117145773023,362.13022420648485,-0.031902204919606436,-0.38870484791696075,-1.7774347281083465,-0.4246091669425368,-0.09762341361492871,0.17481594192795458,-0.459364860970527,-1.040092479996383,103.5992402615957,51.161171457730234,130.96905274875462,74.27053553191945,0.40998242119314987,0.7373422481119634,0.29108143430203204,0.206718146847561,-0.03475569402799017,0.7373422481119634,0.20083097599753202,48.473387334412585,241.36409781232285,-192.83223201537754,508323.690683717,589.2492723688341,611.1517038657214,0.04211679553977231,0.011746881001466255,0.027653361467380188,0.08261447626915785,0.012406909103942064,0.0006057382735083934,0.0005263084563581798,0.0015624171549548868,0.0010342794622889282,30.0,True,True,True,True,True,0.014469356276094913
5.0,sobol_1,True,67.177786082495,237.94780935160816,368.3783489698544,0.04543677847832439,-0.07512619271874427,-1.2368632435798643,-0.8606927256565542,-0.2249793104827404,-0.20833741887472568,-1.0186487736180425,-1.5811448007822035,112.822213917505,57.94780935160816,130.43053961824626,58.79943711264059,0.23996729144982157,0.3442815572023392,-0.14985311776399612,-0.25377419735305007,-0.15795604796148832,-0.3442815572023392,0.2007299743044501,52.3077196997199,260.58748764837685,-208.23120955058184,495125.0957377287,583.2119344347892,546.8734668148545,0.0426053195608357,0.010511395938028599,0.02658642559646654,0.06663501336326964,0.011559491423872956,0.0004891375556531753,0.000626581498476527,0.0010334484834561228,0.0014055962877666233,22.0,True,True,True,True,True,0.016932007856667042
6.0,sobol_2,True,70.9238872025162,233.2933723917231,365.8055229531601,-0.3341622390784323,-0.1162214860320091,-1.4198511293157936,-0.6224940718617291,-0.2918987674638629,-0.5727840768638998,-0.7417508030310274,-1.3505016358569264,109.0761127974838,53.293372391723096,132.512150561437,65.11836424935609,0.16342766660788227,0.23862183778546747,-0.1756772814318538,-0.23862183778546747,-0.11925673116929825,0.0693494934588672,0.2039031479967547,51.953374750937876,254.7943730214737,-202.7843220390991,476442.02545236377,584.8100955804982,566.0715192755549,0.036603299758185597,0.010880399634311025,0.026425253667123953,0.07562067164579762,0.0105690103725302,0.0005388527024799726,0.0005713863140776564,0.0012366658503763623,0.0012424619066445878,29.0,True,True,True,True,True,0.0226253727450967
7.0,sobol_3,True,74.82593232207,235.58006822131574,369.6957872407511,0.26525659132748836,-0.4202746693044901,-1.5847473844885827,-1.0359655287116767,0.13833875283598907,0.10538870547898116,-0.5516009216196835,-0.8243409428745508,105.17406767793,55.58006822131574,134.11571901943535,65.13014508131891,0.5362913679551125,0.7604064416140318,0.5586134221404792,-0.1598678858485072,0.48436460709199314,0.7604064416140318,0.20158195319033115,51.58438803302783,255.89784807929954,-204.27113874382832,490371.2930681042,586.8917967764222,653.2183556337498,0.04406215246187266,0.012555439579186789,0.03184073088461425,0.07203924436977305,0.012136398746229599,0.0005490688200628764,0.0005460003597618927,0.0013476162792729557,0.0010088995644751578,22.0,True,True,True,True,True,0.027045492082834244
8.0,sobol_4,True,72.62386587122455,234.3107534488663,367.50974919181317,0.1938874339684844,-0.5221850879490376,-1.665436150878668,-0.6704812484327705,-0.347198336198926,-0.4482846693601459,-0.8946310067083687,-1.437410445790738,107.37613412877545,54.31075344886631,133.19899574294686,65.11411667941138,0.3692032671501665,0.6421721033286303,0.17498675175011164,-0.6421721033286303,-0.22414975827559824,0.22802570508792996,0.19747813042491785,52.645652261112836,266.58978464012233,-213.90693751285988,460846.9621751215,582.3032829006521,588.2064229610154,0.04062695110520089,0.011305852231313274,0.028685159214932903,0.07681378134866493,0.011380691498751042,0.00055265052541147,0.0005880252794790029,0.0013736897240845477,0.001313990871316038,22.0,True,True,True,True,True,0.04635818675160404
9.0,sobol_5,True,71.2854575314559,236.52268216572702,363.4899173108861,-0.25668306620791553,-0.23693112991750243,-1.3487113131210209,-0.9894316568039359,0.1183361975476146,-0.05956501555629079,-0.32891175658442084,-0.965961663518101,108.7145424685441,56.52268216572702,126.96723514515907,67.79554022056982,0.4323928285465831,0.660519900219515,0.355267327465117,0.19711805065162474,0.660519900219515,0.3827496496029199,0.20072117222972338,49.02052217253609,244.22198031223428,-195.25260133837799,502544.6902711886,588.0944522608966,617.53151828268,0.04249277086239898,0.0118695067264596,0.02755469847996989,0.06904080559031918,0.012352073150022047,0.0005097133202704588,0.0005421881696753395,0.0011590088509719793,0.0010121141053930148,32.0,True,True,True,True,True,0.038549008779227734
