lambda_s,status,cold_power_w,mechanical_power_w,cop,minimum_temperature_k,maximum_temperature_k,maximum_pressure_bar,epsilon_p,epsilon_t_cold,epsilon_t_hot,topology,validity,mass_residual,energy_residual
0.43,converged,111.78230590416362,30.42236271763921,3.674346629210066,241.39510604944368,331.3245552113185,2.018287605330893,0.0038094769505931446,0.016387957834744563,0.016432191264005868,nominal,indeterminate,2.209970817101213e-15,-7.416868587466639e-16
0.45,converged,118.69052447339416,33.12056734511673,3.5835897144103055,240.24350089461,334.9162218992341,2.0943096604884563,0.0038389040741813162,0.016895676297952692,0.01831436403200846,nominal,indeterminate,3.3999551032326087e-16,-2.4804060054630688e-15
0.47,converged,125.78344004061817,36.07797747310251,3.486432689703697,239.0545630867136,338.6626513690136,2.175723718455215,0.00386944631208633,0.01742455215869124,0.020394778600336054,nominal,indeterminate,6.79991020646526e-16,-1.430822376079797e-15
0.49,converged,133.06961998276472,39.32057840407376,3.3842233604828715,237.8257825935107,342.5760008041105,2.2631076138051616,0.003901176244734207,0.01797621612352313,0.02283622146591993,nominal,indeterminate,3.739950613555887e-15,-1.8307222914537912e-15
