index,label,feasible,k_i,k_o,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_pressure_pa,maximum_temperature_k,maximum_absolute_mass_flow_kg_s,maximum_tube_reynolds,maximum_tube_mach_number,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,convergence_cycles,constraint_power_ok,constraint_pressure_ok,constraint_temperature_ok,constraint_mass_flow_ok,constraint_validity_ok,hi_tube_length_m,ho_tube_length_m,hi_working_gas_volume_m3,ho_working_gas_volume_m3,hi_wall_capacity_j_k,ho_wall_capacity_j_k,hi_static_conductance_w_k,ho_static_conductance_w_k,hi_internal_area_m2,ho_internal_area_m2
0,sobol,True,1.6924872607924044,1.1808183688670397,0.19395725778706152,59.13133224535802,304.86785037080756,-245.73499567653548,477752.62261248997,590.6287995273127,0.010076253004173188,524.2344066747486,0.040475881266563575,0.019079717586708355,0.04680142781208681,0.02200329760817912,22,True,True,True,True,True,0.07164862737354512,0.04998797761537135,4.79792339282193e-05,4.110967320706718e-05,247.4424799145909,173.2408686891601,20.46885819800257,14.280759631017839,0.27543010822084,0.1921627055402083
1,sobol,True,1.1418842282146215,0.841892260685563,0.202738061329554,54.95676108615532,271.07273654364394,-216.09239027219735,488466.51285373856,584.7427032214479,0.010236242100200688,532.5581147828785,0.0408436396902254,0.025184618051199398,0.059109372355755946,0.01588749289065926,22,True,True,True,True,True,0.048339765661085644,0.0356401057023555,4.058695148691095e-05,3.655932137431195e-05,167.59468614087967,124.09020952206221,13.809892037188911,10.181803846429249,0.18582668468982966,0.1370069257492357
2,sobol,True,0.5904725822620094,1.3706658080220222,0.18329306060752645,45.94198956682208,250.64773000432723,-204.7261231762985,464190.9078323563,570.4256207485697,0.01010615949101466,525.7903431303508,0.041722174463704374,0.044501577415729215,0.04209815112594014,0.025735883725520593,22,True,True,True,True,True,0.02499667264909173,0.058024852539598944,3.3183812769667145e-05,4.365852566147948e-05,87.62962822190258,200.7723174339012,7.14114654574759,16.57676527982721,0.09609166993535931,0.2230578868058119
3,sobol,True,1.4929815912619233,0.5067311704158783,0.20394093501484342,51.12999534693759,250.7098211706061,-199.53588780788272,502070.6977983594,592.6229419829879,0.010202062793765917,530.7798775331821,0.040482222243283954,0.01794523322702612,0.0840563852724506,0.009769195770035686,25,True,True,True,True,True,0.06320288736342142,0.021451619547605518,4.530071207027203e-05,3.205951789337062e-05,218.5104061430836,75.48554875306186,18.056046383156144,6.128382004420129,0.242963176609358,0.08246385325297728
4,sobol,True,1.4263977222144604,1.2330646891146897,0.19353250170859967,57.961633349454395,299.4930197136952,-241.52415434682598,476631.009101288,587.3230476313881,0.010102260384024378,525.5874853776957,0.040653394865149316,0.02230876693839199,0.04579025453055121,0.02298815956098474,22,True,True,True,True,True,0.060384170240412156,0.0521997385058552,4.440677081511848e-05,4.181112149728363e-05,208.8544930263927,180.817567613317,17.250784325721927,14.912624074130923,0.2321275250317392,0.20066510905798343
5,sobol,True,0.8285404336638749,0.37264040149748323,0.20122911695419263,41.786017936716846,207.65393482409868,-165.86450962689247,509539.20127605693,584.1041779690729,0.010574447790236448,550.1538479563599,0.04097177167655669,0.027086254387649236,0.10617247679066376,0.007447097971469915,23,True,True,True,True,True,0.03507487835843737,0.015775110330060124,3.63800625061039e-05,3.0259242962126112e-05,122.15394352378257,56.03986569274955,10.020327503107621,4.506694799893268,0.13483409098307755,0.06064233893486196
6,sobol,True,1.0328070214018226,1.0150823906064033,0.19892568329058236,54.70756714521035,275.01510232490097,-220.2771970385017,482072.29793824017,581.4252689823736,0.010209780911046826,531.1814258698234,0.04098284936724948,0.028285634973394674,0.05211252981463414,0.019070647056196106,22,True,True,True,True,True,0.04372216390601049,0.04297182120233774,3.9122503467265676e-05,3.888453623996178e-05,151.7764399640927,149.2060351883655,12.490717630026719,12.276356811621783,0.16807579960322033,0.1651913483631731
7,sobol,True,1.981837512459606,0.6796863377094269,0.2013201470129953,56.38731550854132,280.0877922312539,-223.70422353721358,492815.4854554793,595.251435923056,0.010115579668954424,526.2804441025056,0.04026740782335563,0.014809140053401955,0.06720342715991064,0.01285883744694095,22,True,True,True,True,True,0.08389778802745665,0.028773388296365738,5.186399056454502e-05,3.438157819938071e-05,289.4037076167472,100.56730041995274,23.968245997328978,8.2200933430839,0.32251806744903055,0.11061003878037227
8,sobol,True,1.8740542214363813,1.4664754081517457,0.18592844478495912,59.16296405304053,318.2028662772238,-259.03918471896924,469307.30321628856,591.4826605720749,0.009966404816994191,518.5193656564029,0.040386324405385636,0.01795718778916008,0.04065503450406819,0.027210255058655337,22,True,True,True,True,True,0.07933496204080681,0.062080792278423905,5.0416914390686764e-05,4.494484553776472e-05,273.77310356144073,214.66651114526465,22.664720144475282,17.735481900326004,0.3049777501901426,0.23864964288199658
9,sobol,True,0.9484612331725657,0.5281490955501795,0.2052725024328296,48.45607056249809,236.05728964284515,-187.62408861725072,500117.97539636557,583.9237217454365,0.010367832346040325,539.4043238273871,0.04094182656404512,0.026689158659112033,0.0821604643347664,0.01022328389309068,23,True,True,True,True,True,0.040151525537638615,0.022358311711624265,3.799009435864464e-05,3.23470705266322e-05,139.54471455444488,78.59155066005803,11.470643790265525,6.387409344019833,0.15434962858963194,0.08594933971675396
