sector,start_deg_unwrapped,end_deg_unwrapped,duration_deg,port,forward_g,reverse_g,signed_g,absolute_g
Smin_to_Lmin,76.629619743675,180.0,103.370380256325,S_to_H_i,0.07223611545165984,0.0,0.07223611545165984,0.07223611545165984
Smin_to_Lmin,76.629619743675,180.0,103.370380256325,H_i_to_L,0.015522473039666822,0.0,0.015522473039666822,0.015522473039666822
Smin_to_Lmin,76.629619743675,180.0,103.370380256325,L_to_H_o,0.500106954574778,0.0,0.500106954574778,0.500106954574778
Smin_to_Lmin,76.629619743675,180.0,103.370380256325,H_o_to_S,0.40124219695080376,0.0,0.40124219695080376,0.40124219695080376
Lmin_to_Smax,180.0,244.2100373096764,64.21003730967641,S_to_H_i,0.8159579476235348,0.0,0.8159579476235348,0.8159579476235348
Lmin_to_Smax,180.0,244.2100373096764,64.21003730967641,H_i_to_L,0.7912044774176799,0.0,0.7912044774176799,0.7912044774176799
Lmin_to_Smax,180.0,244.2100373096764,64.21003730967641,L_to_H_o,0.045846199392560974,0.0018922500944078544,0.04395394929815312,0.04773844948696883
Lmin_to_Smax,180.0,244.2100373096764,64.21003730967641,H_o_to_S,0.0,0.0,0.0,0.0
Smax_to_Lmax,244.2100373096764,369.75877022743225,125.54873291775584,S_to_H_i,0.40045483884555316,0.043190788676856155,0.35726405016869706,0.4436456275224093
Smax_to_Lmax,244.2100373096764,369.75877022743225,125.54873291775584,H_i_to_L,0.4387433974270562,0.0,0.4387433974270562,0.4387433974270562
Smax_to_Lmax,244.2100373096764,369.75877022743225,125.54873291775584,L_to_H_o,0.20689310939424752,0.06657008928455581,0.14032302010969178,0.2734631986788033
Smax_to_Lmax,244.2100373096764,369.75877022743225,125.54873291775584,H_o_to_S,0.2831711504641864,0.0,0.2831711504641864,0.2831711504641864
Lmax_to_next_Smin,369.75877022743225,436.629619743675,66.87084951624274,S_to_H_i,0.0005287207254890764,0.0005166828230943474,1.2037902394728921e-05,0.0010454035485834238
Lmax_to_next_Smin,369.75877022743225,436.629619743675,66.87084951624274,H_i_to_L,0.0,0.0,0.0,0.0
Lmax_to_next_Smin,369.75877022743225,436.629619743675,66.87084951624274,L_to_H_o,0.5610928071513283,0.0,0.5610928071513283,0.5610928071513283
Lmax_to_next_Smin,369.75877022743225,436.629619743675,66.87084951624274,H_o_to_S,0.5610628665573264,0.0,0.5610628665573264,0.5610628665573264
