time_s,S_to_H_i_mass_flow_kg_s,H_i_to_L_mass_flow_kg_s,L_to_H_o_mass_flow_kg_s,H_o_to_S_mass_flow_kg_s
0.0,-5.826979048126612e-05,0.0,0.0027506683521254576,0.002820679689648163
3.309997867538501e-07,-5.826965092190881e-05,0.0,0.0027506906811603166,0.0028207017260285317
6.619995735077002e-07,-5.826951139791812e-05,0.0,0.002750713010215085,0.002820723762476786
8.059563567497853e-05,-5.8237757139570093e-05,0.0,0.002756105946364106,0.0028260485333838486
0.00010057904470034622,-5.822972593323314e-05,0.0,0.0027574546458683288,0.002827379972686021
0.00012056245372571393,-5.822143828244744e-05,0.0,0.002758803742625886,0.0028287112473436896
0.00014054586275108163,-5.821320710120937e-05,0.0,0.00276015291715888,0.0028300427510189927
0.0001640260664973534,-5.820361578643612e-05,0.0,0.002761738262030909,0.0028316075569156697
0.00018750627024362516,-5.8194065776146695e-05,0.0,0.002763323763796714,0.0028331726205381197
0.00021098647398989692,-5.8184536445201164e-05,0.0,0.0027649094511796703,0.002834737908117288
0.00023460797586406082,-5.817496354311385e-05,0.0,0.0027665048743902095,0.002836312833639272
0.0002582294777382247,-5.816539992546364e-05,0.0,0.0027681004950856096,0.002837887974220185
0.0002818509796123886,-5.8155842019229414e-05,0.0,0.002769696316579703,0.0028394633260419924
0.0003407834226364641,-5.8132012581069485e-05,0.0,0.002773678561442738,0.0028433945270620866
0.0003997158656605396,-5.8108177767288086e-05,0.0,0.002777662091289122,0.0028473270040962366
0.00045864830868461506,-5.8084335940990976e-05,0.0,0.002781646907426104,0.0028512607618874568
0.0005175807517086905,-5.806050710402316e-05,0.0,0.002785632989785628,0.002855195830099464
0.0005413489397325263,-5.805089792742238e-05,0.0,0.0027872409864184476,0.002856783261445135
0.000565117127756362,-5.804128581832084e-05,0.0,0.002788849195908634,0.002858370898924466
0.0005888853157801976,-5.803167208302551e-05,0.0,0.0027904576168582495,0.002859958744563365
0.0006569593142440138,-5.800414353318995e-05,0.0,0.0027950654146922846,0.002864507630571739
0.00072503331270783,-5.797665181266527e-05,0.0,0.0027996749056317417,0.002869058287467162
0.0007931073111716463,-5.794916925546396e-05,0.0,0.0028042860936675655,0.002873610713826288
0.0008971510666828669,-5.790733935685121e-05,0.0,0.002811336877346552,0.002880572258066329
0.000923162005560672,-5.7896786098759155e-05,0.0,0.002813100341214357,0.0028823131310902373
0.0009491729444384772,-5.7886083419697224e-05,0.0,0.0028148642437566544,0.0028840540384558406
0.0009751838833162822,-5.787543354353429e-05,0.0,0.0028166283243497505,0.002885795290101491
0.000999026104537449,-5.786572658549258e-05,0.0,0.002818245460554239,0.0028873916831705488
0.0010228683257586157,-5.7856040451567175e-05,0.0,0.0028198627823331672,0.0028889883241365465
0.0010467105469797824,-5.784636221027773e-05,0.0,0.0028214803116159183,0.002890585187977912
0.0010703904948817118,-5.783675492579705e-05,0.0,0.0028230870395407354,0.002892171401324532
0.0010940704427836413,-5.782715116215757e-05,0.0,0.0028246939752007557,0.0028937578312306176
0.0011177503906855705,-5.781754937522693e-05,0.0,0.002826301120254471,0.0028953444760047944
0.0013545498697048644,-5.772138094621362e-05,0.0,0.002842385043195568,0.002911221783409045
0.0014137497394596877,-5.769729613406123e-05,0.0,0.00284640930026508,0.0029151944871536814
0.0014729496092145112,-5.767344871070193e-05,0.0,0.002850433937950351,0.002919169576522719
0.0015321494789693345,-5.7649668955151496e-05,0.0,0.002854459900255548,0.0029231460321418657
0.0015913493487241578,-5.76255095619738e-05,0.0,0.0028584884844676823,0.0029271224186524637
0.0016164355748224555,-5.7615222542477545e-05,0.0,0.0028601961021662787,0.002928807743612464
0.001641521800920753,-5.760502654563346e-05,0.0,0.0028619036745215275,0.00293049362753444
0.0016666080270190506,-5.759484617625601e-05,0.0,0.002863611452633258,0.0029321797938288915
0.0016913984991899311,-5.758477438218182e-05,0.0,0.002865299370667859,0.0029338462790298057
0.0017161889713608117,-5.7574697964400477e-05,0.0,0.002866987538133635,0.0029355129863989056
0.0017409794435316922,-5.7564621914860695e-05,0.0,0.002868675940372037,0.0029371799325519587
0.0018000504306167986,-5.754061761159249e-05,0.0,0.0028727000223649555,0.0029411529147059896
0.0018591214177019048,-5.7516627158086405e-05,0.0,0.002876725437108147,0.002945127262014657
0.001918192404787011,-5.749262799161034e-05,0.0,0.0028807522046007017,0.0029491029546439263
0.0020461971878180784,-5.7440618317630616e-05,0.0,0.002889482757919835,0.002957722767155261
0.002174201970849146,-5.7388393420477985e-05,0.0,0.0028982198825176454,0.0029663486924030604
0.002206203166606913,-5.737531370617916e-05,0.0,0.0029004051442221702,0.0029685061876523837
0.00223820436236468,-5.736229897646881e-05,0.0,0.002902590685636911,0.0029706642200373213
0.0022702055581224467,-5.734927136350304e-05,0.0,0.0029047766731381945,0.0029728226031076254
0.0023022067538802137,-5.733621753425641e-05,0.0,0.002906963124741851,0.0029749813166704193
0.0023271606016958333,-5.732604331041634e-05,0.0,0.0029086683379696185,0.002976664928157834
0.002352114449511453,-5.731587234011724e-05,0.0,0.002910373787200867,0.0029783487929937566
0.0023770682973270727,-5.730569907992192e-05,0.0,0.002912079484925476,0.0029800328975591608
0.002432378688324201,-5.7283144265307654e-05,0.0,0.0029158610561780935,0.0029837665871306524
0.002487689079321329,-5.726059378504295e-05,0.0,0.002919643827859085,0.0029875014843495974
0.0025429994703184567,-5.723803824805404e-05,0.0,0.002923427797952282,0.0029912375938013847
0.0027117039380800496,-5.716938630351973e-05,0.0,0.0029349767140642393,0.0030026409817841978
0.0027538800550204476,-5.7152143109281225e-05,0.0,0.0029378657679563903,0.0030054935038414197
0.0027960561719608456,-5.713472336739535e-05,0.0,0.002940755752321369,0.0030083464706915828
0.002838232288901244,-5.7117394517588115e-05,0.0,0.0029436463346030686,0.0030112002733155884
0.002880408405841642,-5.7100188485872776e-05,0.0,0.002946537417824758,0.0030140550197145805
0.002905257815201432,-5.7090027252693345e-05,0.0,0.0029482411598064297,0.0030157372749816604
0.0029301072245612224,-5.707984542471091e-05,0.0,0.0029499451924422265,0.003017419726893525
0.002954956633921013,-5.7069667152479696e-05,0.0,0.0029516494645801987,0.0030191024330608438
0.0029801655084504444,-5.705934612385374e-05,0.0,0.0029533786306000336,0.003020809745706685
0.003005374382979876,-5.7049025661494457e-05,0.0,0.0029551080472197447,0.00302251731596713
0.0030305832575093076,-5.703870421315181e-05,0.0,0.0029568377178481537,0.0030242251404062202
0.0031307372074957317,-5.6997768858113545e-05,0.0,0.002963712081677731,0.0030310128342261565
0.0032308911574821563,-5.695718738598227e-05,0.0,0.002970590142870443,0.0030378049540979867
0.0032559296449787625,-5.694690909996926e-05,0.0,0.0029723104092698937,0.00303950347618864
0.0032809681324753683,-5.693644145253051e-05,0.0,0.0029740311043124617,0.0030412020381892484
0.0033060066199719746,-5.692603268591287e-05,0.0,0.00297575198694475,0.003042900929836108
0.0033302516948742616,-5.691601689210032e-05,0.0,0.0029774185033197742,0.003044546317808232
0.0033544967697765487,-5.6906027636550384e-05,0.0,0.0029790852298985197,0.003046191975299739
0.0033787418446788358,-5.689605030681295e-05,0.0,0.002980752186781412,0.0030478378794350247
0.0034029049338064822,-5.688611430568725e-05,0.0,0.002982413738642853,0.0030494784601073455
0.0034270680229341287,-5.687618313561651e-05,0.0,0.0029840755231275314,0.003051119281310012
0.0034512311120617756,-5.686625451710178e-05,0.0,0.002985737542002373,0.0030527603411828427
0.003664181270411744,-5.6778637568246805e-05,0.0,0.0030003956228573147,0.0030672328808236033
0.003717418809999236,-5.675669583400442e-05,0.0,0.0030040629959065413,0.003070853918526093
0.0037706563495867283,-5.673490364656952e-05,0.0,0.0030077310686436893,0.0030744766108635494
0.0038238938891742204,-5.671309310223056e-05,0.0,0.003011400383607658,0.0030781003706658585
0.0038771314287617126,-5.669108922107407e-05,0.0,0.003015071400595177,0.003081724696779608
0.0039028213551305004,-5.668046992344457e-05,0.0,0.0030168432599767476,0.0030834740567205264
0.003928511281499288,-5.666989456136846e-05,0.0,0.003018615260139225,0.0030852238290640295
0.003954201207868076,-5.66593183117123e-05,0.0,0.0030203875305001094,0.0030869738727971824
0.003979144703798514,-5.664903903811343e-05,0.0,0.003022108591283251,0.0030886733001174466
0.004004088199728952,-5.663875487281205e-05,0.0,0.0030238299168269082,0.0030903729729787046
0.00402903169565939,-5.662846860293504e-05,0.0,0.0030255514993044463,0.0030920729002992687
0.004118378410889609,-5.659165112573904e-05,0.0,0.0030317202121977575,0.0030981641036022275
0.004207725126119828,-5.6554983252002544e-05,0.0,0.003037892080020051,0.003104258767309363
0.004297071841350047,-5.6518460590256185e-05,0.0,0.0030440669579017863,0.0031103570569437256
0.004334005258875351,-5.650313661808507e-05,0.0,0.0030466206884052003,0.003112878606745027
0.004370938676400655,-5.648755532417307e-05,0.0,0.0030491753351094613,0.003115400321681564
0.004407872093925959,-5.6472071468346314e-05,0.0,0.0030517304322878716,0.0031179227380471416
0.004432925994634029,-5.646165997348881e-05,0.0,0.0030534638672645854,0.0031196343156334187
0.004457979895342099,-5.645127555476499e-05,0.0,0.003055197517651308,0.0031213462057648523
0.004483033796050169,-5.644089253457611e-05,0.0,0.0030569314362716388,0.00312305835024581
0.004508223678918451,-5.643045272357742e-05,0.0,0.0030586750368586926,0.0031247800434755528
0.0045334135617867335,-5.6420013584633966e-05,0.0,0.003060418902708979,0.0031265020005649385
0.0045586034446550155,-5.6409574443546226e-05,0.0,0.003062163033012413,0.003128224222625948
0.004708271156916394,-5.634756331864749e-05,0.0,0.003072531422195546,0.0031384623938038162
0.0048579388691777714,-5.6285370295139096e-05,0.0,0.0030829095195189465,0.0031487095862797725
0.005052049156298717,-5.620466307238007e-05,0.0,0.0030963828351666905,0.0031620141689578276
0.005246159443419662,-5.6123798032482196e-05,0.0,0.0031098721430010594,0.0031753346073431833
0.005440269730540607,-5.604276791759566e-05,0.0,0.0031233776592902015,0.0031886708438625287
0.005634380017661552,-5.59615793892146e-05,0.0,0.0031368993724899307,0.003202023057498755
0.005951766315524303,-5.5828472921046055e-05,0.0,0.003159043504079141,0.00322388974444468
0.006269152613387053,-5.569490164910952e-05,0.0,0.003181231404788764,0.003245799828320173
0.006586538911249803,-5.5560836759481626e-05,0.0,0.0032034634418724203,0.0032677536323488503
0.006903925209112554,-5.542625957694897e-05,0.0,0.0032257400095915493,0.003289751453949297
0.007221311506975304,-5.529115269591821e-05,0.0,0.0032480614676776436,0.0033117936324097903
0.007869984143283937,-5.501327046851412e-05,0.0,0.0032938230793869436,0.003356982725774222
0.00851865677959257,-5.473287104322634e-05,0.0,0.0033397767629596013,0.003402361368733934
0.009167329415901204,-5.4449758738409496e-05,0.0,0.0033859256068465133,0.003447932351697513
0.00981600205220984,-5.416372743374617e-05,0.0,0.0034322726685797884,0.003493698450323622
0.010464674688518473,-5.3874571636376404e-05,0.0,0.00347882097728061,0.0035396624379465144
0.011159119132962919,-5.3561314383231936e-05,0.0,0.0035288803205432368,0.0035890921946730133
0.011853563577407364,-5.3243980701416836e-05,0.0,0.0035791774763195166,0.003638755264490609
0.01254800802185181,-5.292230307724385e-05,0.0,0.0036297161255082456,0.0036886549833215995
0.013242452466296255,-5.259601045981932e-05,0.0,0.0036804999267523986,0.0037387946702006915
0.0139368969107407,-5.226483104984285e-05,0.0,0.003731532520501885,0.003789177625655599
0.014631341355185146,-5.192849506461796e-05,0.0,0.003782817532036235,0.0038398071374959567
0.015325785799629591,-5.158669497464312e-05,0.0,0.003834358576305572,0.003890686455170269
0.01602023024407404,-5.12391416771867e-05,0.0,0.0038861592372666275,0.003941818812800627
0.016714674688518484,-5.0885615886368555e-05,0.0,0.003938223051552442,0.003993207471339421
0.01740911913296293,-5.052583301206176e-05,0.0,0.003990553568329133,0.004044855648693519
0.018103563577407375,-5.01593926985462e-05,0.0,0.004043154374149605,0.004096766463062661
0.01879800802185182,-4.9786007163491995e-05,0.0,0.004096028960731435,0.004148943074295223
0.019492452466296266,-4.940552689416116e-05,0.0,0.00414918070186575,0.0042013887318928245
0.02018689691074071,-4.901759787816108e-05,0.0,0.004202613097480168,0.0042541065066939365
0.020881341355185157,-4.862170719352246e-05,0.0,0.004256329736111922,0.00430709929416976
0.021575785799629602,-4.821777620065859e-05,0.0,0.004310333769433687,0.004360370380703938
0.022270230244074048,-4.780549662053067e-05,0.0,0.004364628590945867,0.004413922739507737
0.022964674688518493,-4.7384518997328464e-05,0.0,0.004419217520056235,0.004467759335154861
0.02365911913296294,-4.6954431585584184e-05,0.0,0.0044741039373562864,0.004521882980508679
0.024353563577407384,-4.651500130233887e-05,0.0,0.004529290935692298,0.0045762966829801174
0.02504800802185183,-4.606591890002951e-05,0.0,0.0045847817072796416,0.004631003247443099
0.025742452466296275,-4.5606917730567786e-05,0.0,0.004640579267476815,0.0046860055288061595
0.02643689691074072,-4.5137627625798906e-05,0.0,0.004696686719800171,0.004741306161771947
0.027131341355185162,-4.4657762023784543e-05,0.0,0.004753106957710429,0.004796907840185492
0.027825785799629608,-4.41669854647217e-05,0.0,0.004809842875453061,0.0048528130990167315
0.028520230244074053,-4.3665013155477985e-05,0.0,0.004866897207695024,0.00490902445095955
0.0292146746885185,-4.3151517436829285e-05,0.0,0.004924272632289288,0.004965544269503068
0.029909119132962944,-4.262620333072975e-05,0.0,0.00498197168939918,0.0050223748475431975
0.03060356357740739,-4.2088754669355254e-05,0.0,0.005039996804624875,0.00507951835448493
0.031298008021851835,-4.1538876735625825e-05,0.0,0.005098350264814213,0.005136976837526948
0.031992452466296284,-4.0976262695613216e-05,0.0,0.005157034208135115,0.005194752206505522
0.032686896910740726,-4.040061962613115e-05,0.0,0.005216050611931343,0.005252846220604575
0.033381341355185175,-3.981165771013935e-05,0.0,0.0052754012745434686,0.005311260483978845
0.03407578579962962,-3.920906002589652e-05,0.0,0.0053350878197829,0.005369996399586679
0.034770230244074066,-3.8592544748118067e-05,0.0,0.005395111649097966,0.0054290551830436925
0.03546467468851851,-3.7961899277539524e-05,0.0,0.005455473886531008,0.005488437898950435
0.03615911913296296,-3.731679994559953e-05,0.0,0.005516175500490078,0.005548145305403349
0.0368535635774074,-3.665695041534188e-05,0.0,0.005577217182100911,0.0056081779284161155
0.03754800802185185,-3.598212348422852e-05,0.0,0.005638599289946867,0.005668536074128701
0.03824245246629629,-3.529206343904583e-05,0.0,0.005700321910084506,0.005729219732190876
0.03893689691074074,-3.458650349214653e-05,0.0,0.005762384815690499,0.005790228573545673
0.03963134135518518,-3.3865216012383526e-05,0.0,0.00582478739781412,0.005851561971555527
0.04032578579962962,-3.312797601455429e-05,0.0,0.005887528684042175,0.0059132189357046635
0.04102023024407407,-3.23745483211421e-05,0.0,0.005950607323565405,0.005975198075354036
0.04171467468851851,-3.160472453663023e-05,0.0,0.006014021511579586,0.0060374976203658665
0.04240911913296296,-3.08183132863424e-05,0.0,0.006077768981603846,0.0061001153758309945
0.043103563577407404,-3.0015115335390936e-05,0.0,0.006141847014523594,0.006163048657064867
0.04379800802185185,-2.9194948149548145e-05,0.0,0.00620625236203578,0.006226294302204271
0.044492452466296295,-2.835765730172866e-05,0.0,0.006270981200077928,0.006289848656410282
0.045186896910740744,-2.750308799684817e-05,0.0,0.006336029159022884,0.006353707482054938
0.045881341355185186,-2.663109075278571e-05,0.0,0.0064013912699601465,0.006417865942859609
0.046575785799629635,-2.5741549871260913e-05,0.0,0.006467061863506437,0.006482318631196074
0.04727023024407408,-2.4834363937908733e-05,0.0,0.006533034598180784,0.006547059474943452
0.047964674688518526,-2.3909425971558676e-05,0.0,0.006599302472832823,0.00661208165443203
0.04865911913296297,-2.2966658510138193e-05,0.0,0.006665857673619313,0.006677377669310126
0.04935356357740742,-2.200602519037612e-05,0.0,0.00673269153917312,0.006742939299173619
0.05004800802185186,-2.1027469731054987e-05,0.0,0.006799794663423473,0.006808757433073417
0.05074245246629631,-2.0030963114873433e-05,0.0,0.006867156740682815,0.0068748221313334355
0.05143689691074075,-1.901651600424548e-05,0.0,0.006934766496112864,0.006941122610982685
0.0521313413551852,-1.798414764691376e-05,0.0,0.007002611724430056,0.0070076471319382785
0.05282578579962964,-1.6933893004653933e-05,0.0,0.007070679226367039,0.0070743829725905556
0.05352023024407408,-1.5865818636124263e-05,0.0,0.007138954724715079,0.0071413164229523745
0.05421467468851853,-1.4780012437263197e-05,0.0,0.0072074228582491955,0.007208432707553518
0.05490911913296297,-1.367658078246048e-05,0.0,0.007276067145881605,0.007275715934148385
0.05560356357740742,-1.255565889049022e-05,0.0,0.007344869906771334,0.00734314908177971
0.056298008021851864,-1.141740884861225e-05,0.0,0.007413812230855131,0.007410713943824776
0.05699245246629631,-1.0262014599205142e-05,0.0,0.0074828739579763425,0.007478391062814791
0.057686896910740755,-9.089688269092582e-06,0.0,0.007552033606405524,0.007546159711006467
0.058381341355185204,-7.900672642692145e-06,0.0,0.007621268324195741,0.007613997852245409
0.059075785799629646,-6.6952359594464715e-06,0.0,0.007690553877784217,0.007681882071310011
0.059770230244074095,-5.47367437962678e-06,0.0,0.007759864597043241,0.007749787542891548
0.06046467468851854,-4.236317361937352e-06,0.0,0.007829173309688929,0.007817688012866583
0.061159119132962986,-2.983523960417656e-06,0.0,0.007898451331606294,0.007885555732415088
0.06185356357740743,-1.7156810911450043e-06,0.0,0.007967668439433662,0.007953361409543948
0.06254800802185187,-4.3321006587619335e-07,0.0,0.00803679279474652,0.00802107420732316
0.06268689691074077,-1.750027079697377e-07,0.0,0.008050603614611586,0.008034602799706879
0.06270914940648949,-1.3358101904935544e-07,0.0,0.008052815868498545,0.008036769839975722
0.0627314019022382,-9.214477292662685e-08,0.0,0.00805502798473786,0.008038936743414575
0.06275365439798693,-5.069398668106525e-08,0.0,0.00805723996227684,0.008041103509047538
