index,small_lambda_target,large_lambda_target,adiabatic_sector_fraction,status,feasible,failure_reasons,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_pressure_pa,maximum_temperature_k,maximum_absolute_mass_flow_kg_s,maximum_tube_reynolds,maximum_tube_mach_number,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,convergence_cycles
0,0.49,0.44,0.15,converged,True,,0.1348525759571953,52.64846955258033,390.41500823307916,-337.7738360157186,353494.1788656867,588.7893525822356,0.00871491613922324,453.4085130230182,0.03975269900256363,0.030664323671439623,0.0658331851866646,0.01518103229836169,22
1,0.598546739667654,0.386926731467247,0.32001000754535197,converged,False,minimum_motor_power,0.07761349842570331,25.523174019208096,328.8496786888242,-303.2986376312121,456921.31058461196,595.2767999555983,0.020418711316550917,1062.3186027248212,0.07656398982328316,0.04967158578238668,0.09036074175339494,0.03053010838129083,23
2,0.31821426972746847,0.761049697175622,0.21440089195966722,converged,False,minimum_motor_power,0.08254518072537655,25.58413086003524,309.9409394371828,-284.3580833101952,730217.1360416502,629.7977082179634,0.019384592790899463,1008.5168064120718,0.05191018199882914,0.029285631316706202,0.08587915393334013,0.01925099163913872,22
3,0.2114818681962788,0.18885228447616098,0.39886630289256575,converged,False,motor_efficiency_unavailable;minimum_motor_power;valid_thermodynamic_model,,-49.14737202700001,298.923255435892,-348.07165130899773,264004.0817956482,590.7362897542646,0.027942841056014297,1453.77440361408,0.12577380629336832,0.08667458900646668,0.22363034478645363,0.052801566743518796,23
4,0.9417044748552144,0.6789898492395877,0.09179231971502305,converged,False,motor_efficiency_unavailable;minimum_motor_power;maximum_pressure;maximum_absolute_mass_flow;maximum_reynolds;valid_thermodynamic_model,,-90.5961880761282,160.7315853429609,-251.3296748062607,1799785.98870216,668.6134603004056,0.10557530965358039,5492.737210233342,0.0680629022997162,0.13986350494825564,0.599360634582234,0.013604283124924198,23
5,0.7492705038748682,0.12147412868216634,0.18282639570534231,converged,False,minimum_motor_power,0.07710366664156779,26.60989367112623,345.11839488552187,-318.4255292489798,693910.2783240972,595.7252769532253,0.02278421322932982,1185.3879114470258,0.0444250267361688,0.04021570856760265,0.1362911938395461,0.017005178059671427,23
6,0.12968365466222165,0.5062051706947386,0.2765336848795414,converged,False,minimum_motor_power,0.05635190281756837,20.95563698004874,371.87097386737355,-350.90540987435253,418260.9699535865,595.8178495219045,0.02081212525502504,1082.7866400525998,0.060700076963822916,0.055536150860924435,0.09361482447634882,0.02391257374978391,23
7,0.46855714265257115,0.4331515134312212,0.11022012419998646,converged,True,,0.13410309413572294,53.75159002468939,400.8228920526511,-347.0814685899148,351804.288201329,586.8684080847981,0.007848140003148103,408.31299257241136,0.035756663576238794,0.029049058519225724,0.06510304474577508,0.013572368661207307,23
8,0.6380341285839677,0.9268662397749722,0.40539223328232765,converged,False,motor_efficiency_unavailable;minimum_motor_power;maximum_pressure;maximum_reynolds;valid_thermodynamic_model,,-116.91685468628205,147.5295420628097,-264.4447961394193,1439824.5545311517,661.0874163686384,0.04852598842958337,2524.6480752470707,0.18371656934156474,0.08289738236490747,0.27393383309472075,0.06638499766136777,23
9,0.6792468953877687,0.27463252646848557,0.14378057979047298,converged,True,,0.11725443152323889,43.28756249392517,369.1763452483749,-325.87540306848933,556018.697331593,590.604812296412,0.015364134600755686,799.3455487037008,0.039450119931383476,0.03537868576007494,0.10835389390928618,0.015010569006325065,22
