theta_deg,E_x,E_y,E_speed,E_projected_velocity,E_projected_acceleration,target_velocity,target_acceleration
0.0,2.4737379262457573,-0.15406437620760982,1.0484046056478082,-0.5104000826203665,-2.724200288939157,-0.05214303478674571,-2.721311881824259
0.25,2.470193152317534,-0.15694974664576355,1.046633657942782,-0.5222081670535368,-2.687917122046629,-0.0642075342212776,-2.808818855420785
0.5,2.466614114821862,-0.15977990171071332,1.0448171526307233,-0.5338565845205885,-2.6510366847449,-0.07665460334634135,-2.8965868749268733
0.7500000000000001,2.46300180590656,-0.16255432223375443,1.0429592938991772,-0.5453428264235135,-2.6136034126248475,-0.08948502324004116,-2.9844536403260142
1.0,2.459357215534414,-0.16527252272640192,1.0410642170604922,-0.5566645769664202,-2.5756612126169234,-0.10269887454475113,-3.072260395545467
1.25,2.455681330701501,-0.16793405093859082,1.0391359841765067,-0.567819710711551,-2.537253402033076,-0.11629555293048703,-3.159851928456244
1.5000000000000002,2.4519751346816125,-0.17053848739054323,1.0371785799474493,-0.5788062898778725,-2.4984226515267838,-0.130273784558278,-3.247076570873125
1.75,2.4482396062972227,-0.17308544488012012,1.035195907863654,-0.5896225613993257,-2.4592109319584288,-0.14463164154353855,-3.33378619855469
2.0,2.444475719217316,-0.17557456796746185,1.033191786618328,-0.6002669537597289,-2.4196594651383263,-0.1593665574194404,-3.419836231203267
2.25,2.4406844412823516,-0.17800553243868467,1.031169946779248,-0.61073807362118,-2.3798086784077803,-0.17447534260028408,-3.505085632464943
2.5,2.4368667338565326,-0.18037804475036168,1.0291340277169165,-0.6210347022626043,-2.339698163005421,-0.18995419984487094,-3.5893969099295924
2.75,2.4330235512075027,-0.18269184145649808,1.0270875747864079,-0.6311557918448338,-2.2993666361552823,-0.20579873971987495,-3.672636115130848
3.0000000000000004,2.4291558399134994,-0.18494668861964536,1.025034036759789,-0.6411004615183123,-2.2588519068037702,-0.22200399606321436,-3.754672843546117
3.25,2.425264538297946,-0.1871423812077735,1.0229767635057732,-0.6508679933891728,-2.2181908449219794,-0.23856444144742378,-3.8353802345965664
3.5,2.4213505758914007,-0.18927874247847287,1.020919003912935,-0.6604578283590541,-2.177419354282599,-0.25547400264302567,-3.9146349716471414
3.7499999999999996,2.417414872920701,-0.1913556233520043,1.018863904052568,-0.6698695618536129,-2.1365723486138064,-0.2727260760819025,-3.99231728200656
4.0,2.41345833982513,-0.1933729017746718,1.0168145055770472,-0.6791029394542436,-2.095683731024477,-0.2903135433206684,-4.068310936927307
4.25,2.4094818767993273,-0.19533048207394044,1.0147737443492446,-0.6881578524470411,-2.0547863765912164,-0.30822878650404095,-4.142503251605611
4.5,2.4054863733626655,-0.19722829430667405,1.0127444492983888,-0.697034333302564,-2.0139121179921795,-0.3264637038282129,-4.214785085181502
4.75,2.4014727079547384,-0.1990662936018055,1.010729341497477,-0.7057325510994291,-1.9730917340682932,-0.3450097250042244,-4.285050840738792
5.0,2.3974417475565852,-0.20084445949871566,1.0087310334571364,-0.7142528069042521,-1.9323549411908885,-0.36385782672133443,-4.353198465304993
