index,ratio_s_l,lambda_s,lambda_l,status,cycles,cold_power_w,mechanical_power_w,cop,minimum_temperature_k,maximum_temperature_k,maximum_pressure_bar,epsilon_p,epsilon_t_cold,epsilon_t_hot,topology,validity,feasible_100w_150w,mass_residual,energy_residual
1,0.6,0.5,0.5,converged,5,150.12473342326535,54.465225459175336,2.7563409892756625,219.27744310353927,361.55920815457955,3.179537438861062,0.00313143260894756,0.022828017878682282,0.036582545546022194,non_nominal,indeterminate,True,1.0223046821765382e-15,-5.2721940278340925e-16
2,0.6,0.5,0.6,converged,5,183.89314763549058,69.35676160347178,2.651409082316287,214.31334367278865,358.8143225700849,3.081367289795262,0.0031479100685948614,0.03126871561963915,0.02898466774536269,nominal,indeterminate,True,1.5334570232648022e-15,-2.639949822840436e-15
3,0.7613381779937438,0.5699995706305349,0.4986614083933964,converged,4,180.73030084606793,65.11094122890145,2.7757285862402084,225.4152183475328,364.3516218611723,2.916303700568924,0.003713914752277807,0.024435176747098032,0.036133913933135885,nominal,indeterminate,True,2.3817387149958693e-15,-3.613633340709707e-16
4,0.6876804992237343,0.5074109060360626,0.5976275857303928,converged,5,189.6795305319102,69.2565401384213,2.7387959339695933,219.70700221053656,353.0647150533654,2.7323904135017285,0.003368101195685657,0.031432492330432917,0.02449426981242506,nominal,indeterminate,True,5.107282794357238e-16,1.7626321742795771e-16
5,0.8143439246309185,0.45057690980563075,0.514951546989542,invalid_physical_state,0,,,,,,,,,,,,False,,
6,0.5497844917507938,0.5617015667554374,0.5899874587842671,converged,5,197.7496463393515,83.90401043748261,2.3568557129542214,207.6863440028709,377.1749474084222,3.8127748217421504,0.0031626348692809416,0.03187877085544892,0.04382792619682136,nominal,indeterminate,True,1.8751169168407534e-15,-2.488829079789596e-15
7,0.49316178034278646,0.4153566253238196,0.48947519262836414,invalid_physical_state,0,,,,,,,,,,,,False,,
8,0.4734449273088142,0.49987123096944247,0.6165491336861575,converged,5,179.17901902719305,76.26695119208351,2.349366484782098,203.71470854500566,370.1358190523682,3.84526105216631,0.003225412291190446,0.03291786528242824,0.03835916623622081,non_nominal,indeterminate,True,8.529427676657075e-16,-1.8966690661876055e-15
9,0.4252698067674715,0.5352544262848078,0.6259833015407624,converged,5,187.36476347804745,88.87692677638498,2.1081372891015753,197.02712528414943,382.1574663133826,4.521146507829519,0.0032595839320131146,0.035076683485985985,0.048679608185923505,nominal,indeterminate,True,4.607995652851616e-15,-2.679403094123887e-16
10,0.5292828917509529,0.48072515717205033,0.6117086666385205,converged,5,176.9963737602968,69.32313785132322,2.5532077636170984,209.50943494842937,361.02623897774146,3.343195212165161,0.003189019582999439,0.031962071381534375,0.03093030046308649,nominal,indeterminate,True,4.091958989187098e-15,7.721510809764331e-16
11,0.8295105217031817,0.48655954216836783,0.5802378865063199,invalid_physical_state,1,,,,,,,,,,,,False,,
12,0.44633643611641666,0.5777767779870533,0.5631048481404004,converged,5,184.0223250208579,90.68049293999098,2.029348529706793,199.18473233765388,391.4462015650696,4.80298974569828,0.003221541061370156,0.030004655653455482,0.0626311666406575,non_nominal,invalid,False,-8.531620449994315e-16,1.6759265173208282e-15
