mass_flow_kg_s,hot_temperature_drop_k,cold_temperature_rise_k,assumed_nitrogen_cp_j_kg_k,reduced_apparent_ua_w_k,reported_ua_w_k,within_reported_ua_uncertainty,heat_imbalance_fraction_of_hot,assumption
0.000470,73.80000000000001,70.0,1040.0,3.6809632653060973,3.7,True,0.0514905149051492,equal_mass_flows_and_equal_constant_cp
0.000840,64.19999999999999,60.80000000000001,1040.0,5.24160000000002,5.3,True,0.05295950155763205,equal_mass_flows_and_equal_constant_cp
0.000930,66.40000000000003,63.0,1040.0,5.396813445378139,5.4,True,0.05120481927710892,equal_mass_flows_and_equal_constant_cp
