motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,hybrid_small,hybrid_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,hybrid_dsmall_dt,hybrid_dlarge_dt
3.472222222222222463e-03,1.250000000000000000e+00,1.516092376354516713e-01,9.989000639021969885e-01,1.890146755099311737e-01,9.999703721908669296e-01,2.059106504828773332e+00,-6.127354140014608097e-01,2.002260039282503623e+00,-2.529994865208975985e-02
3.819444444444444753e-03,1.375000000000000000e+00,1.523245098474330650e-01,9.986774229107152623e-01,1.897099046902376018e-01,9.999607033286834756e-01,2.060856686247278358e+00,-6.695736783554265825e-01,2.002260039282503623e+00,-3.046847430459552128e-02
4.166666666666666609e-03,1.500000000000000000e+00,1.530403848134456457e-01,9.984351537217963646e-01,1.904051338705440299e-01,9.999491613199448237e-01,2.062578368048421762e+00,-7.257938312375800116e-01,2.002260039282503623e+00,-3.608807889738337160e-02
4.513888888888889332e-03,1.625000000000000222e+00,1.537568526377889877e-01,9.981734709574797693e-01,1.911003630508504303e-01,9.999355907836787738e-01,2.064271550232202213e+00,-7.813958726479227623e-01,2.002260039282503623e+00,-4.215159894791947748e-02
4.861111111111111188e-03,1.750000000000000000e+00,1.544739034247622211e-01,9.978925892398038400e-01,1.917955922311568584e-01,9.999198388262336978e-01,2.065936232798621042e+00,-8.363798025864318531e-01,2.002260039282503623e+00,-4.865187097366992230e-02
5.208333333333333912e-03,1.875000000000000222e+00,1.551915272786655309e-01,9.975927231908076065e-01,1.924908214114632865e-01,9.999017550412787614e-01,2.067572415747678249e+00,-8.907456210531513596e-01,2.002260039282503623e+00,-5.558173149210089703e-02
5.555555555555555768e-03,2.000000000000000000e+00,1.559097143037978528e-01,9.972740874325299876e-01,1.931860505917697146e-01,9.998811915098027026e-01,2.069180099079372503e+00,-9.444933280480382054e-01,2.002260039282503623e+00,-6.293401702067845382e-02
5.902777777777777624e-03,2.125000000000000000e+00,1.566284546044592885e-01,9.969368965870094579e-01,1.938812797720761427e-01,9.998580028001153863e-01,2.070759282793706024e+00,-9.976229235711352450e-01,2.002260039282503623e+00,-7.070156407686876976e-02
6.250000000000000347e-03,2.250000000000000000e+00,1.573477382849490791e-01,9.965813652762851582e-01,1.945765089523825708e-01,9.998320459678462502e-01,2.072309966890677035e+00,-1.050134407622421717e+00,2.002260039282503623e+00,-7.887720917813793864e-02
6.597222222222222203e-03,2.375000000000000000e+00,1.580675554495667712e-01,9.962077081223956743e-01,1.952717381326889712e-01,9.998031805559451923e-01,2.073832151370286425e+00,-1.102027780201895624e+00,2.002260039282503623e+00,-8.745378884195216529e-02
6.944444444444444926e-03,2.500000000000000000e+00,1.587878962026115504e-01,9.958161397473801468e-01,1.959669673129953993e-01,9.997712685946825717e-01,2.075325836232533749e+00,-1.153303041309538424e+00,2.002260039282503623e+00,-9.642413958577751576e-02
7.291666666666666782e-03,2.625000000000000000e+00,1.595087506483835460e-01,9.954068747732769395e-01,1.966621964933018274e-01,9.997361746016496520e-01,2.076791021477419008e+00,-1.203960190945390085e+00,2.002260039282503623e+00,-1.057810979270800006e-01
